Gene = vls
index = 1928
Annotated 5SS: [ 621 1055]
Annotated 3SS: [ 677 1106]
SMsplice 5SS: [ 621 1055]
SMsplice 3SS: [ 677 1106]
top_k =  1000
Partition function (log Z): -4.466089365962574

Sorted 5' Splice Sites (High to Low Probability):
Position 621: 0.9711434191404644
Position 1055: 0.47527270270512506
Position 1040: 0.029640473740857484
Position 925: 0.024878643181385725
Position 483: 0.01415596233031482
Position 705: 0.013232875247650228
Position 1061: 0.005838894106592207
Position 610: 0.005491123942491996
Position 633: 0.004753391398464535
Position 1273: 0.004019438686822999
Position 396: 0.003073448390106235
Position 625: 0.0030455962014218387
Position 963: 0.0020564580969313576
Position 1341: 0.0015312106178215486
Position 308: 0.0010780455691000816
Position 405: 0.00098124233381526
Position 1353: 0.0003176050075070425
Position 876: 0.00016840061351761594
Position 167: 8.764215014402945e-05
Position 71: 8.597548784580487e-05
Position 743: 7.680411189894029e-05
Position 793: 5.3332855830007174e-05
Position 644: 4.5692408599844195e-05
Position 532: 4.420686818019747e-05
Position 984: 4.127379879534985e-05
Position 786: 3.7029600349951976e-05
Position 799: 3.346127356935324e-05
Position 892: 3.066206393356684e-05
Position 435: 2.655677682038517e-05
Position 1032: 2.625677829759072e-05
Position 774: 2.2422719193248243e-05
Position 519: 1.99134142089564e-05
Position 851: 1.4947446477371138e-05
Position 317: 1.4332819276785613e-05
Position 9: 1.3307580098252e-05
Position 564: 1.0981391681949255e-05
Position 825: 8.781910176307278e-06
Position 591: 8.722377759728211e-06
Position 23: 6.798400169363414e-06
Position 678: 5.31226068184001e-06
Position 320: 3.648899492671581e-06
Position 808: 3.473555863579455e-06
Position 467: 2.7890707145250397e-06
Position 120: 2.343554054178028e-06
Position 51: 2.0209792720885475e-06
Position 497: 1.873168394008037e-06
Position 1176: 1.3353104349959383e-06
Position 1159: 9.695865649518626e-07
Position 638: 9.339502117044143e-07
Position 107: 8.222386866483196e-07
Position 357: 5.24993723471677e-07
Position 527: 4.627961162323644e-07
Position 1150: 3.9059958562349343e-07
Position 54: 2.367351755592512e-07
Position 1144: 1.9575076006886817e-07
Position 1222: 9.295909392255933e-08
Position 663: 2.2313303490463463e-08
Position 83: 1.250069699632076e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 677: 0.9922644462618795
Position 1106: 0.5536381507534157
Position 553: 0.003904344032436372
Position 1415: 0.003427823067923849
Position 461: 0.0022416066113967394
Position 1378: 0.002120424558234751
Position 768: 0.0017635498633994779
Position 1333: 0.00048588355690021436
Position 532: 0.00046029774739105397
Position 482: 0.00038814594070953523
Position 1389: 0.00014514653659853353
Position 1164: 0.0001327302414534405
Position 497: 7.1589298871589e-05
Position 131: 6.458652922251132e-05
Position 377: 5.871038701971526e-05
Position 871: 4.5008174954103756e-05
Position 572: 3.43258501837263e-05
Position 718: 2.5323315942580262e-05
Position 1194: 2.4586571323704994e-05
Position 834: 2.3778098726435828e-05
Position 97: 1.706279853745384e-05
Position 1150: 1.2157711131579774e-05
Position 1061: 1.0270307373187295e-05
Position 1238: 7.155859163719889e-06
Position 603: 6.749799231846535e-06
Position 1009: 6.369044951074448e-06
Position 244: 5.7482518986113396e-06
Position 774: 5.583779761122933e-06
Position 632: 3.144856584134811e-06
Position 71: 2.821310932637054e-06
Position 984: 2.5316541911671833e-06
Position 1040: 2.301448156883905e-06
Position 383: 2.221236092751585e-06
Position 892: 2.012875953515069e-06
Position 743: 1.8608748821347388e-06
Position 906: 1.1672594072560706e-06
Position 489: 9.46064900040093e-07
Position 341: 9.069444644932054e-07
Position 297: 8.779288100801203e-07
Position 1396: 7.471236342923405e-07
Position 1025: 6.205696767133399e-07
Position 963: 5.672049437455304e-07
Position 1067: 4.2388718374251386e-07
Position 923: 2.8628851921626104e-07
Position 1351: 2.4086338929271824e-07
Position 419: 7.348380857016725e-08
Position 389: 5.660912813807669e-08
Position 1176: 4.692859581863136e-08
Position 610: 3.392094533066794e-08
Position 104: 1.758690857779558e-08
Position 149: 1.5729837124773304e-08
Position 527: 3.4575868042260993e-09
Position 75: 2.1178828936360932e-09
Position 167: 2.920159534452646e-10
Position 77: 4.618133658581013e-11
Position 562: 8.104116717922981e-13
Position 355: 4.4185615377969603e-13
