Gene = odd
index = 1830
Annotated 5SS: [471]
Annotated 3SS: [656]
SMsplice 5SS: [471]
SMsplice 3SS: [656]
top_k =  1000
Partition function (log Z): -5.391668597318979

Sorted 5' Splice Sites (High to Low Probability):
Position 471: 0.9904962187008097
Position 2119: 0.09752983974480724
Position 1091: 0.06662002651968368
Position 1901: 0.013221868615427724
Position 1945: 0.012637125983296568
Position 1384: 0.011935829028695694
Position 2059: 0.006130083854894622
Position 585: 0.005238565350591912
Position 266: 0.0033986500285857995
Position 1583: 0.002464944932518811
Position 1252: 0.002295522631677642
Position 1589: 0.00136443606955153
Position 301: 0.001294589168828461
Position 1785: 0.0010613717322997792
Position 1414: 0.0006437172174083354
Position 1931: 0.0006059299440348037
Position 2348: 0.000587683088776205
Position 1434: 0.000587596421318566
Position 2282: 0.0005078076374297879
Position 324: 0.0004887501842950594
Position 1488: 0.0003921685408900999
Position 244: 0.00038857264930990647
Position 216: 0.0003730691122477254
Position 919: 0.000351075819635024
Position 1792: 0.0003393387891736147
Position 481: 0.00033801407973364756
Position 2018: 0.0003310811776380979
Position 2319: 0.0003292716483401798
Position 2458: 0.0003204177279959637
Position 233: 0.0002574787534327297
Position 311: 0.0002570043310645439
Position 1976: 0.0002391723766092743
Position 1907: 0.0002258795987231434
Position 237: 0.0002054729972071732
Position 1586: 0.00019320844917316963
Position 554: 0.00019256322586367846
Position 1983: 0.00015109480152211845
Position 1619: 0.00014245817548012927
Position 119: 0.00013835641748534476
Position 475: 0.00012966142530655388
Position 2001: 0.00012848735615515844
Position 566: 0.00011512467978929132
Position 761: 0.00010033661426294357
Position 1276: 9.387785820662796e-05
Position 1957: 8.696177083124575e-05
Position 2176: 8.489113934271426e-05
Position 1469: 8.059163080981888e-05
Position 1197: 7.823147921828354e-05
Position 2353: 7.025672207762557e-05
Position 1224: 6.986549481698487e-05
Position 1194: 6.767147513521463e-05
Position 1179: 6.0774309204373475e-05
Position 1176: 5.826680640058567e-05
Position 970: 5.7970917540882196e-05
Position 393: 5.498683684005274e-05
Position 1119: 4.781262884669076e-05
Position 1240: 4.6055165069047636e-05
Position 1638: 4.564388853785552e-05
Position 1267: 3.7306042532299383e-05
Position 1279: 3.462926347201417e-05
Position 2159: 3.4152180968910993e-05
Position 108: 3.278423753096994e-05
Position 179: 3.174937349605253e-05
Position 2296: 3.0588881746696056e-05
Position 5: 3.022959686222092e-05
Position 2226: 2.7062418887247408e-05
Position 926: 2.542297246609348e-05
Position 788: 2.1461096363141814e-05
Position 230: 1.927173411284469e-05
Position 1199: 1.8280369030838e-05
Position 1185: 1.7223897363852585e-05
Position 2237: 1.666506202749866e-05
Position 871: 1.5789850970142917e-05
Position 2346: 1.485383630419043e-05
Position 1140: 1.4677855574520655e-05
Position 185: 1.2897069856332716e-05
Position 336: 9.610932611261337e-06
Position 1095: 9.287163051886464e-06
Position 1834: 7.419527715412344e-06
Position 1444: 6.92032790653111e-06
Position 158: 6.740990951522915e-06
Position 588: 6.084984351813069e-06
Position 1498: 5.27324233222642e-06
Position 437: 4.850401044075006e-06
Position 2423: 3.936038155222279e-06
Position 2193: 3.7045084233102275e-06
Position 331: 3.3076660402707513e-06
Position 705: 3.2775358848936398e-06
Position 220: 2.344587155818569e-06
Position 1133: 1.7319082734212743e-06
Position 1967: 1.6837539657119999e-06
Position 959: 1.4856462632339003e-06
Position 2208: 1.2729296682708061e-06
Position 680: 1.1967458374482787e-06
Position 222: 7.615302589015261e-07
Position 2462: 3.4066260297528517e-07
Position 9: 1.1500024129032736e-07
Position 400: 2.305003897764688e-08
Position 1545: 1.669004427826284e-08
Position 1500: 1.635716876218831e-08
Position 1460: 7.146367656247156e-09
Position 1693: 7.000561321551831e-09
Position 1877: 4.4750814834527455e-09
Position 953: 3.7386017849092586e-09
Position 2180: 1.6264542336372097e-09
Position 629: 9.924452553164763e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 656: 0.9766549317950273
Position 2190: 0.2259391113372231
Position 2391: 0.006318846813218469
Position 2417: 0.002680911829935926
Position 2319: 0.0024371273790754393
Position 360: 0.002074204625344178
Position 1630: 0.0014429094025313902
Position 2251: 0.0007744574360723177
Position 1945: 0.0007587246196269038
Position 1666: 0.0007240937259520668
Position 1363: 0.0005514735437246037
Position 336: 0.0005268887973703063
Position 426: 0.00045699606828720953
Position 540: 0.00035529204982902404
Position 2521: 0.00032576575592747475
Position 1989: 0.00031866267115882073
Position 938: 0.00029903598473638305
Position 1555: 0.0002946215692600424
Position 2215: 0.0002793140153337231
Position 304: 0.0002666939639063915
Position 2143: 0.00024281376679855668
Position 2196: 0.00021875802904411233
Position 2199: 0.0002155111634859608
Position 668: 0.00021371647367782358
Position 379: 0.00019347397099070377
Position 177: 0.00013446525929522977
Position 1924: 0.0001333436727081183
Position 1823: 0.00012645805352363987
Position 1468: 9.474009428550225e-05
Position 680: 9.197840251202238e-05
Position 2368: 8.878351429936294e-05
Position 1709: 8.128297069205529e-05
Position 1815: 6.913531310244777e-05
Position 1513: 6.370356257298734e-05
Position 2208: 6.023815647123551e-05
Position 324: 5.622346439261873e-05
Position 1952: 5.193699319622095e-05
Position 1399: 4.576634517386352e-05
Position 2018: 4.514586937456358e-05
Position 998: 4.171755782978764e-05
Position 393: 3.97424883670854e-05
Position 1900: 3.9513122979046325e-05
Position 1349: 3.8162606034084486e-05
Position 598: 3.7498207191713045e-05
Position 1444: 3.3310667367224706e-05
Position 1986: 3.2206840452980766e-05
Position 1119: 3.2180944545337114e-05
Position 1267: 2.710199398617468e-05
Position 691: 2.5755261407419138e-05
Position 1012: 2.369586291410002e-05
Position 588: 2.351618491569758e-05
Position 688: 1.8305637846632956e-05
Position 554: 1.6470931581313365e-05
Position 2488: 1.2650571758312519e-05
Position 970: 1.2263594188709218e-05
Position 832: 9.880679064315314e-06
Position 967: 9.472943962452379e-06
Position 389: 8.811710076261522e-06
Position 1758: 7.933515757639728e-06
Position 1842: 7.475023044057072e-06
Position 1419: 6.8399283005334665e-06
Position 2068: 6.318727040558856e-06
Position 2292: 6.029624624246838e-06
Position 1206: 4.453358815014793e-06
Position 1873: 4.3153507620303705e-06
Position 880: 2.9433107791299773e-06
Position 311: 2.7555439974886478e-06
Position 670: 2.6633872142074153e-06
Position 2059: 2.3939391349531233e-06
Position 829: 2.3914700305460866e-06
Position 257: 2.114908700044759e-06
Position 191: 1.829837843506043e-06
Position 1009: 1.4087682795455508e-06
Position 1224: 1.272436448236844e-06
Position 585: 1.2318689904331766e-06
Position 216: 1.1882915160987198e-06
Position 1405: 1.1859759807042684e-06
Position 57: 9.236154159648749e-07
Position 919: 8.991082373548458e-07
Position 784: 8.800584399189534e-07
Position 942: 8.696400785980055e-07
Position 1714: 7.736672791241564e-07
Position 916: 7.498915260839437e-07
Position 1604: 7.226778392661177e-07
Position 835: 7.168712140212003e-07
Position 1221: 6.800090138213258e-07
Position 266: 5.936873729215094e-07
Position 292: 5.38869605136846e-07
Position 1432: 5.205987672186611e-07
Position 1018: 5.13514925681964e-07
Position 1414: 5.040051941428885e-07
Position 462: 4.904677055946982e-07
Position 318: 4.814552258125539e-07
Position 54: 4.66769096533541e-07
Position 1276: 4.394259391532417e-07
Position 459: 3.7843559472561914e-07
Position 99: 3.033135741441244e-07
Position 748: 2.714260809105216e-07
Position 525: 2.536216770394766e-07
Position 777: 2.5247171349902804e-07
Position 60: 1.0406154194371597e-07
Position 270: 9.555051691960174e-08
Position 48: 9.436317881380052e-08
