Gene = Tfb4
index = 1555
Annotated 5SS: [  61  299  547 1027]
Annotated 3SS: [ 117  350  607 1090]
SMsplice 5SS: [  61  299  547 1027]
SMsplice 3SS: [ 117  350  607 1090]
top_k =  1000
Partition function (log Z): 5.312708273151127

Sorted 5' Splice Sites (High to Low Probability):
Position 299: 0.9892754748840957
Position 547: 0.9514278309989853
Position 61: 0.9437481971934365
Position 1027: 0.9136735946172213
Position 818: 0.026865999723746554
Position 494: 0.025078440652129608
Position 276: 0.00726379230924586
Position 1160: 0.00419610657749807
Position 808: 0.003929802950507941
Position 688: 0.0037381733449652426
Position 531: 0.002347904511934569
Position 853: 0.00137664213856335
Position 977: 0.0012231820201898606
Position 676: 0.0011185918867504178
Position 219: 0.0009068848098335163
Position 303: 0.0006275957087105213
Position 771: 0.0005236034386100157
Position 273: 0.0004315813333365802
Position 1031: 0.00040126352909884716
Position 945: 0.0003478551874858024
Position 439: 0.0003275739059396361
Position 789: 0.00030751243944972755
Position 989: 0.0002675246474722726
Position 408: 0.00018043884042558348
Position 697: 0.0001657409723849542
Position 321: 0.0001456279538974423
Position 1172: 0.00012232497629689455
Position 707: 7.24222112134873e-05
Position 500: 5.973093871956722e-05
Position 67: 3.605615457219273e-05
Position 519: 2.957275140558638e-05
Position 857: 2.0967493758286242e-05
Position 427: 1.7463067493117153e-05
Position 397: 1.5640370505041618e-05
Position 844: 6.4810234196425005e-06
Position 656: 4.186025770890136e-06
Position 632: 3.509776132768796e-06
Position 1005: 3.0009802271432846e-06
Position 141: 2.944644893516934e-06
Position 968: 2.8696003698938e-06
Position 417: 2.261234036275475e-06
Position 382: 2.0537774720960744e-06
Position 177: 1.4259520565084118e-06
Position 914: 7.404754546566561e-07
Position 1185: 7.119400480356311e-07
Position 602: 6.734853357463674e-07
Position 659: 6.528883293239083e-07
Position 360: 2.683760756451277e-07
Position 882: 1.3748173955374823e-07
Position 1111: 7.675773110666454e-08
Position 893: 3.887606698563918e-08
Position 147: 1.4725777887071381e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.9893282037742948
Position 607: 0.9673451080444785
Position 117: 0.940269804394392
Position 1090: 0.9066246557169263
Position 877: 0.040763505375858704
Position 374: 0.007081993378216284
Position 613: 0.005652151214918443
Position 1103: 0.00486958333032043
Position 1229: 0.004461383923282833
Position 1127: 0.002841732438129042
Position 377: 0.002142346226455084
Position 808: 0.0020932007311718005
Position 170: 0.001465177518032483
Position 914: 0.0012529921186299814
Position 1069: 0.0011415667094279711
Position 194: 0.00098992168508168
Position 724: 0.00041930627528602264
Position 1056: 0.0002555847016913647
Position 665: 0.00022989312548973671
Position 185: 0.00019059552978254054
Position 688: 0.0001741109588983971
Position 637: 0.0001622389645883312
Position 1217: 9.976756806943956e-05
Position 1005: 6.573932143042317e-05
Position 1169: 5.527314540345815e-05
Position 414: 4.104818351022803e-05
Position 435: 3.3833909263792005e-05
Position 1172: 3.320354852317666e-05
Position 215: 2.8188894222952947e-05
Position 557: 2.1504546260783917e-05
Position 615: 2.1149660342637833e-05
Position 817: 2.0268576328077824e-05
Position 1027: 1.922818200767996e-05
Position 251: 1.1215871608707057e-05
Position 844: 1.0858186422856615e-05
Position 781: 9.72000294225782e-06
Position 545: 9.680526722896375e-06
Position 826: 8.341010789590091e-06
Position 669: 7.976775311499481e-06
Position 1175: 7.843466423456237e-06
Position 771: 6.128654444658404e-06
Position 254: 5.869955734633666e-06
Position 785: 5.510035488648673e-06
Position 763: 5.467796663025906e-06
Position 1136: 4.812677252126966e-06
Position 397: 4.2550683675499135e-06
Position 1142: 3.033097981307507e-06
Position 1194: 2.3886538379467934e-06
Position 408: 2.2306298124185283e-06
Position 1145: 1.6178208100739025e-06
Position 550: 4.1465499027963143e-07
Position 1198: 2.7582120169752227e-07
Position 485: 2.499503185967845e-07
Position 1072: 1.9902627098348275e-07
Position 552: 1.9465238556701617e-07
Position 382: 1.7828029961499614e-07
Position 515: 1.443853796723262e-07
Position 260: 9.990247672874278e-08
Position 306: 5.941086283439509e-08
Position 450: 5.9317299004991486e-08
Position 447: 5.246359712855292e-08
Position 561: 1.5520898559879674e-08
Position 444: 2.297947441091289e-09
Position 458: 1.899751170379651e-09
Position 308: 1.402582745624205e-09
Position 432: 1.2159366416122552e-09
Position 498: 3.991434914519424e-10
Position 303: 5.814759871571724e-11
