Gene = Dref
index = 1137
Annotated 5SS: [1470 1854 2302]
Annotated 3SS: [1560 1913 2361]
SMsplice 5SS: [1470 1854 2302]
SMsplice 3SS: [1560 1913 2361]
top_k =  1000
Partition function (log Z): 3.584573741503632

Sorted 5' Splice Sites (High to Low Probability):
Position 2302: 0.9952398448187231
Position 1854: 0.9805092691637812
Position 1470: 0.9764574801549386
Position 391: 0.05141682582611988
Position 71: 0.02479004737571718
Position 1590: 0.01925048597820121
Position 1249: 0.017280690451885898
Position 1486: 0.016731417190612954
Position 494: 0.013522261737567516
Position 193: 0.010904340616928253
Position 449: 0.009203302918570827
Position 2979: 0.004636960577135158
Position 2638: 0.004506566312541598
Position 1851: 0.004474907688738119
Position 1748: 0.0034880228062507345
Position 95: 0.0034605651074947736
Position 875: 0.0025383957539514704
Position 515: 0.002393559811088622
Position 910: 0.0023323235504606405
Position 91: 0.0021673284007616904
Position 1253: 0.0021007806313023828
Position 1707: 0.0020819083694863048
Position 536: 0.0020034794907091533
Position 1040: 0.001748805071535484
Position 2741: 0.0016227665689282935
Position 657: 0.001612848402918148
Position 45: 0.0014209834867972687
Position 1326: 0.0012145623048002514
Position 1072: 0.0011938957157063418
Position 52: 0.0010214680758387263
Position 2703: 0.000927676096967837
Position 1997: 0.0008654873386783621
Position 512: 0.0006935857147987142
Position 6: 0.0006877547003138363
Position 427: 0.0006812618912771624
Position 662: 0.0006744244337707429
Position 829: 0.0006417721861846852
Position 1827: 0.0005744252407696405
Position 2568: 0.0005338738197234757
Position 2865: 0.0005154846275248102
Position 144: 0.0004336598245768471
Position 1089: 0.00039268983705287606
Position 287: 0.0003684349106281832
Position 356: 0.00031945058817464493
Position 2460: 0.00020582339487389557
Position 2271: 0.00020425755650952982
Position 1653: 0.0001758603884358818
Position 2495: 0.00017224154698703664
Position 2856: 0.00017109557057141465
Position 121: 0.00017040341355739283
Position 2684: 0.00016871800525021687
Position 2838: 0.00015627266729999613
Position 2873: 0.00014959859735701775
Position 2306: 0.00013381093103891447
Position 2297: 0.00013105709292241777
Position 1698: 0.00012244792985347837
Position 2554: 0.00012063607993022898
Position 2160: 0.0001157958303076169
Position 2164: 0.00010020597057666885
Position 2108: 9.787307819588547e-05
Position 2492: 9.635803574346631e-05
Position 2565: 9.320436313458178e-05
Position 1474: 8.733444871955572e-05
Position 1700: 7.617212470771566e-05
Position 1061: 7.120977208007461e-05
Position 2073: 7.07018554425764e-05
Position 233: 6.80808844970403e-05
Position 1721: 6.621307616500445e-05
Position 526: 6.250866009977878e-05
Position 707: 5.849542164889517e-05
Position 1603: 5.509345869155392e-05
Position 842: 5.4582694884685376e-05
Position 1180: 5.4181395286359e-05
Position 2546: 5.063411465221971e-05
Position 1333: 4.905470817770501e-05
Position 2358: 4.442178103480513e-05
Position 1809: 3.849894507197115e-05
Position 2791: 3.2899769081035874e-05
Position 1898: 3.2410533867225014e-05
Position 2756: 3.228719536236229e-05
Position 177: 2.8887548252719482e-05
Position 896: 2.8111823814696486e-05
Position 4: 2.3750645669692775e-05
Position 2180: 2.031593098665051e-05
Position 170: 1.8012084053914565e-05
Position 290: 1.6651521062608168e-05
Position 1787: 1.2946331393641025e-05
Position 1843: 1.2484383678836928e-05
Position 1348: 1.1951142158690154e-05
Position 2258: 1.1884036773124522e-05
Position 2480: 1.0358275821372611e-05
Position 1612: 9.188537593694745e-06
Position 364: 8.963041873783882e-06
Position 1763: 8.927762272292265e-06
Position 403: 8.716721954151834e-06
Position 528: 4.93623972821305e-06
Position 1632: 4.49405995091413e-06
Position 2463: 4.479539911629452e-06
Position 1900: 3.999059208299365e-06
Position 401: 3.897270813209545e-06
Position 1878: 3.682961107289931e-06
Position 2432: 3.6632412776745292e-06
Position 2383: 2.6234918812889285e-06
Position 2284: 2.2936087209531067e-06
Position 718: 2.2078275149974854e-06
Position 2556: 2.162664695274673e-06
Position 1954: 2.1580635091887857e-06
Position 172: 2.146994896865554e-06
Position 1083: 2.054244665771761e-06
Position 1319: 1.2846770168288101e-06
Position 635: 1.237286990833092e-06
Position 2244: 1.1381244153988897e-06
Position 2931: 1.014854080615929e-06
Position 1952: 9.917220845146922e-07
Position 570: 9.724535139677083e-07
Position 1343: 9.550134188058379e-07
Position 2362: 8.914209875094008e-07
Position 2808: 8.266258386782297e-07
Position 2754: 7.368396614106791e-07
Position 1577: 6.664050997342478e-07
Position 2427: 6.079664493534443e-07
Position 929: 5.73433105204814e-07
Position 2058: 4.706472413096233e-07
Position 1933: 4.441357330588435e-07
Position 1106: 4.2743589924179103e-07
Position 1364: 4.188667617038606e-07
Position 1259: 3.5221747772380333e-07
Position 692: 2.911813719249689e-07
Position 998: 2.7875486301873075e-07
Position 1609: 2.673176332188569e-07
Position 1616: 2.366648109786238e-07
Position 1887: 1.8727152464703423e-07
Position 679: 1.6141315339444418e-07
Position 613: 1.3187013865334012e-07
Position 1672: 1.0881488465445794e-07
Position 1101: 8.800954778032842e-08
Position 963: 8.547590979479437e-08
Position 371: 4.523539052832936e-09
Position 2247: 3.6693490404861194e-09
Position 2274: 2.8872167523443354e-09
Position 601: 1.6611092548756249e-09
Position 945: 1.305227531809013e-09
Position 1584: 1.116562529126971e-09
Position 776: 9.190506759288184e-10
Position 2202: 6.280384435478538e-10
Position 2197: 3.0961987526354597e-10
Position 2641: 8.850214326594095e-11
Position 1775: 8.08967259778553e-11
Position 2226: 1.7282335589120858e-11
Position 2375: 2.968791059567028e-13
Position 2056: 1.0640793935451944e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1560: 0.9974438772244214
Position 2361: 0.9673368372569416
Position 1913: 0.9543284494157517
Position 583: 0.04556295514244737
Position 335: 0.0303455258346632
Position 508: 0.025161607684160286
Position 1309: 0.022470402541912043
Position 1652: 0.020824980881598835
Position 2383: 0.01986866421637153
Position 1982: 0.01783104396726793
Position 2066: 0.007915534972368226
Position 1267: 0.006972173924835062
Position 3029: 0.005746821406861674
Position 2776: 0.00525017957184414
Position 2408: 0.00487675967392639
Position 2808: 0.004593134125561853
Position 1957: 0.0037831601955480324
Position 2056: 0.003676920606964467
Position 338: 0.003374513129381778
Position 1124: 0.0017779850372255466
Position 1763: 0.0016794607429376385
Position 796: 0.0014623932718590476
Position 207: 0.0014060254497307635
Position 1994: 0.001351544427240428
Position 132: 0.0013422509733833107
Position 1106: 0.001315378634478924
Position 1281: 0.0012143750868546053
Position 281: 0.001093507244350299
Position 2913: 0.000998597592194903
Position 249: 0.0008507972039171585
Position 1225: 0.0008300617809953309
Position 439: 0.000803893903277635
Position 2828: 0.0007137157908448847
Position 139: 0.0006130852985339549
Position 1112: 0.0005755634957580252
Position 773: 0.000574115380132857
