Gene = gdl
index = 1712
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
top_k =  1000
Partition function (log Z): -4.399215406927764

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9912931989681825
Position 787: 0.43912525429813687
Position 973: 0.08729588537588158
Position 962: 0.07602480111843375
Position 199: 0.04026753771143611
Position 204: 0.03824286191492854
Position 1306: 0.03424885148226178
Position 571: 0.02700067827317373
Position 835: 0.01749783283625702
Position 565: 0.013344800746271713
Position 171: 0.012245366241166214
Position 839: 0.007538710039781607
Position 259: 0.0037801794664202785
Position 1036: 0.0033743703515311924
Position 175: 0.0031855433725100275
Position 645: 0.0028303255172915016
Position 696: 0.0015005713065160565
Position 7: 0.0011135205708268426
Position 750: 0.0007398520304586537
Position 871: 0.0005993158540968289
Position 814: 0.0005221052028801215
Position 319: 0.0004727494559314439
Position 666: 0.0003497383265008522
Position 542: 0.00027312849729737687
Position 811: 0.00023683454062140328
Position 933: 0.0001341567134970931
Position 148: 8.057913291312075e-05
Position 658: 4.660582902591345e-05
Position 334: 4.657433420888335e-05
Position 544: 3.645650784445584e-05
Position 1406: 3.531088543426211e-05
Position 106: 2.900269320781467e-05
Position 399: 2.5910190125077094e-05
Position 1349: 2.4207476059534174e-05
Position 441: 9.176859687881624e-06
Position 125: 7.142255011924127e-06
Position 1269: 5.788655417588695e-06
Position 342: 5.136334906104451e-06
Position 371: 3.4680200168196825e-06
Position 1117: 3.2349360712718563e-06
Position 455: 3.1359682018765015e-06
Position 12: 2.0871870979412037e-06
Position 350: 1.8982502868258973e-06
Position 1130: 1.4659462726214163e-06
Position 83: 1.2370126144702536e-06
Position 322: 9.5803614472319e-07
Position 1160: 9.196447234136616e-07
Position 1246: 7.144519176457211e-07
Position 101: 5.730544543720196e-07
Position 128: 2.031183132208475e-07
Position 285: 1.9400551766183347e-07
Position 345: 1.6233907053544888e-07
Position 1310: 6.613687614854721e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.7485280567196577
Position 501: 0.41927876620347393
Position 491: 0.39925569276780465
Position 633: 0.05995700266075551
Position 285: 0.05319155915949933
Position 270: 0.038199142936048834
Position 1359: 0.021097171149905582
Position 1189: 0.0177993575197248
Position 835: 0.013858298380444872
Position 871: 0.006109515494617258
Position 1369: 0.0042350036629749815
Position 1448: 0.0036588641299235645
Position 318: 0.003555819313828638
Position 1438: 0.0019027609168365588
Position 290: 0.001605815762046954
Position 1403: 0.0014985222038614923
Position 1428: 0.001419082401149187
Position 990: 0.0011286332741237267
Position 1093: 0.0010206054966075534
Position 1463: 0.0009417508061776152
Position 933: 0.0007933074960481848
Position 972: 0.0005974697262059037
Position 571: 0.0005637757284927198
Position 1023: 0.0005296173196586635
Position 113: 0.0005244354960917896
Position 608: 0.0005211978147836304
Position 888: 0.0003457972777902897
Position 313: 0.00028657996270127213
Position 956: 0.00024048801861668292
Position 1559: 0.0002096214146065532
Position 1458: 0.0001916762565989101
Position 577: 0.00016887191130242026
Position 334: 8.255199814414583e-05
Position 148: 7.101596336316239e-05
Position 778: 7.059772530400573e-05
Position 655: 4.495493069185042e-05
Position 639: 3.8476637279394595e-05
Position 658: 3.0859847505254923e-05
Position 1484: 1.1746700704425927e-05
Position 1504: 7.015193016820359e-06
Position 345: 6.941200036428512e-06
Position 729: 6.91982133654141e-06
Position 961: 5.486381846915796e-06
Position 1478: 4.1124729009752555e-06
Position 1228: 3.618355448062209e-06
Position 322: 2.7060983815833585e-06
Position 786: 1.683182305017152e-06
Position 455: 9.154684265029531e-07
Position 168: 9.029835750905835e-07
Position 588: 8.164750248722375e-07
Position 359: 7.939088291583505e-07
Position 1501: 7.061855290695048e-07
Position 1334: 6.999019636882109e-07
Position 1534: 5.888621443110466e-07
Position 338: 5.24153627716385e-07
Position 155: 4.3679933629149307e-07
Position 645: 3.6677790950031657e-07
Position 738: 3.560471989620641e-07
Position 342: 1.4535709386527437e-07
Position 356: 7.458356075257942e-08
Position 350: 1.2514268769988476e-08
Position 671: 8.255454037951357e-09
Position 696: 7.435160142001051e-09
Position 371: 4.156856123589642e-09
Position 185: 3.2036433498470143e-09
Position 762: 2.0455588060565488e-09
Position 187: 9.522229767056178e-10
Position 693: 4.856032437841417e-10
Position 678: 3.4021744253952375e-10
Position 684: 2.583212726910879e-10
Position 441: 1.2160868272490636e-10
Position 666: 5.998628321089193e-11
Position 750: 5.746970724618506e-11
Position 199: 5.367833355040934e-11
Position 437: 8.558154867218505e-12
