Gene = aph-1
index = 1611
Annotated 5SS: [475]
Annotated 3SS: [533]
SMsplice 5SS: [237 475]
SMsplice 3SS: [300 533]
top_k =  1000
Partition function (log Z): -3.6644758810663935

Sorted 5' Splice Sites (High to Low Probability):
Position 475: 0.9672099724236739
Position 237: 0.911489182763757
Position 490: 0.01462748631982275
Position 234: 0.008192891065953056
Position 636: 0.007256867215119042
Position 27: 0.005742679122624
Position 141: 0.0021125028933645733
Position 883: 0.002065556046233723
Position 63: 0.0014836713695326434
Position 869: 0.0012466211400410604
Position 854: 0.0009597566867615956
Position 169: 0.000951917741519412
Position 454: 0.0001261690055426868
Position 602: 9.684755076572527e-05
Position 704: 8.97300194560055e-05
Position 896: 6.467215347262418e-05
Position 807: 4.8546135513400745e-05
Position 829: 4.354655917444017e-05
Position 460: 3.956763906091502e-05
Position 605: 3.3785176678683445e-05
Position 479: 2.6745900146331146e-05
Position 687: 2.1740230300536246e-05
Position 145: 1.4752871421355872e-05
Position 444: 1.4692989255013314e-05
Position 312: 1.0138291695508597e-05
Position 494: 9.30496531280513e-06
Position 6: 5.784566184878738e-06
Position 928: 5.316169279271707e-06
Position 379: 5.2068772091205835e-06
Position 289: 3.3557762497209634e-06
Position 690: 2.2706508878747106e-06
Position 96: 1.468846178920805e-06
Position 280: 1.2306749813143762e-06
Position 943: 1.1237483250066196e-06
Position 499: 1.058795510226568e-06
Position 535: 9.542431714994453e-07
Position 526: 9.092903643769016e-07
Position 277: 2.9346227209579685e-07
Position 87: 2.3010936186421326e-07
Position 708: 1.5942953207692959e-07
Position 792: 1.2596818749923238e-07
Position 774: 1.0865070553585599e-07
Position 582: 6.007030159459742e-08
Position 409: 5.90109731604495e-08
Position 261: 4.97906100904325e-08
Position 291: 4.039772628902534e-08
Position 538: 1.6138961196461984e-08
Position 361: 1.2958815987245098e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 533: 0.9565971399486753
Position 300: 0.9281754467125088
Position 681: 0.01811167943059646
Position 697: 0.011809174733931447
Position 943: 0.004788354765515648
Position 560: 0.0011089179914374173
Position 76: 0.0009199600315229991
Position 993: 0.0007844399247768108
Position 81: 0.0005240994438123795
Position 517: 0.0003767674452114825
Position 599: 0.00023914807120738155
Position 304: 0.00017235997246361798
Position 1018: 8.633992640656875e-05
Position 890: 8.4316684699586e-05
Position 338: 6.51246147024519e-05
Position 258: 5.560077158027789e-05
Position 835: 3.7835412835435345e-05
Position 1010: 3.238031192166738e-05
Position 169: 1.8984392728393578e-05
Position 96: 1.0092889615566979e-05
Position 883: 6.4036582111013605e-06
Position 535: 2.6607720873607247e-06
Position 854: 5.958951987237069e-07
Position 869: 5.078421789752992e-07
Position 829: 1.861334333382579e-07
Position 63: 1.100844046583617e-07
Position 348: 1.0595345349893483e-07
Position 261: 7.348447961858287e-08
Position 489: 5.1787865237667605e-08
Position 999: 4.9182177567925635e-08
Position 48: 4.9123389549818004e-08
Position 634: 4.5776362153652116e-08
Position 393: 4.1717775882422746e-08
Position 484: 3.169218385194314e-08
Position 369: 2.8174454637346613e-08
Position 345: 1.78559784759988e-08
Position 508: 1.7430144767154327e-08
Position 792: 1.6867500012827277e-08
Position 572: 8.583979183723111e-09
Position 54: 7.536831448624324e-09
Position 379: 6.7621161779402265e-09
Position 479: 1.1163245243865703e-10
