Gene = gdl-ORF39
index = 1713
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
top_k =  1000
Partition function (log Z): -4.4342618351197896

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9919964931643744
Position 787: 0.3980045568683937
Position 973: 0.07846127870130244
Position 962: 0.06842257699547757
Position 199: 0.04027993130877932
Position 204: 0.03826484174718376
Position 571: 0.025986927591389566
Position 835: 0.015780566890544613
Position 565: 0.012752968826303814
Position 171: 0.012231003166697056
Position 839: 0.0067943463925699684
Position 1306: 0.005165382083485626
Position 259: 0.003762820270012645
Position 175: 0.0031823439631648224
Position 1036: 0.0030480809928805563
Position 645: 0.0025515124965384607
Position 696: 0.0013549158360543735
Position 7: 0.0011137525339368238
Position 750: 0.0006696055087623718
Position 871: 0.000547059814739922
Position 814: 0.0004816299398590374
Position 319: 0.00043643419902513706
Position 666: 0.00031720289576259045
Position 542: 0.00025424220594698506
Position 811: 0.00021892565173664574
Position 933: 0.00012371593913562004
Position 148: 8.052098962716229e-05
Position 334: 4.2870534616866484e-05
Position 658: 4.189119619287753e-05
Position 544: 3.4990050185895027e-05
Position 106: 2.8913169074440404e-05
Position 399: 2.5009688465246395e-05
Position 441: 9.292155105386678e-06
Position 125: 7.135010017988814e-06
Position 342: 4.7786740345425095e-06
Position 371: 3.2725156108951725e-06
Position 455: 3.058898607635662e-06
Position 1117: 2.8380334835413703e-06
Position 12: 2.0888429954361813e-06
Position 350: 1.7127028917635322e-06
Position 83: 1.2379976377953523e-06
Position 1130: 1.185029944514348e-06
Position 322: 8.639706329122477e-07
Position 345: 5.854074928983146e-07
Position 101: 5.733456210817576e-07
Position 1269: 5.493029772849999e-07
Position 285: 4.5254078207356373e-07
Position 1160: 3.6028402690765376e-07
Position 128: 2.0318134433541293e-07
Position 1246: 1.1062094203810385e-07
Position 1310: 5.934791507265453e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.6743562555730234
Position 501: 0.4272089561349032
Position 491: 0.40751538275610455
Position 633: 0.058180940677038884
Position 285: 0.05325317644970296
Position 270: 0.038243660580949954
Position 1189: 0.014392134047904858
Position 835: 0.014359957340049237
Position 871: 0.006544510638149213
Position 1359: 0.0044550739721359285
Position 318: 0.0035605037774717953
Position 290: 0.001607872440379849
Position 990: 0.0014589833524189086
Position 1093: 0.00111464991986052
Position 933: 0.00095837195682555
Position 972: 0.0007835901982595437
Position 1369: 0.0007378974969190857
Position 1023: 0.0006587606865988867
Position 571: 0.0005577481703868581
Position 113: 0.0005258277896654075
Position 608: 0.0005083499933223908
Position 888: 0.00038181216109340986
Position 956: 0.00030400671595827097
Position 313: 0.0002869379269075025
Position 577: 0.00016659722089096924
Position 334: 8.27935688358391e-05
Position 778: 7.257908953829203e-05
Position 148: 7.11753038999547e-05
Position 655: 4.3944645746158685e-05
Position 639: 3.7854845372378505e-05
Position 658: 3.0509325258447158e-05
Position 961: 7.533277447635214e-06
Position 729: 7.094636455569103e-06
Position 345: 6.947313056985207e-06
Position 1228: 3.5244386024038887e-06
Position 322: 2.709172143659494e-06
Position 786: 1.7461798446209527e-06
Position 455: 1.1678566186561293e-06
Position 588: 1.0371040312974885e-06
Position 168: 9.042500641530508e-07
Position 359: 7.948301993990139e-07
Position 738: 7.424168210473685e-07
Position 338: 5.253031726887843e-07
Position 1231: 4.971977721334733e-07
Position 155: 4.378983569541799e-07
Position 1306: 4.251492275251454e-07
Position 645: 3.340698472961334e-07
Position 1334: 1.680941430756016e-07
Position 342: 1.4807401331591007e-07
Position 356: 7.596809940909122e-08
Position 350: 1.2745158601033763e-08
Position 671: 8.78327490945175e-09
Position 696: 7.904654296165931e-09
Position 371: 4.234085610425127e-09
Position 185: 3.2625874516049657e-09
Position 762: 2.153267280843452e-09
Position 187: 9.697345323166265e-10
Position 693: 5.072124586335921e-10
Position 678: 3.560074125513687e-10
Position 684: 2.701727157649044e-10
Position 441: 1.1800302850421585e-10
Position 666: 6.213566117669241e-11
Position 750: 5.95289133820559e-11
Position 199: 5.466734366378728e-11
Position 437: 8.305203156732399e-12
