Gene = Psn
index = 1391
Annotated 5SS: [ 240  539  843 1120 1394 1565 1877 2245]
Annotated 3SS: [ 298  603  909 1172 1465 1618 2079 2312]
SMsplice 5SS: [ 539  843 1120 1394 1565 1835 2245]
SMsplice 3SS: [ 603  909 1172 1465 1618 2079 2312]
top_k =  1000
Partition function (log Z): 10.872530123270893

Sorted 5' Splice Sites (High to Low Probability):
Position 1394: 0.9997830884057853
Position 1565: 0.989246957494023
Position 2245: 0.8702998913250559
Position 1835: 0.7600423001319974
Position 539: 0.7403471828747731
Position 1120: 0.7344427748972561
Position 843: 0.7253393195237963
Position 31: 0.3781201810776931
Position 1778: 0.19757069277242512
Position 848: 0.08171774881435667
Position 240: 0.030877148605880242
Position 1877: 0.030497888750086397
Position 543: 0.02839847392854022
Position 787: 0.01959746211632
Position 1105: 0.012007180688830684
Position 1087: 0.004609726085305257
Position 1041: 0.003903549566261669
Position 2003: 0.0037719874045707685
Position 1030: 0.0033368169751717787
Position 756: 0.0031979663382876774
Position 1819: 0.0024295268012795228
Position 1004: 0.0014263763339200791
Position 175: 0.001317434186548856
Position 1090: 0.0011948963879453867
Position 1093: 0.001020913665608323
Position 2270: 0.0009846352151943304
Position 692: 0.0009041264859451385
Position 75: 0.0008811791044436626
Position 835: 0.000853903113695324
Position 748: 0.000844453663496796
Position 793: 0.0007841384331340735
Position 995: 0.0006413499837453804
Position 81: 0.0005841824267756416
Position 2202: 0.0005380246956324638
Position 2192: 0.0005051396245565178
Position 1846: 0.00045022713210448467
Position 876: 0.0003821543630188861
Position 2309: 0.000303467863599153
Position 1001: 0.0003019132885654223
Position 998: 0.00024222634444562053
Position 2570: 0.00022381419112524334
Position 437: 0.00017496797804018432
Position 1025: 0.00015869237004887692
Position 1246: 0.00011512054252272394
Position 204: 0.0001109644133071942
Position 2001: 9.714284228316056e-05
Position 61: 7.89957911688163e-05
Position 1398: 7.272529540951408e-05
Position 6: 6.41249614595739e-05
Position 790: 6.220831090137386e-05
Position 689: 5.859780144252473e-05
Position 18: 5.638542001666766e-05
Position 950: 5.4495727322342096e-05
Position 2016: 5.387863044729434e-05
Position 97: 4.730258736266406e-05
Position 183: 4.4443121423573176e-05
Position 144: 4.416301416444061e-05
Position 44: 3.551883378289432e-05
Position 2617: 3.262564699686588e-05
Position 1817: 3.073878751996373e-05
Position 2625: 3.019159466138187e-05
Position 2609: 2.3225020712938494e-05
Position 2274: 2.1476431212745807e-05
Position 337: 2.0305563149656095e-05
Position 883: 1.960845621905566e-05
Position 1965: 1.8878183783687065e-05
Position 2607: 1.7989776308128376e-05
Position 686: 1.781324580361549e-05
Position 1369: 1.5677602474249555e-05
Position 769: 1.449337838392302e-05
Position 284: 1.4486421689523064e-05
Position 274: 1.3599552311548401e-05
Position 244: 1.315612864183427e-05
Position 228: 1.1695092118259485e-05
Position 2031: 1.1161602751499375e-05
Position 2158: 1.0668465991047419e-05
Position 2354: 1.0636305777508118e-05
Position 1925: 1.0454669233185836e-05
Position 35: 9.960040325296644e-06
Position 1955: 7.679383224322949e-06
Position 880: 6.698599090934749e-06
Position 1257: 6.458747699049235e-06
Position 1243: 5.383163755325716e-06
Position 874: 4.832415338959344e-06
Position 563: 4.814489241304703e-06
Position 671: 4.411304794657502e-06
Position 1989: 4.182160394534126e-06
Position 1510: 4.01124180714631e-06
Position 1948: 3.9153562797928586e-06
Position 264: 3.6142087394186965e-06
Position 1923: 3.3118383700291852e-06
Position 1763: 2.6169609928088204e-06
Position 628: 2.294013574897218e-06
Position 287: 2.0480104702402535e-06
Position 1984: 1.8805893532870407e-06
Position 2019: 1.8336064539270845e-06
Position 2151: 1.798505734407563e-06
Position 1639: 1.7734951627085078e-06
Position 1979: 1.3498738910412895e-06
Position 625: 1.2756205757191645e-06
Position 383: 9.002710583836698e-07
Position 2313: 8.807326151366474e-07
Position 465: 6.684289385048987e-07
Position 2167: 6.007796189719212e-07
Position 2531: 4.40278852847992e-07
Position 763: 3.5409474464196624e-07
Position 1648: 2.654558097056564e-07
Position 1284: 2.5307059803051254e-07
Position 1330: 2.5106613811466423e-07
Position 247: 2.3751309965486834e-07
Position 2526: 2.2777217769728683e-07
Position 2092: 2.0973268936860632e-07
Position 400: 1.420241170628449e-07
Position 262: 1.3856300077748195e-07
Position 1974: 9.835371420549996e-08
Position 1332: 5.967169657711386e-08
Position 1689: 2.343465078091521e-08
Position 1309: 1.4500087298687435e-08
Position 1146: 1.3420511873684926e-08
Position 1692: 1.2475197914897299e-08
Position 1158: 5.76613388644204e-09
Position 1627: 3.626052691982089e-09
Position 1624: 2.6007093388483526e-10
