Gene = Cpr64Ad
index = 1097
Annotated 5SS: [86]
Annotated 3SS: [160]
SMsplice 5SS: [86]
SMsplice 3SS: [160]
top_k =  1000
Partition function (log Z): -3.6453032549125686

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.966944379431691
Position 6: 0.0722837884866589
Position 92: 0.0018503027510578449
Position 108: 0.0013923849381050164
Position 96: 0.0008408776313575267
Position 651: 0.0005881067767780388
Position 659: 0.00016378824616606092
Position 35: 0.00014650827492200067
Position 10: 0.0001456144554889697
Position 618: 8.835291637704086e-05
Position 905: 6.93063600171955e-05
Position 957: 5.622715147678864e-05
Position 90: 3.812838920119102e-05
Position 645: 3.6466739659911397e-05
Position 121: 3.328189900066536e-05
Position 350: 2.0380692717979798e-05
Position 693: 1.3078796330711856e-05
Position 580: 1.3010109592333624e-05
Position 512: 1.2574693177929417e-05
Position 923: 8.788506184294083e-06
Position 116: 7.221592423979244e-06
Position 240: 6.306110923185742e-06
Position 209: 6.289958487703886e-06
Position 914: 5.664979058290742e-06
Position 204: 5.234606320453649e-06
Position 586: 5.014496914429578e-06
Position 298: 4.352651511434157e-06
Position 663: 3.5485687268029966e-06
Position 431: 3.000955164651607e-06
Position 536: 2.903490461082578e-06
Position 373: 2.849393830616564e-06
Position 699: 2.660009641481712e-06
Position 563: 2.1765808864161612e-06
Position 479: 2.140299058699731e-06
Position 890: 1.8563765904669184e-06
Position 14: 1.3210708569942073e-06
Position 371: 1.2387111778851506e-06
Position 161: 1.1458394701181636e-06
Position 735: 1.0865107324188608e-06
Position 488: 8.448147410513535e-07
Position 702: 6.818302969912081e-07
Position 707: 4.6603020646205865e-07
Position 911: 4.328794219929089e-07
Position 749: 3.808037437444774e-07
Position 656: 3.4343773743653813e-07
Position 422: 1.3464252983191424e-07
Position 978: 3.900520754001451e-08
Position 827: 3.600435798818885e-08
Position 761: 2.4934500841153285e-08
Position 455: 2.4566823759442277e-08
Position 782: 1.683764829032123e-08
Position 791: 1.6419696118778557e-08
Position 806: 5.956231433469527e-09
Position 881: 4.219038303797867e-09
Position 746: 4.20383477159166e-09
Position 599: 1.5266979730447194e-11
Position 170: 2.642291502848144e-12
Position 164: 1.9569143914395399e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9980382523300576
Position 63: 0.04453931200918157
Position 711: 0.0007235052408541443
Position 170: 0.0005033476238342635
Position 746: 0.00025675795045940344
Position 580: 0.00020830960401023893
Position 1022: 0.00015053909997972078
Position 120: 0.00012120157919107906
Position 199: 8.336683653446857e-05
Position 90: 7.458076749307015e-05
Position 422: 3.962709366012343e-05
Position 479: 2.173544723609061e-05
Position 604: 1.4915068690897246e-05
Position 754: 5.721349222921369e-06
Position 536: 4.0124168298490614e-06
Position 512: 3.77725872376829e-06
Position 782: 3.531664602241728e-06
Position 791: 3.3028872206009012e-06
Position 628: 3.081743093192228e-06
Position 851: 2.3203053295656852e-06
Position 818: 2.228560041631242e-06
Position 491: 1.993169771199939e-06
Position 586: 1.9914272271229315e-06
Position 431: 1.2121070849896353e-06
Position 945: 1.205226491418589e-06
Position 757: 9.941902976090114e-07
Position 379: 9.622559857688778e-07
Position 634: 5.623172860759939e-07
Position 455: 4.898126899631137e-07
Position 827: 4.1465375832219153e-07
Position 125: 3.719110666552144e-07
Position 685: 2.773682151703216e-07
Position 559: 2.1440011996711683e-07
Position 488: 2.098725323623754e-07
Position 802: 1.5610629791734695e-07
Position 893: 1.4324382447411357e-07
Position 637: 9.487370793376542e-08
Position 862: 6.669651306845936e-08
Position 128: 1.5778604315829864e-08
Position 890: 1.3804598538377904e-08
