Gene = crok
index = 1659
Annotated 5SS: [150]
Annotated 3SS: [227]
SMsplice 5SS: [150]
SMsplice 3SS: [227]
top_k =  1000
Partition function (log Z): -8.271213970441348

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.964963819491369
Position 687: 0.02994026460318433
Position 725: 0.014636947433317568
Position 756: 0.013175175551630275
Position 696: 0.013040080754335845
Position 396: 0.011813256256079367
Position 389: 0.011010954039382213
Position 714: 0.00788748993968815
Position 623: 0.007212354053330788
Position 593: 0.004381001317896889
Position 154: 0.0016238338414279
Position 243: 0.0005880898201770611
Position 956: 0.00034906308308882997
Position 569: 0.00024727393371240134
Position 353: 0.00020052290311505457
Position 970: 0.00019547932939907166
Position 892: 0.00014506152637487976
Position 158: 0.00010519891058949671
Position 502: 8.767651618892759e-05
Position 511: 5.1519432521456414e-05
Position 718: 4.682149364160485e-05
Position 599: 3.1199377832078244e-05
Position 1000: 2.857699495302172e-05
Position 842: 2.1337000269402192e-05
Position 716: 1.5673475848941804e-05
Position 791: 1.146488296182663e-05
Position 644: 1.06626650769049e-05
Position 876: 9.067094980179937e-06
Position 18: 6.869446544082354e-06
Position 367: 6.217187022064955e-06
Position 369: 1.5711157728164243e-06
Position 857: 1.3422573940398934e-06
Position 1005: 1.1307447398156987e-06
Position 887: 8.413299042237994e-07
Position 839: 5.468861149653441e-07
Position 865: 1.3879070816241676e-07
Position 125: 1.663582964590379e-08
Position 252: 1.3183514862337234e-08
Position 811: 1.1316582255181466e-10
Position 834: 6.219730325047407e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 227: 0.6714652421683882
Position 811: 0.14122950691416733
Position 808: 0.11883216462685925
Position 325: 0.04929308234198299
Position 297: 0.04567520537935367
Position 834: 0.016003665756035464
Position 232: 0.009666066929235259
Position 258: 0.009144833659371467
Position 772: 0.006020052895194648
Position 552: 0.0057043408526548
Position 417: 0.0049585919088026
Position 483: 0.0010516144659404036
Position 1017: 0.0006684663776924874
Position 1071: 0.0005459981426930396
Position 622: 0.0004945956973285891
Position 901: 0.00036029106193240603
Position 728: 0.0001486099234338606
Position 519: 0.00011253268472093144
Position 1032: 7.262044895056709e-05
Position 641: 5.747841770617897e-05
Position 1026: 4.9721373094206755e-05
Position 385: 4.894539254859865e-05
Position 647: 4.449151944528412e-05
Position 865: 3.8807995927303994e-05
Position 674: 3.866748613311803e-05
Position 523: 3.341856043438212e-05
Position 376: 2.174629748786929e-05
Position 702: 1.8593350369218477e-05
Position 334: 1.336242887411432e-05
Position 1044: 9.487236406338176e-06
Position 388: 8.663868761908409e-06
Position 557: 4.791514437596123e-06
Position 197: 4.788268865742906e-06
Position 743: 3.1183784228498315e-06
Position 70: 1.6453938573022989e-06
Position 683: 1.3731571229810877e-06
Position 349: 1.3693015224152303e-06
Position 850: 5.387567060573085e-07
Position 502: 4.1952056510536836e-08
Position 103: 9.42374470729406e-09
Position 448: 7.152031782541429e-09
Position 687: 3.3652402957320487e-09
Position 190: 6.477836420902774e-10
Position 154: 9.37799311054994e-13
Position 340: 6.156174748019316e-13
Position 436: 1.1688227015298057e-14
