Gene = Thor
index = 1559
Annotated 5SS: [327]
Annotated 3SS: [750]
SMsplice 5SS: [327]
SMsplice 3SS: [750]
top_k =  1000
Partition function (log Z): -4.175371397364409

Sorted 5' Splice Sites (High to Low Probability):
Position 327: 0.9964882075336219
Position 95: 0.05209531052077482
Position 89: 0.01489881702656063
Position 619: 0.008745990003685894
Position 956: 0.004726712878521684
Position 26: 0.004525771949247405
Position 672: 0.0039026853452383387
Position 126: 0.0023326057379373334
Position 875: 0.0011581803887706166
Position 963: 0.0007532853794269489
Position 128: 0.0007002942131084862
Position 93: 0.0005476442739861182
Position 583: 0.00048113805695412315
Position 633: 0.00045724424136921285
Position 245: 0.0003593041549604058
Position 387: 0.0003081653535495096
Position 460: 0.0003025030742503214
Position 651: 0.00029539793553975816
Position 363: 0.00023998983698105
Position 278: 0.00023028012119652953
Position 150: 0.0002141155356577592
Position 392: 0.00021187543087813963
Position 579: 0.00016175103839192735
Position 331: 9.780577518058777e-05
Position 972: 8.334388302566935e-05
Position 528: 5.32249677287911e-05
Position 1007: 4.1833679753107275e-05
Position 1049: 4.022145059289586e-05
Position 280: 3.287937235396672e-05
Position 509: 2.5724538431311018e-05
Position 1091: 2.270364905329585e-05
Position 373: 2.0641687165374222e-05
Position 1104: 1.866957552668579e-05
Position 623: 1.5077735519068916e-05
Position 467: 1.4541093550399442e-05
Position 941: 1.3068464696280832e-05
Position 138: 9.912985972507989e-06
Position 611: 7.01845505029863e-06
Position 184: 6.859912348052978e-06
Position 970: 6.33899948444908e-06
Position 1071: 6.105260621556527e-06
Position 503: 5.867828095046327e-06
Position 914: 5.531830639396404e-06
Position 1078: 3.195997622300592e-06
Position 859: 2.9578506305313297e-06
Position 587: 2.9263707733933958e-06
Position 512: 2.5599158678998377e-06
Position 1047: 2.3762499555981775e-06
Position 110: 1.7340385838036697e-06
Position 835: 6.049454410130309e-07
Position 828: 5.290123035925518e-07
Position 1095: 3.778026392536244e-07
Position 204: 3.7701110240346687e-07
Position 885: 2.655448508725403e-07
Position 1118: 1.4461688676691998e-07
Position 879: 1.3287416109408014e-07
Position 965: 1.2538281312000484e-07
Position 248: 1.8842208379121602e-10
Position 821: 6.242175501498473e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 750: 0.967398664190907
Position 176: 0.0705863983604657
Position 410: 0.02836149239781245
Position 619: 0.008224690789484696
Position 1137: 0.00424192040186082
Position 707: 0.0037448854736579357
Position 1165: 0.0026249533005460353
Position 209: 0.0014706283665189882
Position 143: 0.0013019260506534202
Position 1014: 0.0010735120064638076
Position 497: 0.0007822437953731884
Position 181: 0.0006587630128689173
Position 1063: 0.00052815555205959
Position 423: 0.0004022956686819784
Position 460: 0.0003228376668968613
Position 1007: 0.0002800636770755707
Position 89: 0.0002684737856732497
Position 240: 0.0002681620675764237
Position 387: 0.0002507444985953904
Position 220: 0.00023496659925567674
Position 835: 0.0002230820915264313
Position 785: 0.00019900299070803762
Position 631: 0.00018193391137642643
Position 268: 0.00017093307034665668
Position 1042: 0.00016688367575796165
Position 875: 0.00013804879437572887
Position 1047: 8.756056825563719e-05
Position 116: 7.470625172125049e-05
Position 373: 6.732064470190185e-05
Position 1078: 6.19346401631179e-05
Position 150: 5.9488624697066744e-05
Position 959: 3.115703908535887e-05
Position 935: 2.8677444646045335e-05
Position 908: 2.4439775566407917e-05
Position 587: 2.3805041742365027e-05
Position 636: 2.2181505333286446e-05
Position 660: 2.1191052523030217e-05
Position 583: 1.2392032137116157e-05
Position 672: 9.915932749075918e-06
Position 770: 7.473885491411914e-06
Position 941: 6.403532354491752e-06
Position 509: 6.213033608548599e-06
Position 987: 6.092224182184359e-06
Position 244: 5.1057513519695416e-06
Position 605: 4.330586900474168e-06
Position 1145: 3.953141332171479e-06
Position 905: 3.5190946612829292e-06
Position 923: 3.2334290970656737e-06
Position 1071: 1.926634959719301e-06
Position 808: 1.4875599753666998e-06
Position 594: 1.3495806888882157e-06
Position 914: 8.039459880855908e-07
Position 126: 3.965195490732563e-07
Position 633: 1.405476015936914e-07
Position 277: 5.467434766554249e-08
Position 347: 1.3560691211675731e-08
Position 392: 1.0161542271396409e-08
Position 326: 8.385294844457719e-09
Position 331: 2.9376971913404746e-11
Position 579: 1.1032219369403792e-11
Position 352: 6.033331838353136e-15
Position 363: 9.022657738334267e-17
