Gene = Su(P)
index = 1530
Annotated 5SS: [ 837 1308]
Annotated 3SS: [ 900 1369]
SMsplice 5SS: [ 837 1308]
SMsplice 3SS: [ 900 1369]
top_k =  1000
Partition function (log Z): -2.4827979194305936

Sorted 5' Splice Sites (High to Low Probability):
Position 837: 0.9774917659495787
Position 1308: 0.9672677499336277
Position 592: 0.21416760697994422
Position 496: 0.05649947375190342
Position 1317: 0.016742726657706746
Position 601: 0.016573372162880972
Position 446: 0.013793218448273928
Position 583: 0.007429699938146248
Position 579: 0.0022994298584721857
Position 1147: 0.001938099318388397
Position 403: 0.0013329267972227103
Position 152: 0.0013021458594478321
Position 640: 0.001203881159838261
Position 441: 0.0005867790836654271
Position 856: 0.0005475915757739804
Position 841: 0.0004489058581184365
Position 55: 0.000433106553933391
Position 1138: 0.0004195857072945649
Position 289: 0.0003139712856463526
Position 30: 0.0002691774397066784
Position 1433: 0.0002289767177040697
Position 1021: 0.00020884635510385252
Position 631: 0.0001772988171370003
Position 457: 0.00016930714197462243
Position 223: 0.00015760910361199454
Position 124: 0.00011982386177580779
Position 817: 9.37787976155923e-05
Position 1084: 6.666994641714072e-05
Position 1269: 6.168384762129692e-05
Position 913: 6.071639155194152e-05
Position 544: 5.941342161949987e-05
Position 535: 5.567546081597448e-05
Position 851: 3.862763264983267e-05
Position 1061: 3.841620500367749e-05
Position 1133: 3.6591308013919474e-05
Position 1068: 3.17257086374051e-05
Position 792: 3.1688753861003026e-05
Position 73: 2.744521639623165e-05
Position 468: 2.678478324265234e-05
Position 210: 2.6759116506331894e-05
Position 310: 2.6382138532306028e-05
Position 576: 2.588461837632265e-05
Position 1071: 2.192842910299576e-05
Position 1221: 2.1520514112645357e-05
Position 424: 1.9582929162142907e-05
Position 312: 1.9163915033476926e-05
Position 477: 1.6717681438024084e-05
Position 889: 1.6659265295291256e-05
Position 538: 1.5837289429889805e-05
Position 650: 1.291452300204037e-05
Position 217: 1.1869865000024212e-05
Position 1287: 1.1493273194476752e-05
Position 1000: 1.144445955365368e-05
Position 1028: 1.1135829718213727e-05
Position 61: 1.071373260472393e-05
Position 941: 9.09883364614559e-06
Position 321: 8.825989533576075e-06
Position 330: 8.25522749612755e-06
Position 553: 8.177114993475135e-06
Position 1238: 7.602020201988099e-06
Position 479: 5.672267575498221e-06
Position 16: 5.276299205807434e-06
Position 462: 5.26261448875024e-06
Position 1276: 5.260151369153059e-06
Position 1003: 4.294767624458589e-06
Position 717: 3.287676501252046e-06
Position 8: 3.068923255000255e-06
Position 1267: 3.039835897924682e-06
Position 1247: 2.970054480746079e-06
Position 89: 2.0279929235215717e-06
Position 488: 1.7070057655601443e-06
Position 1412: 1.487218008530704e-06
Position 963: 8.935947240726535e-07
Position 168: 8.083402147922457e-07
Position 274: 7.982311027414834e-07
Position 1370: 4.740721132400866e-07
Position 982: 3.5590239351656215e-07
Position 102: 3.4756914799969556e-07
Position 1335: 3.3557500362397997e-07
Position 1113: 3.082009250576777e-07
Position 128: 1.9406830693553083e-07
Position 1330: 1.919308198741341e-07
Position 1165: 1.8899907927687319e-07
Position 1395: 1.8472282500108323e-07
Position 1419: 1.4395690575676295e-07
Position 1399: 5.299799427386703e-08
Position 1377: 1.4184449371402784e-08
Position 84: 2.5029658077382626e-09
Position 887: 2.1458085578786211e-10
Position 112: 2.090800711882096e-10
Position 893: 6.840516502597024e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1369: 0.987263627803462
Position 900: 0.95636365767277
Position 670: 0.23646759271367057
Position 684: 0.052103304932254776
Position 564: 0.02108750620944518
Position 970: 0.017963726449349758
Position 495: 0.004152749703985323
Position 1216: 0.0014008203397725552
Position 913: 0.0012850200706045584
Position 1094: 0.0011913136367611673
Position 618: 0.0005380541427172334
Position 468: 0.0004345949330082957
Position 887: 0.0003784787960129687
Position 1125: 0.00037602026126668474
Position 615: 0.0002539354933531844
Position 1491: 0.00023921280204370967
Position 100: 0.00020522157105342778
Position 544: 0.0001912600986825655
Position 121: 0.0001551458760428479
Position 921: 0.0001392452067940888
Position 1392: 0.00012926159230663075
Position 690: 0.00011542641872103464
Position 1013: 9.39832417267499e-05
Position 474: 8.958378859373175e-05
Position 1257: 6.666173378223737e-05
Position 1165: 6.331962465011639e-05
Position 717: 5.96623436796813e-05
Position 210: 5.54375345926433e-05
Position 636: 4.0673897213114074e-05
Position 989: 3.270653050539235e-05
Position 292: 2.8914055306357873e-05
Position 933: 2.7176851586200518e-05
Position 1137: 2.3214588761264732e-05
Position 142: 1.8403613650521436e-05
Position 1188: 1.3230709871739707e-05
Position 762: 1.0843226722232606e-05
Position 918: 9.885226078076237e-06
Position 274: 8.237752162694315e-06
Position 1221: 7.124903462292248e-06
Position 591: 5.529288541197957e-06
Position 588: 5.365375910605784e-06
Position 1099: 3.27646095966183e-06
Position 1048: 2.720003733466884e-06
Position 327: 2.4822486369162834e-06
Position 1108: 2.454286669416366e-06
Position 337: 2.131666986939585e-06
Position 1407: 1.7322843514438387e-06
Position 267: 1.693726538416879e-06
Position 650: 1.419315181972512e-06
Position 813: 1.2580926156016103e-06
Position 759: 1.2528268771467502e-06
Position 220: 1.2468504172587121e-06
Position 1273: 1.2436432886711632e-06
Position 1021: 1.212630167407156e-06
Position 435: 1.0418010400992779e-06
Position 1302: 8.20934684134076e-07
Position 1456: 3.430449644552336e-07
Position 355: 3.1163464543913995e-07
Position 1186: 2.70700126089175e-07
Position 363: 2.3742215640393125e-07
Position 1419: 1.8712786414870856e-07
Position 242: 1.4767658433146086e-07
Position 55: 6.777584467295176e-08
Position 61: 5.7831379756949804e-08
Position 825: 5.2599829664080815e-08
Position 146: 4.631322472068832e-08
Position 1427: 4.290028174274859e-08
Position 817: 8.440199364766373e-09
Position 403: 5.3036382670849825e-09
Position 366: 4.813475025152873e-09
Position 417: 3.791375395564091e-09
