Gene = Phf5a
index = 1378
Annotated 5SS: [138 405 556]
Annotated 3SS: [213 469 620]
SMsplice 5SS: [405 556]
SMsplice 3SS: [469 620]
top_k =  1000
Partition function (log Z): -2.0866901545535215

Sorted 5' Splice Sites (High to Low Probability):
Position 405: 0.9726706818195834
Position 556: 0.9193106690330244
Position 138: 0.35638001607540803
Position 332: 0.014550985125252094
Position 606: 0.01324123342186421
Position 134: 0.0012776099821130776
Position 560: 0.00043499427843648385
Position 417: 0.00031625130834446317
Position 442: 0.00024010332423825173
Position 6: 0.00023168795413872002
Position 409: 0.00021992738468886168
Position 248: 0.00013353928411875894
Position 12: 8.870048861684108e-05
Position 491: 4.925818233993674e-05
Position 270: 1.6397323650937426e-05
Position 430: 1.5132510719342626e-05
Position 575: 1.4382510371774696e-05
Position 439: 1.066880646407642e-05
Position 288: 9.626010400564542e-06
Position 380: 8.819124313161868e-06
Position 49: 7.660296566745321e-06
Position 359: 7.094699853637568e-06
Position 28: 4.95365057126772e-06
Position 158: 4.775366666563013e-06
Position 142: 3.1219947008106882e-06
Position 4: 2.369403054802274e-06
Position 250: 1.2943012136125318e-06
Position 336: 1.1816209295757764e-06
Position 252: 4.80039842496782e-07
Position 343: 4.0690939038972943e-07
Position 357: 2.4695261449967996e-07
Position 227: 2.1706637457371053e-07
Position 460: 2.045890432563607e-07
Position 520: 1.2720105185932297e-07
Position 229: 1.2118105357769176e-07
Position 305: 3.765268436918477e-08
Position 450: 1.7052558064459467e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 469: 0.9839526866223305
Position 620: 0.6538176638576728
Position 213: 0.3451169445485971
Position 674: 0.2836882887913093
Position 237: 0.003706034101908923
Position 326: 0.003705341112854051
Position 500: 0.00208913948792114
Position 395: 0.0008793048963371485
Position 401: 0.0006928570055956323
Position 248: 0.0006711358427579927
Position 504: 0.0003635980018152461
Position 331: 0.00021041890885427093
Position 127: 0.00015406358798716763
Position 171: 9.290596586256479e-05
Position 535: 3.5132038516587396e-05
Position 124: 3.41102630823732e-05
Position 487: 2.4424867302999295e-05
Position 553: 9.69997736975404e-06
Position 380: 4.613959339279777e-06
Position 556: 3.1273479814632245e-06
Position 417: 1.346288860591238e-06
Position 305: 1.0751266820421864e-06
Position 511: 9.194617368170431e-07
Position 348: 6.619867277537875e-08
Position 567: 4.122409299493415e-08
Position 357: 2.9803422331123636e-08
Position 572: 1.850285346435559e-08
Position 575: 5.5631534006453084e-09
Position 409: 3.4732438035428375e-10
Position 142: 2.240637455344969e-10
