Gene = sty
index = 1901
Annotated 5SS: [511]
Annotated 3SS: [20013]
SMsplice 5SS: [511]
SMsplice 3SS: [20013]
top_k =  1000
Partition function (log Z): -13.275477611482815

Sorted 5' Splice Sites (High to Low Probability):
Position 511: 0.9812547686346613
Position 1957: 0.10095162494685159
Position 176: 0.04726913718337918
Position 260: 0.04372123737677431
Position 10103: 0.042397057078324356
Position 15735: 0.024704278236224127
Position 182: 0.01797319598650934
Position 13234: 0.013015386301337976
Position 10140: 0.011781821001368367
Position 1603: 0.009443181848858605
Position 13793: 0.0093382651835521
Position 4970: 0.008229860709644994
Position 12062: 0.005943824594636211
Position 10454: 0.005807933853175707
Position 166: 0.005288959755875636
Position 218: 0.00476039358387109
Position 151: 0.0046908157886956505
Position 15976: 0.004447128629909032
Position 3066: 0.003978285334742258
Position 8132: 0.0032612140992428437
Position 157: 0.0032572444664093277
Position 101: 0.0029021687853322186
Position 15591: 0.0028128993813266202
Position 11733: 0.002711980567053853
Position 2580: 0.0025257064010243803
Position 20601: 0.0025021206054476304
Position 6590: 0.002386642335867399
Position 14013: 0.002383022471929954
Position 1767: 0.002375110275017816
Position 7236: 0.0023628414782997224
Position 664: 0.002286697049622642
Position 2267: 0.002025343923039274
Position 3711: 0.001543502868980671
Position 1789: 0.001527420883503774
Position 10485: 0.0014935938929738894
Position 5959: 0.0014484274818905723
Position 13560: 0.0013538672242507414
Position 1017: 0.001348571323446334
Position 771: 0.001342419917872606
Position 9406: 0.0011104825160799072
Position 1376: 0.0010784286348627476
Position 10129: 0.0010298934469847056
Position 704: 0.0010174883537674032
Position 5891: 0.001007335365812279
Position 6586: 0.0009843439972108887
Position 812: 0.000924795038611968
Position 6526: 0.0009041126810976607
Position 992: 0.0007622159343270093
Position 14064: 0.0005969127418013901
Position 15980: 0.0005612187714727506
Position 1761: 0.0004888020369381585
Position 6578: 0.0004509674786794803
Position 719: 0.0004225839453787415
Position 10713: 0.00038804336250572566
Position 8537: 0.0003579920492863429
Position 10167: 0.0003398823678409364
Position 15: 0.00019374854410786428
Position 327: 0.00012927183137329717
Position 1744: 0.00010488162899701132
Position 188: 0.00010170386117435572
Position 1606: 9.252970917136469e-05
Position 51: 8.056850402404574e-05
Position 1026: 7.539325908537864e-05
Position 4595: 7.502668430225715e-05
Position 32: 6.0742688623528814e-05
Position 1664: 5.9430749236907886e-05
Position 10204: 5.911641178869085e-05
Position 4522: 4.3807063822656e-05
Position 190: 3.792239218189902e-05
Position 98: 3.4205886910151565e-05
Position 2895: 3.170819671648573e-05
Position 4279: 2.650269081470983e-05
Position 1208: 2.4985426304824838e-05
Position 4207: 1.9020924386211552e-05
Position 515: 1.861791982173968e-05
Position 831: 1.5021055416888987e-05
Position 1640: 1.40425354545393e-05
Position 1462: 1.0991023401432915e-05
Position 669: 9.958042016319093e-06
Position 3590: 7.219734215343824e-06
Position 873: 3.73621061249906e-06
Position 3428: 3.711063021053335e-06
Position 3609: 3.5881902468068846e-06
Position 2393: 3.1819093900937872e-06
Position 1176: 3.1275598889886557e-06
Position 4161: 2.669268712566987e-06
Position 3413: 1.7488234277938902e-06
Position 1217: 1.5416538632416922e-06
Position 322: 1.1135197639015732e-06
Position 105: 1.0931993067559991e-06
Position 2047: 1.077976265008894e-06
Position 1971: 1.0075855436620107e-06
Position 332: 8.862276184130555e-07
Position 823: 8.706254817293172e-07
Position 292: 5.444264561875966e-07
Position 865: 3.998997252669541e-07
Position 1847: 3.4383439754141694e-07
Position 826: 3.0468852301430596e-07
Position 783: 2.4527262106591743e-07
Position 1224: 2.3876209091903145e-07
Position 396: 2.3409530548897237e-07
Position 589: 2.2668579627522713e-07
Position 1453: 1.8798543926547508e-07
Position 601: 7.270344647007536e-08
Position 835: 6.920484686957899e-08
Position 936: 1.8881195985146065e-08
Position 686: 1.597296424135439e-08
Position 1186: 1.1651714030463383e-09
Position 946: 6.633888581430893e-10
Position 753: 3.6588775546817915e-10
Position 631: 1.9002819799424773e-10
Position 653: 1.7002755394881218e-10
Position 564: 1.4145793116494607e-10
Position 449: 1.0672474075646395e-10
Position 582: 6.19846660917185e-11
Position 533: 1.2068340656489893e-11
Position 526: 5.40269034251681e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 20013: 0.9479411507503752
Position 314: 0.06212297876873745
Position 9983: 0.05981422607432341
Position 23151: 0.03550068616684364
Position 564: 0.033575096256177
Position 1828: 0.03320226266220795
Position 258: 0.027564348033989005
Position 15482: 0.025266614892508935
Position 1667: 0.017095689981432547
Position 1875: 0.016981555287992917
Position 22925: 0.01534550221330678
Position 13133: 0.013605287376073
Position 1692: 0.013337691786997842
Position 13696: 0.010536836496764726
Position 377: 0.010176508358490453
Position 4834: 0.008927311195092661
Position 327: 0.005104564315682752
Position 332: 0.004866832117795062
Position 15808: 0.004200524311924783
Position 11533: 0.0037583248190949134
Position 15506: 0.003368713417332117
Position 946: 0.003194809862879535
Position 11815: 0.0030223673526195644
Position 218: 0.002870653532858537
Position 7948: 0.001989319510020895
Position 9995: 0.0019101126593451619
Position 11869: 0.0018490430566187657
Position 2096: 0.0016463333404585538
Position 6050: 0.0015973374766541535
Position 3534: 0.0015635526493816927
Position 6696: 0.00154938792519532
Position 5641: 0.0015092440618772
Position 2964: 0.0014954700741920085
Position 20703: 0.0012624232912371997
Position 6388: 0.0012555797971256673
Position 20658: 0.0012396973142104325
Position 4663: 0.0011877137382711673
Position 342: 0.001140323486734475
Position 13623: 0.0011320269905045247
Position 1298: 0.0010009423049689996
Position 6879: 0.0009688643385218465
Position 9321: 0.0007423617427008154
Position 2694: 0.0007208930615545512
Position 1731: 0.0007082646319326188
Position 2159: 0.000652992301525666
Position 1800: 0.0006438397771457802
Position 12667: 0.0006395371790121526
Position 1099: 0.000633016084892531
Position 1491: 0.0005899800216864719
Position 5644: 0.0005612952057336296
Position 1017: 0.0005604240623232937
Position 11497: 0.0005391705482522571
Position 10271: 0.0005132310241164557
Position 1281: 0.00045184982475030564
Position 1837: 0.00044818309161634044
Position 5695: 0.00040044285175373654
Position 9719: 0.0003650389286469065
Position 2752: 0.0003142948589057416
Position 570: 0.0002902099489756604
Position 11596: 0.0002680860057587474
Position 1734: 0.00025670591525747363
Position 19694: 0.00024638277764055526
Position 18937: 0.00024192048085056888
Position 2435: 0.0002417021579952948
Position 10166: 0.0002402341049649534
Position 1760: 0.00022599436138772338
Position 1278: 0.00021513250316181396
Position 7945: 0.0002024493681812897
Position 7547: 0.0002003536540373319
Position 8478: 0.0001965918737860417
Position 8837: 0.00019518134902934137
Position 589: 0.00018423114136640746
Position 2143: 0.0001777051892321632
Position 1697: 0.00017484980253311782
Position 9999: 0.00015837733708856495
Position 663: 0.00015390167587678484
Position 904: 0.0001532362594633118
Position 10342: 0.0001504966204372861
Position 7842: 0.0001464643775315851
Position 8771: 0.00014540994963087485
Position 10377: 0.00014392183301295528
Position 7091: 0.00013675816701841023
Position 17319: 0.00012059116872419575
Position 18470: 0.00011937938529380163
Position 7107: 0.0001141541114146652
Position 264: 0.00011034922199071766
Position 644: 0.00010884945676230944
Position 7260: 0.00010230112749485454
Position 883: 0.00010020221807785703
Position 2968: 9.826573268675717e-05
Position 831: 9.704898746190686e-05
Position 8421: 9.622090410718918e-05
Position 8251: 9.493466289458616e-05
Position 4041: 9.368906369376075e-05
Position 388: 9.303430582314872e-05
Position 1387: 8.245015500977601e-05
Position 1540: 8.126625873507845e-05
Position 2812: 7.446197902555045e-05
Position 2653: 7.422928042729865e-05
Position 838: 7.16581178454376e-05
Position 1156: 7.120163927616877e-05
Position 6922: 7.051890303500327e-05
Position 2522: 5.946345259096239e-05
Position 18259: 5.691616122717535e-05
Position 98: 5.596412219651329e-05
Position 17101: 5.405555428401966e-05
Position 5764: 5.153191994766703e-05
Position 1106: 5.0837083292585294e-05
Position 2915: 4.3554088815723104e-05
Position 1025: 3.691686838115086e-05
Position 1237: 3.673030918563444e-05
Position 2439: 3.490595171504103e-05
Position 2787: 3.45607914042266e-05
Position 3540: 3.306255745085277e-05
Position 1810: 3.1149118452788556e-05
Position 17974: 3.054127758057609e-05
Position 2304: 2.489933634925397e-05
Position 2105: 2.4741966121924096e-05
Position 479: 2.20902264482281e-05
Position 3754: 1.571037409132444e-05
Position 7790: 1.4739235017806166e-05
Position 7569: 1.4285330860140288e-05
Position 7651: 1.424165956470365e-05
Position 719: 1.0396211584485242e-05
Position 865: 9.397690465720906e-06
Position 16175: 7.5161307964722355e-06
Position 1503: 7.296372617066239e-06
Position 15921: 7.10904757354045e-06
Position 4000: 5.539617657549787e-06
Position 3960: 5.11251696307755e-06
Position 6828: 4.3201115167921175e-06
Position 4324: 4.00531993141041e-06
Position 7153: 3.835461906364485e-06
Position 3337: 3.6287616260369232e-06
Position 7174: 3.6140563127990377e-06
Position 686: 3.5918506836405473e-06
Position 458: 2.719009573308397e-06
Position 14376: 2.5651370202616936e-06
Position 6012: 2.496431421809653e-06
Position 494: 2.19036470772775e-06
Position 5715: 1.8642407480589004e-06
Position 1744: 1.785373560881733e-06
Position 15312: 1.7214493442480733e-06
Position 669: 1.6323007717825733e-06
Position 14938: 1.5903581187674309e-06
Position 1415: 1.4128111152654108e-06
Position 1406: 1.3651753571773157e-06
Position 14455: 1.3256801356521414e-06
Position 166: 1.2117595831109313e-06
Position 15340: 1.1290771813195104e-06
Position 5744: 1.1144286244951794e-06
Position 15161: 1.0991427397425414e-06
Position 3216: 1.004413230276052e-06
Position 3375: 8.557185000559027e-07
Position 1714: 4.5203416586543286e-07
Position 3603: 3.739149716356389e-07
Position 112: 3.730387005865329e-07
Position 2392: 3.299090661287029e-07
Position 1937: 3.060307490942219e-07
Position 12367: 1.2670888679533123e-07
Position 1606: 1.0996226812461751e-07
Position 992: 9.676127378415618e-08
Position 13338: 8.653785333297467e-08
Position 873: 8.539051975634076e-08
Position 127: 7.038169235453063e-08
Position 12442: 6.466121160865486e-08
Position 137: 5.973538431387932e-08
Position 1904: 5.956442541014557e-08
Position 10528: 5.9183752087322515e-08
Position 1511: 4.324398982314252e-08
Position 10837: 3.3560434593911375e-08
Position 653: 2.8886938017710095e-08
Position 11436: 2.7999360417166923e-08
Position 11494: 2.742245143153312e-08
Position 12253: 2.7198040603738604e-08
Position 11477: 2.627180407258291e-08
Position 10507: 1.9754232912892873e-08
Position 176: 1.0142771708088879e-08
Position 11337: 7.882782032633708e-09
Position 11104: 6.38703983897706e-09
Position 182: 5.654162581257392e-09
Position 10589: 5.5190704592647725e-09
Position 10575: 4.643972243171619e-09
Position 10052: 3.3284702779224993e-09
Position 758: 2.9558980711055587e-09
Position 748: 2.9135475271478466e-09
Position 8642: 2.9064057789042317e-09
Position 393: 2.579416906350336e-09
Position 8661: 2.3484131627510933e-09
Position 515: 2.2980854918110287e-09
Position 9378: 2.296610614440726e-09
Position 676: 1.041057742908761e-09
Position 9334: 8.851658617166695e-10
Position 403: 7.837166779707997e-10
Position 8149: 7.172381849359712e-10
Position 449: 6.465839938964216e-10
Position 518: 5.882993839247311e-10
Position 704: 4.994639564936685e-10
Position 8182: 4.5644884190459826e-10
Position 6633: 9.470951714438858e-11
Position 463: 3.652480441967172e-11
Position 694: 2.958671351096111e-11
Position 6066: 1.7105004547427736e-11
Position 5469: 1.697189804559407e-11
Position 5066: 1.0871930746930834e-11
Position 3767: 8.019045126697154e-12
Position 4679: 5.602803976554263e-12
Position 5063: 4.188814504809634e-12
Position 3796: 3.846199268646248e-12
Position 4839: 3.698779180899214e-12
Position 5188: 3.1581166895335185e-12
Position 4436: 2.1746039453115095e-12
Position 4103: 1.3681256791581542e-12
Position 4228: 1.1242690666850085e-12
Position 3586: 4.834907906233754e-13
Position 3060: 2.2397805993304744e-13
