Gene = DOR
index = 1128
Annotated 5SS: [  442 11552 12320 12721]
Annotated 3SS: [10876 11838 12485 12796]
SMsplice 5SS: [   78 11552 12320 12721]
SMsplice 3SS: [10876 11838 12485 12796]
top_k =  1000
Partition function (log Z): 11.736822868130615

Sorted 5' Splice Sites (High to Low Probability):
Position 12721: 0.9964779803182613
Position 11552: 0.9952536289505326
Position 78: 0.6659796488494163
Position 12320: 0.5103735977500907
Position 12230: 0.4640674657582224
Position 442: 0.321642105969483
Position 13044: 0.10210008105125093
Position 2469: 0.04983074545281343
Position 2765: 0.041845052187958455
Position 11731: 0.03583653727467475
Position 692: 0.03193541109021469
Position 10427: 0.02568352236562876
Position 2945: 0.017025332970515634
Position 11774: 0.01698851013417431
Position 7515: 0.012574829298427343
Position 11943: 0.012010689111107442
Position 1688: 0.010967449884708037
Position 1751: 0.008142099051331514
Position 11174: 0.008137599092737546
Position 11733: 0.007555492421233513
Position 5608: 0.007499049010377825
Position 12425: 0.0069009025068639705
Position 2104: 0.006705664915673953
Position 11706: 0.006377827770266853
Position 9143: 0.005564980270365589
Position 1373: 0.005363170591752658
Position 11181: 0.00482591238855814
Position 11532: 0.0039634612962229435
Position 1812: 0.002757740627688527
Position 12747: 0.002524445411226254
Position 971: 0.002393713362388586
Position 2365: 0.0023319605681325793
Position 304: 0.0021880607938048755
Position 12152: 0.0021726607036037814
Position 995: 0.0020053615654665067
Position 5209: 0.0019967932128284512
Position 2835: 0.001906951204912392
Position 6261: 0.0018388563452788598
Position 82: 0.001690893016455698
Position 10934: 0.0016071960918733741
Position 9123: 0.0015842142626378431
Position 8261: 0.0012637118670086687
Position 12234: 0.0011968758977006248
Position 7916: 0.0009513773593264538
Position 283: 0.0008619565108173015
Position 6877: 0.0008574845704384772
Position 4253: 0.0008273332678682
Position 13509: 0.0007773388065042987
Position 1402: 0.0007616367982929741
Position 12920: 0.0007378322159254052
Position 1798: 0.0007305385883242946
Position 8755: 0.0006287110381727993
Position 7633: 0.0006126386137774115
Position 12857: 0.0006067571065323823
Position 12202: 0.0005807622361541585
Position 7179: 0.0005615549903165254
Position 400: 0.0005251291674630165
Position 12713: 0.0005188839766955183
Position 1160: 0.000476821697013477
Position 119: 0.0003766606154457562
Position 2613: 0.00037449886640311203
Position 12184: 0.00036149953000301575
Position 287: 0.00034410706197856466
Position 4216: 0.0003432262423026676
Position 214: 0.0003386202190409223
Position 12324: 0.0003372907184897555
Position 177: 0.00031691189322391515
Position 3488: 0.00027245634492553445
Position 12336: 0.00023681160478210728
Position 13221: 0.0002155210258892437
Position 11917: 0.00020596257152973323
Position 12013: 0.00017110878891248726
Position 13273: 0.0001673901908306079
Position 11757: 0.00014858199103347908
Position 2369: 0.00014773406246652455
Position 1960: 0.00014370816663185067
Position 13089: 0.00012175344560407703
Position 12210: 0.00011404640331356165
Position 12103: 0.00010592662198759564
Position 2610: 0.00010343835166420898
Position 11898: 8.692842575627085e-05
Position 1757: 8.318027343585446e-05
Position 13575: 7.22438808762608e-05
Position 13587: 7.211127537846248e-05
Position 12060: 6.299755075919913e-05
Position 993: 6.283908075122579e-05
Position 2560: 6.208581538610003e-05
Position 11737: 5.795149170296445e-05
Position 11949: 5.5345722827059065e-05
Position 11635: 5.13491225876281e-05
Position 12008: 4.8439475016251046e-05
Position 1505: 4.323854997427404e-05
Position 1170: 4.157049971681273e-05
Position 12707: 4.070121721575458e-05
Position 1796: 3.906009776294612e-05
Position 1859: 3.766839503647048e-05
Position 11966: 3.7019846065381694e-05
Position 12949: 3.673699510676619e-05
Position 13598: 3.429001127578501e-05
Position 1137: 3.300250578229088e-05
Position 811: 3.28384821761192e-05
Position 11717: 3.0135177651927242e-05
Position 185: 2.951611941686184e-05
Position 11892: 2.943394596949167e-05
Position 2055: 2.896628145231746e-05
Position 13591: 2.723072483715707e-05
Position 11623: 2.653495487748479e-05
Position 12753: 2.623755109928152e-05
Position 2574: 2.369197603159839e-05
Position 11592: 2.2702074019245208e-05
Position 2591: 2.0040399903976068e-05
Position 2569: 1.8130176562301744e-05
Position 11889: 1.765723025789863e-05
Position 12349: 1.6951479445044498e-05
Position 2446: 1.642418428971263e-05
Position 13265: 1.614036606341684e-05
Position 1873: 1.1492948593610218e-05
Position 11735: 1.008048983555449e-05
Position 13530: 8.644685895228935e-06
Position 12377: 8.516539435847277e-06
Position 11991: 8.14260096358499e-06
Position 12679: 8.008923099499222e-06
Position 99: 7.748076023708532e-06
Position 1477: 7.511775375237319e-06
Position 13448: 7.291365649110055e-06
Position 446: 7.259905497766368e-06
Position 12224: 6.576392709376556e-06
Position 4370: 6.180240762132385e-06
Position 13571: 6.081833898449864e-06
Position 13277: 6.081398553292495e-06
Position 1770: 5.941895941192862e-06
Position 607: 5.68485759038037e-06
Position 13534: 5.642031399155821e-06
Position 781: 5.640339098900722e-06
Position 13596: 5.3415104290519325e-06
Position 11539: 5.1427422003136695e-06
Position 4255: 5.134520767793e-06
Position 11559: 5.026666378794505e-06
Position 11556: 4.976105303936094e-06
Position 12684: 4.820082036350943e-06
Position 591: 4.633019753498944e-06
Position 2454: 4.550806307454691e-06
Position 567: 4.467979822473567e-06
Position 936: 4.358381205071148e-06
Position 13547: 4.224509953047152e-06
Position 12503: 4.051153807761241e-06
Position 1181: 3.172114778044994e-06
Position 11329: 3.157928182393298e-06
Position 13414: 2.7284052474505026e-06
Position 359: 1.7454500986972982e-06
Position 1554: 1.4321883743253231e-06
Position 1391: 1.4180396304737e-06
Position 251: 1.3762856855255616e-06
Position 11383: 1.3613040241249685e-06
Position 189: 1.340404700613096e-06
Position 13285: 1.3265118041653162e-06
Position 13219: 1.1235604378463937e-06
Position 1836: 1.1021167915445251e-06
Position 11049: 1.0849367635960192e-06
Position 375: 1.0604669587420153e-06
Position 221: 1.0318290288865164e-06
Position 13538: 9.407592952426728e-07
Position 1820: 8.359648428696172e-07
Position 1152: 7.930551105288884e-07
Position 804: 7.502291582838289e-07
