Gene = BHD
index = 43
Annotated 5SS: [1252 1444]
Annotated 3SS: [1340 1501]
SMsplice 5SS: [1252 1444]
SMsplice 3SS: [1340 1501]
top_k =  1000
Partition function (log Z): -3.854274417181645

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9793927541852655
Position 1444: 0.9546030919453343
Position 8: 0.08445036393757158
Position 373: 0.061320288134881114
Position 453: 0.01691508820876111
Position 817: 0.005152112619480208
Position 984: 0.003537511920929867
Position 398: 0.0031647416415742113
Position 1003: 0.002328946242683394
Position 28: 0.0023233794408730668
Position 960: 0.0017784945381196834
Position 1560: 0.0011265326843047114
Position 996: 0.0008633869485037562
Position 1032: 0.0006867914511418515
Position 1421: 0.000616120282698
Position 518: 0.0005363279796741849
Position 1448: 0.0002536723074879557
Position 643: 0.00017489295689320625
Position 361: 0.00016763151531004478
Position 1115: 0.00016660209777954384
Position 354: 0.00015529691954327732
Position 1272: 0.00012187056120984194
Position 1024: 0.0001199790153577147
Position 309: 9.236568838933382e-05
Position 1217: 8.61120815500479e-05
Position 970: 7.389008267877307e-05
Position 993: 7.287481619360103e-05
Position 1215: 6.204914540168168e-05
Position 19: 5.74609265968134e-05
Position 427: 4.5691735673316895e-05
Position 623: 4.52147391411677e-05
Position 327: 4.052307560917353e-05
Position 1435: 3.90538443661561e-05
Position 950: 3.6347808809796044e-05
Position 1569: 2.792749942335888e-05
Position 567: 2.5816362335771563e-05
Position 936: 2.4175910802421806e-05
Position 1221: 2.37791641885971e-05
Position 780: 2.0941609341679766e-05
Position 856: 1.8298029463889373e-05
Position 339: 1.6301348057272547e-05
Position 404: 1.2084890529227915e-05
Position 82: 6.460707232397731e-06
Position 1298: 6.2538207123154875e-06
Position 102: 5.15203708651949e-06
Position 659: 5.007820876209155e-06
Position 136: 4.338976195409255e-06
Position 1162: 4.079244271356871e-06
Position 1454: 3.461900198598284e-06
Position 800: 3.3958230920359825e-06
Position 1355: 3.35599469206668e-06
Position 439: 2.8178182293033804e-06
Position 402: 2.4801383027449125e-06
Position 931: 2.4133915120351237e-06
Position 501: 2.397267125243118e-06
Position 820: 2.3324491500244387e-06
Position 191: 1.9311014433037865e-06
Position 1200: 1.7676642165702112e-06
Position 1506: 1.0954227942218907e-06
Position 1539: 9.999336432433122e-07
Position 315: 9.969871359474358e-07
