Gene = Csas
index = 1109
Annotated 5SS: [ 87 330 591]
Annotated 3SS: [138 385 645]
SMsplice 5SS: [ 87 330 591]
SMsplice 3SS: [138 385 645]
top_k =  1000
Partition function (log Z): -2.7678932034846255

Sorted 5' Splice Sites (High to Low Probability):
Position 591: 0.9306381395947384
Position 87: 0.872988368733005
Position 330: 0.6478390341510556
Position 328: 0.16116546796740946
Position 531: 0.014274480758584184
Position 479: 0.006185667854714173
Position 93: 0.0054782683536072066
Position 572: 0.004955977703218334
Position 555: 0.0041592185385315545
Position 72: 0.0024897196914824655
Position 287: 0.0014226909656864552
Position 219: 0.0007254725010229809
Position 352: 0.00036897214814888657
Position 469: 0.00029686723632428867
Position 514: 0.00026341652378256126
Position 561: 0.00017604487308223854
Position 574: 0.00014374386409825933
Position 459: 0.0001425976451876382
Position 547: 0.00011797846662046372
Position 91: 0.00010607755390032477
Position 52: 8.119527123641444e-05
Position 897: 6.364029621034146e-05
Position 738: 3.551116906746035e-05
Position 96: 1.3566495088858616e-05
Position 746: 1.2658386650524504e-05
Position 389: 6.8295430235890296e-06
Position 814: 6.631600249639049e-06
Position 678: 6.2819334049374406e-06
Position 792: 4.942678773219823e-06
Position 110: 4.70007245119023e-06
Position 846: 1.9317391794295575e-06
Position 614: 1.5910186381468558e-06
Position 668: 1.3381680935819556e-06
Position 138: 1.1708232839769517e-06
Position 900: 4.3252068781694985e-07
Position 760: 2.5092859098186816e-07
Position 785: 2.3360303306184565e-07
Position 821: 1.0636847902399428e-07
Position 824: 1.786876061473747e-08
Position 671: 2.6878466255146022e-12
Position 620: 2.1808636358775341e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 645: 0.9780139125447881
Position 138: 0.8732340372011808
Position 385: 0.7943451839651885
Position 531: 0.0030485616036217736
Position 174: 0.0022664239225475245
Position 296: 0.0008708312820165537
Position 352: 0.0006597999513614516
Position 425: 0.0005423882539878831
Position 466: 0.0004687986911835891
Position 588: 0.00013646291961553133
Position 541: 0.00011286586664318472
Position 183: 5.5812970521458135e-05
Position 667: 5.519502816890153e-05
Position 476: 4.923507120716224e-05
Position 946: 4.518304097940976e-05
Position 144: 4.186650401274904e-05
Position 813: 4.184885536814519e-05
Position 427: 3.963338103418623e-05
Position 479: 3.654157420246305e-05
Position 950: 2.1298363007641983e-05
Position 617: 1.980587430648084e-05
Position 414: 1.5265661770978193e-05
Position 377: 8.588000251548948e-06
Position 714: 7.584094596271226e-06
Position 957: 5.944401499688119e-06
Position 459: 5.941710421725084e-06
Position 881: 4.861631240769159e-06
Position 749: 4.719803132310901e-06
Position 692: 3.550466718376583e-06
Position 543: 2.820147904824784e-06
Position 841: 2.284993939371151e-06
Position 864: 2.160580309577783e-06
Position 900: 1.7011633500493811e-06
Position 736: 1.6413513701293884e-06
Position 928: 1.3971362435208702e-06
Position 319: 1.226704290917959e-06
Position 922: 1.2233067466901437e-06
Position 555: 8.629876078926877e-07
Position 328: 8.592547636063787e-07
Position 755: 6.653410261883116e-07
Position 720: 5.418461780115087e-07
Position 792: 4.159223089283196e-07
Position 607: 3.5562121667753013e-07
Position 846: 3.035560241835149e-07
Position 774: 2.3816723274829364e-07
Position 897: 1.554076697737103e-07
Position 196: 1.1466541397066296e-07
Position 708: 4.479118044290411e-08
Position 188: 2.98897368922527e-08
Position 728: 1.9843862250116472e-08
Position 561: 1.6616102937699434e-08
Position 101: 1.2102162579837301e-08
Position 96: 9.573283891781643e-10
Position 110: 4.509989621310323e-10
Position 179: 1.7246388543409017e-10
Position 334: 1.53854761236784e-17
