Gene = Aprt
index = 23
Annotated 5SS: [329 697]
Annotated 3SS: [458 770]
SMsplice 5SS: [697]
SMsplice 3SS: [770]
top_k =  1000
Partition function (log Z): -3.494578538691143

Sorted 5' Splice Sites (High to Low Probability):
Position 697: 0.9508019656711779
Position 329: 0.5146395460449324
Position 416: 0.0803111367521427
Position 180: 0.07522084678465946
Position 692: 0.04292225565175171
Position 885: 0.011262524939263845
Position 349: 0.00875650294427741
Position 166: 0.0060097909216093835
Position 427: 0.0037812137233568265
Position 123: 0.0034757969510381217
Position 155: 0.002484203632950536
Position 687: 0.0014328732676462154
Position 980: 0.0010618161222070556
Position 989: 0.0010261090198961517
Position 963: 0.0009923786001804112
Position 419: 0.0006634457960470583
Position 1001: 0.0004239030640177567
Position 425: 0.0003317106832841171
Position 701: 0.00028054732888540044
Position 553: 0.00027536598039023044
Position 202: 0.0002708490813749818
Position 187: 0.00022272309116405645
Position 138: 0.0001561029200020737
Position 536: 0.00010285592655483054
Position 559: 8.322961669236097e-05
Position 58: 7.359107476217928e-05
Position 494: 7.028242302037046e-05
Position 847: 6.986034506123544e-05
Position 273: 6.828688302034527e-05
Position 51: 4.526324622096129e-05
Position 661: 4.1543122497332575e-05
Position 226: 4.04115041282843e-05
Position 372: 3.7867378294769406e-05
Position 293: 2.538098124622727e-05
Position 927: 1.2909239032265443e-05
Position 333: 1.2104136495716232e-05
Position 912: 1.0743008101454061e-05
Position 940: 9.308252552973246e-06
Position 323: 8.60199448621491e-06
Position 664: 7.176626328837615e-06
Position 498: 4.895441238806608e-06
Position 517: 3.986759270481395e-06
Position 118: 2.6497136489055318e-06
Position 1112: 2.25593018067941e-06
Position 458: 1.1495641758711765e-06
Position 915: 1.1219305146069541e-06
Position 816: 9.230086875302712e-07
Position 889: 7.479085444395114e-07
Position 439: 7.26093893216217e-07
Position 670: 7.183043465546333e-07
Position 60: 4.765873884918074e-07
Position 339: 1.5218299069535687e-07
Position 900: 1.0156651926455408e-07
Position 1165: 5.526483074305537e-08
Position 496: 1.8997878345081802e-08
Position 623: 5.250959573770514e-09
Position 743: 1.684686278553392e-10
Position 819: 7.017003042940022e-12
Position 894: 8.447679132590313e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9923016333729092
Position 601: 0.35805958110335784
Position 489: 0.18126629918323173
Position 250: 0.06153645128560903
Position 458: 0.058279523205286864
Position 415: 0.020308253449133156
Position 229: 0.008333606295219146
Position 1135: 0.0047453665371527095
Position 1107: 0.004471443130054042
Position 1061: 0.0034261245142779956
Position 536: 0.003178352389032403
Position 803: 0.0024398277074926715
Position 226: 0.001964652886617449
Position 1041: 0.0017072850289658458
Position 840: 0.0012342166459428311
Position 846: 0.0008303404631750069
Position 1214: 0.0004601136419190087
Position 311: 0.00044829107845789374
Position 1202: 0.000360954858335957
Position 1195: 0.0002782979485161308
Position 472: 0.0002077049283937472
Position 884: 0.00018236785339975536
Position 552: 0.00017494283279186523
Position 314: 0.00014013679785376002
Position 740: 0.00011770644589037371
Position 356: 0.00011160812026561776
Position 642: 0.00011005320521298686
Position 980: 0.00010570279811636542
Position 816: 0.00010065914900308198
Position 284: 9.026978744068813e-05
Position 733: 8.384192281628061e-05
Position 1065: 7.900830551268446e-05
Position 103: 6.390304514596436e-05
Position 639: 5.839901315054884e-05
Position 202: 4.650660712535004e-05
Position 258: 4.242868031696997e-05
Position 1009: 4.1092891178427954e-05
Position 372: 3.938998153549347e-05
Position 187: 1.697027662077993e-05
Position 938: 1.4725005053839546e-05
Position 278: 1.4675369605759294e-05
Position 949: 1.0908908446258544e-05
Position 138: 9.021853303107959e-06
Position 280: 7.76086017783513e-06
Position 115: 7.63489524554812e-06
Position 609: 6.353614677088774e-06
Position 546: 5.53291508978053e-06
Position 927: 5.088539988237188e-06
Position 963: 4.47549365620913e-06
Position 263: 3.3887943352959376e-06
Position 348: 2.8591739995198774e-06
Position 648: 1.9314978776472944e-06
Position 293: 1.758778511002908e-06
Position 166: 1.2938102092919052e-06
Position 782: 7.126427849110584e-07
Position 267: 4.7284736692485556e-07
Position 687: 4.238793850196778e-07
Position 170: 3.659887427221647e-07
Position 333: 2.1292915713474648e-07
Position 661: 4.720424202105948e-08
Position 158: 3.9748547734363336e-08
Position 363: 1.3931557253143835e-08
Position 238: 3.355109181635791e-09
Position 397: 7.862910680159972e-12
