Gene = Ge-1
index = 1185
Annotated 5SS: [ 595  872 1535 1847 3481 3827 4124 4353 4936]
Annotated 3SS: [ 662 1133 1592 1903 3588 3882 4186 4412 5010]
SMsplice 5SS: [ 231  595  872 1535 1847 3481 3827 4124 4353 4936]
SMsplice 3SS: [ 313  662 1133 1592 1903 3588 3882 4186 4412 5010]
top_k =  1000
Partition function (log Z): 31.239995489663478

Sorted 5' Splice Sites (High to Low Probability):
Position 1847: 0.9993472142673057
Position 872: 0.9933880073558272
Position 3481: 0.9923529384029294
Position 4124: 0.9889333032111829
Position 4353: 0.9870087254635389
Position 4936: 0.982322130140431
Position 3827: 0.9816591293114284
Position 595: 0.9697234453479704
Position 231: 0.7030189792717035
Position 1535: 0.4282215663704731
Position 1508: 0.18600521374257215
Position 4616: 0.08735031115592111
Position 1257: 0.08697963716203429
Position 3923: 0.06117397019100277
Position 2877: 0.05089189144075348
Position 1283: 0.04970220754016853
Position 2663: 0.025795315794582527
Position 2703: 0.024694176309413434
Position 3934: 0.021527634987766928
Position 2517: 0.019128345182851027
Position 2099: 0.013891046619669778
Position 1226: 0.012113325693946547
Position 1539: 0.01099420945468732
Position 1263: 0.010646699150374632
Position 4958: 0.010348568406705406
Position 85: 0.008801280703936513
Position 3319: 0.007214794313981667
Position 2913: 0.006975021694068898
Position 4109: 0.006335223493408576
Position 4357: 0.006237077032263605
Position 2244: 0.004270673841429905
Position 599: 0.003932863037067051
Position 4128: 0.00324483980640667
Position 858: 0.0031400785706948812
Position 372: 0.002928525851474184
Position 4871: 0.0027472374061630737
Position 1352: 0.0026494500106502878
Position 2008: 0.0024606385548203193
Position 590: 0.0021365704928631873
Position 876: 0.002073137997301993
Position 430: 0.002066062430647703
Position 235: 0.0018987943789302466
Position 1038: 0.0017593517512082537
Position 1384: 0.0017072285228148906
Position 1191: 0.0014657443940889136
Position 2103: 0.0013133962028285676
Position 4337: 0.0012286987400195366
Position 4517: 0.0010372334170899104
Position 1998: 0.0009761972056472679
Position 608: 0.0009473559946884127
Position 1294: 0.0009327714048774868
Position 1477: 0.0008641034810578314
Position 3279: 0.0008306485794195187
Position 191: 0.0007892585142565356
Position 5331: 0.0007268483151424968
Position 2357: 0.0007061746316470912
Position 2254: 0.0006718061468283194
Position 1172: 0.0006567087211134437
Position 3866: 0.0006242721670556873
Position 2056: 0.0005567697669317399
Position 2690: 0.0005545357838938003
Position 5271: 0.0004745266791680365
Position 5179: 0.00045654130350308375
Position 4583: 0.0004406575011636778
Position 237: 0.0003803418063789843
Position 2218: 0.00032798221566631477
Position 1287: 0.00032477033261845415
