Gene = Tspo
index = 1574
Annotated 5SS: [426]
Annotated 3SS: [484]
SMsplice 5SS: [426]
SMsplice 3SS: [484]
top_k =  1000
Partition function (log Z): -5.485102491673801

Sorted 5' Splice Sites (High to Low Probability):
Position 426: 0.9945945687108432
Position 699: 0.12865070366322226
Position 726: 0.0927768061816099
Position 694: 0.029817735657406082
Position 200: 0.0008778958259138235
Position 430: 0.0006969552381115446
Position 356: 0.0003166805606472734
Position 45: 0.0002173947874038731
Position 843: 5.4946155736204334e-05
Position 300: 3.500086236595614e-05
Position 135: 2.5542120560351108e-05
Position 269: 2.5414763416388507e-05
Position 455: 1.2480237434011003e-05
Position 736: 7.878773355155205e-06
Position 243: 5.344178411448292e-06
Position 72: 4.448733244049125e-06
Position 307: 4.023178359450563e-06
Position 548: 3.862470108202299e-06
Position 97: 3.028042058554921e-06
Position 575: 2.1313840986821844e-06
Position 101: 1.4272460350729137e-06
Position 520: 1.408128192226309e-06
Position 215: 6.910850263087793e-07
Position 32: 6.841544521201666e-07
Position 500: 6.612057983393964e-07
Position 738: 5.782518318696801e-07
Position 257: 5.182725056133372e-07
Position 386: 4.962573055380006e-07
Position 103: 4.165002204740043e-07
Position 584: 3.8329192218985923e-07
Position 792: 2.1641817473174639e-07
Position 815: 1.510417029043353e-07
Position 457: 1.2508693225330703e-07
Position 462: 1.1055374880543153e-07
Position 538: 7.678695620582196e-08
Position 862: 3.371606943938889e-08
Position 533: 2.3755618817365888e-08
Position 302: 7.65159129536629e-09
Position 221: 2.4274797274315755e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 484: 0.992146641759556
Position 757: 0.1565812359882673
Position 780: 0.09744946494494533
Position 500: 0.001015902613468791
Position 815: 0.0003110391463464994
Position 905: 0.00015459923452914093
Position 556: 0.00013254763882870478
Position 230: 9.583082747649176e-05
Position 410: 7.52707989676733e-05
Position 368: 4.8954674812933315e-05
Position 812: 3.3881054073229404e-05
Position 792: 2.913862441899244e-05
Position 194: 1.693967294754632e-05
Position 631: 1.4502418907078235e-05
Position 181: 1.4444758268661218e-05
Position 215: 6.62674809490117e-06
Position 548: 5.820256560257091e-06
Position 843: 3.8523130186829575e-06
Position 454: 1.4857898164195832e-06
Position 185: 6.02500427356151e-07
Position 649: 5.901044628293456e-07
Position 449: 4.5033648037879513e-07
Position 652: 3.74996347952932e-07
Position 646: 1.796303514576638e-07
Position 196: 1.5829482667788262e-07
Position 726: 1.0932067375998427e-07
Position 709: 9.564233900386058e-08
Position 422: 4.639588390084753e-08
Position 704: 4.396308333218657e-08
Position 332: 7.135786955835407e-09
Position 684: 6.274021147925127e-09
Position 661: 2.2166820369759797e-09
Position 673: 1.9269359794898523e-09
Position 643: 1.8997480224648746e-09
Position 694: 1.5297848946123216e-09
Position 430: 8.591116669057104e-10
Position 681: 5.812942437864916e-10
Position 670: 4.036285980547364e-10
Position 318: 7.819901319096575e-11
Position 667: 2.495320864521802e-12
