Gene = barc
index = 1621
Annotated 5SS: [  280  8417  8681 11774 12029 12217]
Annotated 3SS: [ 7588  8477 11606 11841 12079 12276]
SMsplice 5SS: [  280  8681 11774 12029 12217]
SMsplice 3SS: [ 8503 11606 11841 12079 12276]
top_k =  1000
Partition function (log Z): 7.634968715398597

Sorted 5' Splice Sites (High to Low Probability):
Position 12217: 0.9962867816742864
Position 11774: 0.9925699416967515
Position 8681: 0.9845732983813991
Position 12029: 0.7168493691572476
Position 280: 0.6721115668260366
Position 8417: 0.22782189092930583
Position 295: 0.20741528704250126
Position 12005: 0.15288809738132345
Position 524: 0.11845568822875488
Position 9521: 0.07017444540476855
Position 12014: 0.06253673582211759
Position 12009: 0.04241089472934588
Position 704: 0.03362833254640117
Position 326: 0.031244972586253025
Position 4774: 0.02717391394073259
Position 4902: 0.02360704326593762
Position 11325: 0.023144926121721348
Position 11563: 0.020716476008035806
Position 11586: 0.020227107046438823
Position 5066: 0.016822389280981676
Position 9783: 0.016402762017421583
Position 2867: 0.015444473498375584
Position 9094: 0.01535969553949817
Position 11390: 0.01454202021297469
Position 10810: 0.013815583593465046
Position 9820: 0.01228805623733529
Position 9503: 0.010838870311752045
Position 9830: 0.010715285026303572
Position 9525: 0.010163199911524194
Position 25: 0.009868432558061673
Position 11428: 0.009854171972344688
Position 6526: 0.009061754452296152
Position 2418: 0.008875282885204845
Position 3814: 0.008666930575793631
Position 4352: 0.008248228834757359
Position 11321: 0.007818537700092403
Position 11778: 0.007069027534123496
Position 6648: 0.0036521334114684775
Position 1776: 0.0033640266347148002
Position 1403: 0.0032435371134531465
Position 56: 0.0026160722887325
Position 2473: 0.0024360747195801584
Position 6653: 0.002197942785368668
Position 12017: 0.001831514821915118
Position 43: 0.0017024614825304073
Position 11979: 0.001250433216929506
Position 4389: 0.0010064158536433443
Position 8938: 0.0004929389442946088
Position 4490: 0.00042180019253965203
Position 93: 0.00037462015383216667
Position 199: 0.0003164760241546841
Position 687: 0.000301668282627397
Position 8: 0.0002677485064061361
Position 1380: 0.0002568899783739585
Position 9727: 0.0002532403015949111
Position 9375: 0.00024800196487414643
Position 4498: 0.0002014960431558153
Position 8919: 0.0002008969930829366
Position 9055: 0.0001991115433209339
Position 69: 0.00019411894806963182
Position 3496: 0.00019217123123939746
Position 1407: 0.00019156220189398912
Position 2079: 0.00017847180850346354
Position 225: 0.00017371508627728736
Position 9787: 0.0001517315304636407
Position 4335: 0.0001492529107801979
Position 514: 0.0001443774107208935
Position 11986: 0.0001441262174461196
Position 9834: 0.00013410649314525832
Position 2601: 9.84888720479232e-05
Position 12525: 9.355944361690501e-05
Position 4314: 9.304059887177983e-05
Position 9560: 8.976582022134147e-05
Position 2813: 7.184453859899689e-05
Position 779: 7.119078663122888e-05
Position 6513: 6.198209374579722e-05
Position 5655: 6.160899432702475e-05
Position 3946: 5.8798624310257695e-05
Position 30: 5.641957950324267e-05
Position 3962: 5.208012896143154e-05
Position 11945: 4.8570265967457284e-05
Position 2119: 4.6606811539948944e-05
Position 1486: 4.625870710778462e-05
Position 580: 4.142751984347534e-05
Position 12528: 4.005284086774351e-05
Position 8910: 3.927140498770769e-05
Position 1676: 2.7660682395338976e-05
Position 12221: 2.7551445026775702e-05
Position 4378: 2.3288332017003315e-05
Position 12183: 2.2408316945013864e-05
Position 12511: 2.0747486407911073e-05
Position 1390: 1.9967925734593952e-05
Position 974: 1.939932629285919e-05
Position 4328: 1.8975613307796486e-05
Position 5501: 1.7130090326486918e-05
Position 299: 1.690087305571315e-05
Position 1682: 1.6886071888385487e-05
Position 132: 1.575643053302526e-05
Position 12516: 1.5699735499922224e-05
Position 11881: 1.5547694943368963e-05
Position 11962: 1.5492981899400234e-05
Position 6644: 1.4768804633601093e-05
Position 6746: 1.3626600213250258e-05
Position 6343: 1.2783010035373326e-05
Position 2531: 1.2221297165796768e-05
Position 3119: 1.11416235150083e-05
Position 9045: 1.0748587435355934e-05
Position 185: 1.0603146224471677e-05
Position 2231: 1.0379983972906074e-05
Position 5523: 9.794015281317371e-06
Position 12621: 9.793815444262444e-06
Position 6098: 8.928626044218461e-06
Position 12665: 8.872601756069601e-06
Position 1559: 8.082092001479023e-06
Position 2296: 7.97189520576508e-06
Position 12464: 7.837845956959243e-06
Position 12537: 6.769704063986879e-06
Position 1351: 6.726745276640597e-06
Position 577: 6.706307522998359e-06
Position 240: 6.494472964996754e-06
Position 12639: 5.487113221447603e-06
Position 602: 5.441824759631352e-06
Position 12042: 4.5647905063728385e-06
Position 237: 4.530386201786916e-06
Position 5694: 4.3013957978612715e-06
Position 5373: 4.1890232325382535e-06
Position 1697: 3.834237323568935e-06
Position 4910: 3.719637143341753e-06
Position 12237: 3.25672285289363e-06
Position 1701: 2.778345203174614e-06
Position 1287: 2.0994294284604422e-06
Position 229: 1.7431021264414022e-06
Position 5302: 1.739385582921992e-06
Position 126: 1.6803503717051855e-06
Position 527: 1.5851357300367349e-06
Position 216: 1.3887182373392159e-06
Position 12453: 1.3358949635658746e-06
Position 12651: 1.0883381357225727e-06
Position 12250: 1.0462573830867566e-06
Position 263: 9.452659075082676e-07
Position 1688: 7.446334844069133e-07
Position 641: 5.982286289396723e-07
Position 771: 5.151068476405883e-07
Position 12159: 4.854710909791518e-07
Position 138: 4.5471030444675537e-07
Position 12433: 4.447251761740639e-07
Position 1376: 2.893519488057303e-07
Position 11900: 2.484414504217857e-07
Position 1153: 2.415094363230688e-07
Position 1075: 2.3417196340404026e-07
Position 231: 2.1042314834392408e-07
Position 450: 1.995338477767242e-07
Position 12093: 1.7992753895616418e-07
Position 12672: 1.5188032817348604e-07
Position 151: 1.4247153593288618e-07
Position 12683: 1.4185538951766808e-07
Position 606: 1.1822792303106564e-07
Position 998: 1.0942201937077643e-07
Position 1082: 9.57789763728777e-08
Position 708: 9.423841439402344e-08
Position 701: 7.946035023546805e-08
Position 648: 5.559147757889353e-08
Position 466: 4.479134096100463e-08
Position 599: 4.286297543755354e-08
Position 670: 3.3215721413008234e-08
Position 352: 1.8787010132363848e-08
Position 586: 1.7712828038564576e-08
Position 1334: 5.2573941653227105e-09
Position 1367: 4.759524170780179e-09
Position 619: 4.0182923637472485e-09
Position 1374: 3.3975647004282263e-09
Position 1495: 3.335962857785792e-09
Position 1721: 2.8452785034263495e-09
Position 1465: 1.9737495073765626e-09
Position 1500: 1.9522726238752332e-09
Position 632: 1.8067266234451895e-09
Position 370: 1.0527719950846226e-09
Position 754: 2.8737617914363654e-10
Position 638: 2.7104612125875847e-10
Position 635: 7.919120551281873e-11
Position 12386: 1.0914115402757709e-11
Position 12270: 6.323641093141753e-12
Position 12489: 1.1373204120939596e-12
Position 12137: 9.639069543596824e-13
Position 12293: 7.928437148851113e-14
Position 544: 5.6343251643454e-16

