Gene = gkt
index = 1716
Annotated 5SS: [ 199  800 1250 1903]
Annotated 3SS: [ 252  859 1304 1962]
SMsplice 5SS: [ 199  800 1250 1903]
SMsplice 3SS: [ 252  859 1304 1962]
top_k =  1000
Partition function (log Z): 9.248954774875557

Sorted 5' Splice Sites (High to Low Probability):
Position 800: 0.9952271880788309
Position 199: 0.9942780196614701
Position 1903: 0.9419675994458906
Position 1250: 0.8692304505761129
Position 1231: 0.09853403674061853
Position 2267: 0.04845693994836942
Position 2328: 0.03620274440848154
Position 2090: 0.032065236496073145
Position 933: 0.005826221920581872
Position 1912: 0.0055460803464200846
Position 804: 0.004455979351389891
Position 1776: 0.0038077810799504843
Position 203: 0.0032016760346575794
Position 1907: 0.002398599449322907
Position 2182: 0.0018331751350633186
Position 2153: 0.0013681296493499471
Position 417: 0.0010929136417418203
Position 1988: 0.0008632578764861631
Position 1023: 0.0008184613351229792
Position 1240: 0.0007740190618729829
Position 2172: 0.0007275561708445289
Position 1184: 0.000674252254568409
Position 1046: 0.000620089500533641
Position 1764: 0.0004807734023734678
Position 1141: 0.0004381895920107906
Position 1172: 0.00036455160434375436
Position 1770: 0.00028764039233584375
Position 41: 0.0002607430648491433
Position 1900: 0.0002280227266584978
Position 1179: 0.00021189547014894552
Position 2341: 0.00019603346954985375
Position 2106: 0.00015294028260385528
Position 576: 0.00013166239163299383
Position 1026: 0.00011542996957593015
Position 1623: 0.00011291741564707782
Position 2140: 9.24163430415089e-05
Position 1474: 7.811997981869161e-05
Position 1879: 6.95262564307526e-05
Position 1588: 6.934332321132061e-05
Position 920: 5.490922257093477e-05
Position 1531: 5.39503516575975e-05
Position 965: 5.356063162264272e-05
Position 2032: 4.1604428053024894e-05
Position 43: 3.9239537309757446e-05
Position 2357: 3.329347095589063e-05
Position 1351: 3.146942662818442e-05
Position 2013: 2.9890865443140085e-05
Position 1997: 2.8206784782832866e-05
Position 482: 2.4681198371694606e-05
Position 948: 2.1871683637450646e-05
Position 1113: 1.7495185231811048e-05
Position 1768: 1.6134046194825575e-05
Position 1266: 1.5792216249090128e-05
Position 753: 1.3950236729702247e-05
Position 1501: 9.613922599740594e-06
Position 992: 9.328047447275022e-06
Position 90: 9.18847012911641e-06
Position 632: 9.083154976241505e-06
Position 573: 9.003698520949372e-06
Position 2350: 8.585973597468243e-06
Position 1271: 8.410933759157375e-06
Position 455: 8.296760419331992e-06
Position 1780: 5.187051406390169e-06
