Gene = TfIIEalpha
index = 1553
Annotated 5SS: [ 185 1370]
Annotated 3SS: [ 262 1437]
SMsplice 5SS: [ 185 1370]
SMsplice 3SS: [ 262 1437]
top_k =  1000
Partition function (log Z): 0.3980980523115465

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9931832410069458
Position 1370: 0.8310619278347673
Position 566: 0.08996059573401305
Position 1292: 0.044637968652937364
Position 330: 0.04430644096762864
Position 379: 0.0053410892870363585
Position 194: 0.004893281498343607
Position 1010: 0.0035080237544787285
Position 580: 0.0026879999934402866
Position 427: 0.0015785966619546888
Position 1093: 0.0011823548443252892
Position 1596: 0.001131447476807722
Position 343: 0.0007986402448956113
Position 876: 0.0007265588855135944
Position 653: 0.0006631465838501882
Position 683: 0.0006466771289827687
Position 489: 0.000596666777138683
Position 325: 0.0005607925844503407
Position 525: 0.0004526443003241389
Position 671: 0.0003236827801930159
Position 627: 0.0002297678944982982
Position 895: 0.00018076985889587635
Position 1300: 0.00016083906672393806
Position 1107: 0.0001371447932804891
Position 1636: 0.00011275027320832642
Position 922: 0.0001102680684954343
Position 890: 7.595112692935874e-05
Position 98: 7.346422869960609e-05
Position 692: 6.623374864094351e-05
Position 189: 6.190969780013315e-05
Position 1236: 6.078674401370488e-05
Position 622: 5.892740133063661e-05
Position 353: 4.7356021073448323e-05
Position 1180: 4.1916828212708975e-05
Position 619: 3.868100050653125e-05
Position 1138: 3.687854170253946e-05
Position 1661: 2.2740197419242377e-05
Position 376: 2.1037255892565582e-05
Position 1410: 1.869227644854754e-05
Position 171: 1.7198541379140187e-05
Position 180: 1.289010229544691e-05
Position 1005: 8.176446460564991e-06
Position 383: 7.500431991838376e-06
Position 791: 6.82538134803443e-06
Position 30: 6.614998891035693e-06
Position 774: 5.235901569997287e-06
Position 1052: 4.515236004050992e-06
Position 796: 4.418170946056361e-06
Position 165: 2.3480015692406385e-06
Position 613: 2.0911789052981044e-06
Position 699: 2.0592448795807643e-06
Position 1060: 2.0018836810944347e-06
Position 149: 2.001798775451273e-06
Position 1002: 1.5498244468795003e-06
Position 468: 1.2319432622017847e-06
Position 1503: 1.139061337819449e-06
Position 334: 9.102270463984428e-07
Position 1240: 8.609378599605354e-07
Position 1039: 8.39261785208961e-07
Position 768: 7.951665078438651e-07
Position 1422: 3.731833273831498e-07
Position 1672: 2.7534008376025946e-07
Position 747: 2.101898098042178e-07
Position 1509: 1.8607897992833063e-07
Position 710: 1.8491771831994983e-07
Position 708: 1.6345745605572573e-07
Position 1428: 1.4763610937108665e-07
Position 940: 5.505269961693618e-08
Position 1054: 4.390692866968558e-08
Position 1494: 3.6914886019578756e-08
Position 50: 6.4760162633056276e-09
Position 229: 2.3064449901434677e-09
Position 279: 2.071894531262835e-12
Position 276: 3.1297246168093805e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9917287698010556
Position 1437: 0.981696156175319
Position 1251: 0.007859124342897102
Position 864: 0.007736151308313195
Position 791: 0.006760865710751351
Position 1325: 0.006423273365936602
Position 1129: 0.006362718292875375
Position 1470: 0.005983442746888593
Position 1185: 0.0031854229958403865
Position 847: 0.0019546221646099967
Position 1218: 0.0019082572321494678
Position 627: 0.0013142927539413632
Position 633: 0.0010042936604332084
Position 606: 0.0010018240060877738
Position 1691: 0.0006600417813405683
Position 894: 0.0005951144574271343
Position 447: 0.0005012692750755793
Position 298: 0.0004310648757877716
Position 1719: 0.00038089491532636543
Position 736: 0.0002908405894087423
Position 870: 0.00025528821030298596
Position 1334: 0.0002197724844378249
Position 744: 0.00020102104485461287
Position 686: 0.00017091356738706517
Position 1647: 0.0001638888879641789
Position 402: 0.00016312919317392388
Position 483: 9.719665405651573e-05
Position 921: 9.480614875991036e-05
Position 450: 8.180202949814239e-05
Position 1509: 7.25733844719489e-05
Position 486: 6.00089298779697e-05
Position 1107: 5.620380384392844e-05
Position 651: 5.4446130109913444e-05
Position 149: 5.346721602241438e-05
Position 1672: 4.37916890462885e-05
Position 1708: 4.185627027830622e-05
Position 534: 3.8469674579374226e-05
Position 307: 2.986381874868876e-05
Position 825: 2.541690942456422e-05
Position 539: 2.442757035194512e-05
Position 829: 2.0029667453304673e-05
Position 1365: 1.5601335300588257e-05
Position 1347: 1.4961243782204033e-05
Position 768: 1.3129089402090697e-05
Position 861: 9.98176331349365e-06
Position 489: 7.99917204645302e-06
Position 579: 7.30047157896884e-06
Position 229: 7.153934648222154e-06
Position 1029: 6.455388663119741e-06
Position 576: 6.155989018728111e-06
Position 1557: 6.044173808025333e-06
Position 80: 5.907453996957686e-06
Position 1481: 5.8085784628762045e-06
Position 1290: 5.440067922497219e-06
Position 1607: 5.10428584627379e-06
Position 570: 5.0416542291596685e-06
Position 666: 4.6768722199881836e-06
Position 909: 4.150376436121498e-06
Position 525: 3.6534462263809258e-06
Position 699: 3.4974076609521497e-06
Position 683: 3.2098189272066306e-06
Position 1562: 6.272548239758416e-07
Position 1377: 4.109474952370301e-07
Position 1604: 3.996277909347329e-07
Position 353: 2.853633353455237e-07
Position 313: 1.9153249810472075e-07
Position 101: 1.2815223080526674e-07
Position 87: 1.168185019866591e-07
Position 919: 1.1398750031870087e-07
Position 350: 1.0839879990124257e-07
Position 1725: 6.25617801665915e-08
Position 1374: 5.173505945798879e-08
Position 1574: 4.983515745527943e-08
Position 480: 3.995623361697323e-08
Position 111: 3.3135650028217e-08
Position 1693: 2.977363431774232e-08
Position 318: 2.483827247550213e-08
Position 165: 1.0035098278105603e-08
Position 84: 5.6692434924533956e-09
Position 494: 3.253749508216285e-09
Position 660: 8.92788090140359e-10
Position 178: 7.053420145133406e-10
Position 324: 3.451611944248494e-10
Position 218: 1.295505812353595e-10
Position 342: 1.4694027247891174e-11
Position 360: 1.0361746735245625e-12
Position 180: 3.4356472959309514e-13
Position 189: 2.102722662634443e-13
Position 465: 6.3035884770491244e-15
Position 198: 2.274874808012856e-16
Position 201: 1.3667835518221737e-17
Position 203: 1.4887583499446162e-22
