Gene = ninaC
index = 1818
Annotated 5SS: [ 164  987 1946 2942 3303 3634 3988 4204 4357 4474 5244 5725 6054]
Annotated 3SS: [ 682 1081 2003 3009 3361 3700 4053 4258 4419 5055 5308 5776 6104]
SMsplice 5SS: [ 164  987 1946 2942 3303 3634 3988 4204 4357 4596 5244 5725 6054]
SMsplice 3SS: [ 228 1081 2003 3144 3361 3700 4053 4258 4419 5055 5308 5776 6104]
top_k =  1000
Partition function (log Z): 52.97186618510825

Sorted 5' Splice Sites (High to Low Probability):
Position 5244: 0.9999055555489397
Position 1946: 0.9996966886063656
Position 987: 0.9974223829822715
Position 4204: 0.9963138970257801
Position 3634: 0.9949118085673819
Position 5725: 0.9913196945015996
Position 4357: 0.9912879659529313
Position 6054: 0.9842609033623423
Position 164: 0.9009251399701645
Position 2942: 0.8827771326672691
Position 3988: 0.8783128876791287
Position 4596: 0.7615247786616581
Position 3303: 0.7454832179144899
Position 1206: 0.3381449525702831
Position 4960: 0.1428894422031944
Position 2268: 0.11600332692483759
Position 3992: 0.11072181699540501
Position 2570: 0.10797293156302415
Position 59: 0.04310789053398273
Position 4474: 0.013223299228490477
Position 2250: 0.013166442221932953
Position 4694: 0.010793493708088383
Position 2946: 0.010327881381483639
Position 6060: 0.009800996706818782
Position 466: 0.009243071386695573
Position 297: 0.008895013886711113
Position 335: 0.007721173336179091
Position 1249: 0.0066936756443808035
Position 456: 0.005045736888062884
Position 3638: 0.0048479598420979
Position 6310: 0.004594427120633591
Position 5745: 0.0037209856908401763
Position 3072: 0.003581551181175853
Position 6049: 0.0029926871995882
Position 786: 0.0028712828405950052
Position 352: 0.002616419507603076
Position 2246: 0.002284226936729738
Position 974: 0.0022795181014472923
Position 4505: 0.001958236902645913
Position 4166: 0.0019083483014768095
Position 5479: 0.0017786976053623341
Position 79: 0.0016911075272242745
Position 337: 0.0016456598505912093
Position 4332: 0.0015470172800626473
Position 4488: 0.0014984601028015826
Position 2631: 0.0014937462600958377
Position 1403: 0.0013574510616893016
Position 4389: 0.0013145346128850299
Position 6266: 0.0011676116140515837
Position 6501: 0.0009805141825069462
Position 2693: 0.0009602138616819914
Position 4865: 0.000877663893248394
Position 101: 0.0007664327211322727
Position 4347: 0.000765727681505686
Position 185: 0.0006781866242057933
Position 5486: 0.0006698263255686228
Position 2579: 0.0005958090835461645
Position 4716: 0.000589596548226356
Position 6491: 0.0005815262389129402
Position 202: 0.0005708726471430446
Position 245: 0.0005058224354541064
Position 4927: 0.000493684892503169
Position 6259: 0.00048587772032905455
Position 2640: 0.00042693646533214694
Position 3132: 0.00042055450809759027
Position 1301: 0.0004101943681343596
Position 2534: 0.00034758324464408846
Position 2188: 0.0003316871370979367
Position 5393: 0.0003288891233356086
Position 6015: 0.00032396252945425356
Position 83: 0.00031637469386989163
Position 4825: 0.00028717835907386403
Position 2335: 0.00027644673352397254
Position 2462: 0.00027540948506801983
Position 400: 0.00027406624651388976
Position 1465: 0.0002579383930116689
Position 183: 0.0002548377956702456
Position 2200: 0.00022958063936643594
Position 4793: 0.0001894444697350038
Position 140: 0.00018015712390476271
Position 1185: 0.0001783367255070981
Position 314: 0.0001773206697297297
Position 6372: 0.00015675652060873305
Position 4920: 0.0001420206690221663
Position 3627: 0.00013701896665363345
Position 1709: 0.00013460722255568704
Position 502: 0.00013384873054912399
Position 2354: 0.00013326514881325133
Position 2762: 0.00012428196980340453
Position 1137: 0.00011417803584487495
Position 1765: 0.00011397731807279499
Position 4747: 0.00011010950816428444
Position 1004: 8.801491387666219e-05
Position 2886: 8.517739006311907e-05
Position 197: 8.388309902894276e-05
Position 2562: 8.204481265762152e-05
Position 2939: 7.980552042006032e-05
Position 5756: 7.957607878617459e-05
Position 3279: 7.928205725672862e-05
Position 2963: 7.729906315344792e-05
Position 1622: 6.164848863476122e-05
Position 553: 5.71503134435725e-05
Position 2822: 5.572213672967086e-05
Position 1876: 5.4965206598394195e-05
Position 6058: 5.3413082488622376e-05
Position 1613: 5.1395045854000635e-05
Position 3043: 5.1086920851823666e-05
Position 6522: 4.733478363391772e-05
Position 1444: 4.5324779609779235e-05
Position 4784: 4.072034813473228e-05
Position 2539: 3.987734031423874e-05
Position 1214: 3.9089609634316544e-05
Position 74: 3.8029853091644884e-05
Position 2514: 3.798634269759702e-05
Position 2292: 3.749379564407352e-05
Position 555: 3.661514352882838e-05
