Gene = Ip259
index = 1234
Annotated 5SS: [35]
Annotated 3SS: [386]
SMsplice 5SS: [35]
SMsplice 3SS: [423]
top_k =  1000
Partition function (log Z): -6.35497412961325

Sorted 5' Splice Sites (High to Low Probability):
Position 35: 0.9398177323352155
Position 270: 0.08993828765586317
Position 360: 0.016753859788323236
Position 188: 0.005121398614661277
Position 378: 0.0029088218121020243
Position 881: 0.0014195905487440744
Position 537: 0.0008895453021290585
Position 631: 0.0006831987401151829
Position 48: 0.0003886149107482967
Position 781: 0.00034811126506856786
Position 759: 0.00018303316078164059
Position 69: 0.00017123488055360237
Position 909: 0.00014467231888550084
Position 105: 8.56165314078368e-05
Position 74: 6.866407240296843e-05
Position 274: 5.736602417441206e-05
Position 121: 5.066640136117057e-05
Position 814: 4.30840716715541e-05
Position 352: 3.763577008313491e-05
Position 1061: 3.590155917402951e-05
Position 245: 3.523504228833346e-05
Position 286: 3.4331316117462746e-05
Position 1166: 2.636089768204997e-05
Position 392: 1.9928446578874577e-05
Position 1141: 1.8309325055226236e-05
Position 805: 1.584862416843993e-05
Position 652: 1.514084140056435e-05
Position 39: 1.4067998694808151e-05
Position 917: 1.4046841393480905e-05
Position 1099: 1.112082498964501e-05
Position 1048: 1.0238708507015988e-05
Position 227: 8.02871518379928e-06
Position 180: 5.861722302196557e-06
Position 792: 5.127116309427996e-06
Position 712: 4.637937008174306e-06
Position 153: 4.404702634254211e-06
Position 135: 3.9807924624991625e-06
Position 51: 1.8039689047172822e-06
Position 1094: 1.1215254083593031e-06
Position 1066: 7.773466176997534e-07
Position 108: 3.7834361294589025e-08
Position 300: 5.806159041776345e-09
Position 453: 4.5614734066715274e-09
Position 293: 4.1089816879030946e-09
Position 503: 1.88034016278948e-09
Position 429: 9.94492869341943e-10
Position 21: 6.562550042494648e-10
Position 877: 4.634493050390418e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 423: 0.6673738875548874
Position 386: 0.2473640362414824
Position 108: 0.034591419023369464
Position 269: 0.03282557907206946
Position 105: 0.020443614961825333
Position 450: 0.020272256654163226
Position 180: 0.015499216474383999
Position 313: 0.004644488437638822
Position 399: 0.004499697671751016
Position 293: 0.003223461259150562
Position 689: 0.002669168304900339
Position 325: 0.0014461146827212802
Position 970: 0.0010711615694116868
Position 951: 0.0006990661078380705
Position 594: 0.0006784915173313817
Position 948: 0.00035119160784630654
Position 600: 0.0002357227121554131
Position 900: 0.00019739848952754366
Position 1140: 0.0001483749709182999
Position 1222: 0.0001466447346266196
Position 735: 0.00010346429261615591
Position 909: 9.708670487308362e-05
Position 843: 6.512816417832698e-05
Position 220: 6.282740429755502e-05
Position 606: 4.643943694143021e-05
Position 837: 4.4975954977862714e-05
Position 868: 4.187971892381869e-05
Position 274: 3.99767299515463e-05
Position 570: 3.446375086774674e-05
Position 732: 3.324492114064353e-05
Position 1059: 2.9338781918683196e-05
Position 1180: 2.810158020317072e-05
Position 1011: 2.788157981342935e-05
Position 603: 2.7322112730889375e-05
Position 492: 2.4461223837833212e-05
Position 135: 2.4338765812381604e-05
Position 781: 2.3985667056978523e-05
Position 1014: 2.1730874868039853e-05
Position 642: 2.0202971343228596e-05
Position 814: 1.8356203796199197e-05
Position 792: 1.6934369090943227e-05
Position 201: 1.5326337616410345e-05
Position 495: 1.4971028695681156e-05
Position 831: 1.4356276636055134e-05
Position 1224: 1.3696986439904668e-05
Position 822: 1.202096216664713e-05
Position 1117: 1.1627827634086233e-05
Position 513: 1.0511026835073885e-05
Position 627: 1.0369900815072148e-05
Position 573: 9.307516760905687e-06
Position 1075: 7.331981509666999e-06
Position 651: 7.3051428807138805e-06
Position 1156: 6.797845653649038e-06
Position 711: 6.556726797304271e-06
Position 885: 5.356578348835376e-06
Position 691: 4.524825663956857e-06
Position 588: 4.1096383206767595e-06
Position 612: 3.887567515792456e-06
Position 979: 3.863457296870505e-06
Position 630: 3.6414142645022012e-06
Position 796: 3.1281974995642064e-06
Position 169: 2.6203411438076294e-06
Position 738: 2.4747909451473516e-06
Position 704: 2.4022873003011693e-06
Position 520: 2.248404164993798e-06
Position 699: 1.911116649948456e-06
Position 804: 1.4020040377064407e-06
Position 429: 1.3480612116100173e-06
Position 477: 1.2175472672602717e-06
Position 315: 1.4121978738602756e-08
Position 639: 6.696297657535557e-10
Position 645: 6.575456017075136e-10
Position 552: 2.1784654069761158e-10
Position 528: 2.1947363967193848e-11
Position 63: 2.0950325868994023e-11
Position 74: 3.475003161132e-12
Position 499: 2.9418352713464844e-15
