Gene = Use1
index = 1587
Annotated 5SS: [430 881]
Annotated 3SS: [ 523 1279]
SMsplice 5SS: [430 881]
SMsplice 3SS: [ 523 1279]
top_k =  1000
Partition function (log Z): -0.33983012936129464

Sorted 5' Splice Sites (High to Low Probability):
Position 881: 0.9688587300899348
Position 430: 0.9352227298516218
Position 456: 0.05507164601082625
Position 1209: 0.019478232524287136
Position 630: 0.006920395510720946
Position 25: 0.004941001158331641
Position 238: 0.0037561872028232996
Position 451: 0.0036576973875836432
Position 605: 0.0013827985251931574
Position 739: 0.0013448296635878534
Position 862: 0.0010426737978692438
Position 1280: 0.0009731725674887674
Position 231: 0.0008084297917795069
Position 1224: 0.000439511739393738
Position 891: 0.00024086292186892267
Position 14: 0.00021337550449642323
Position 1170: 0.00016347699637840672
Position 96: 0.00012773862365146707
Position 1232: 0.0001002550561880062
Position 1177: 8.690759878308833e-05
Position 339: 6.0378079727739375e-05
Position 1185: 5.423180325771924e-05
Position 834: 4.21582558499411e-05
Position 304: 2.9775022157561995e-05
Position 1113: 2.6670004345743773e-05
Position 904: 2.654965204799697e-05
Position 170: 2.2719547526959234e-05
Position 1034: 2.1009405640940086e-05
Position 976: 1.9077723466367933e-05
Position 885: 1.8753911993952696e-05
Position 1285: 1.8675980375964367e-05
Position 45: 1.5795078370150058e-05
Position 1008: 1.3314394377198014e-05
Position 229: 1.0794593042265835e-05
Position 909: 1.068736685841527e-05
Position 1021: 9.783060824838133e-06
Position 297: 9.780895987207892e-06
Position 1320: 6.379752906573326e-06
Position 1356: 6.3071612715876445e-06
Position 1317: 6.221955529305136e-06
Position 1404: 3.6909264051239455e-06
Position 179: 3.579664676076591e-06
Position 589: 2.471534132611954e-06
Position 898: 1.9995238735195486e-06
Position 1143: 1.7269282660633714e-06
Position 749: 1.476289251406254e-06
Position 489: 1.2547005065175172e-06
Position 843: 1.0634859643700214e-06
Position 52: 8.329491181754318e-07
Position 744: 4.3897336966989105e-07
Position 742: 2.826082593569764e-07
Position 1395: 1.7933585602025123e-07
Position 572: 1.0451181538010975e-07
Position 1382: 4.156433411659651e-08
Position 495: 2.691806204695089e-08
Position 63: 1.934140236553994e-08
Position 545: 1.2061537818310295e-08
Position 55: 8.870587355891348e-09
Position 1256: 3.9269463905197235e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 523: 0.9857563029545
Position 1279: 0.9521021207325173
Position 1224: 0.018496258991704442
Position 495: 0.009811264467777907
Position 1021: 0.006034487637054414
Position 976: 0.0050332100523921815
Position 1066: 0.004625956230352454
Position 693: 0.0043237104659766875
Position 1299: 0.0034792423529124866
Position 336: 0.003038482680651563
Position 699: 0.0026672217452124963
Position 294: 0.0016521163160555092
Position 1342: 0.0015074457655157604
Position 89: 0.0012089441703507663
Position 1077: 0.001198752983612572
Position 572: 0.001055131650905358
Position 787: 0.0006114828045261607
Position 1387: 0.00038505270821232433
Position 317: 0.00031895833587295493
Position 1365: 0.0002725827538573804
Position 1092: 0.0002510268577506222
Position 654: 0.0002024210153074989
Position 1157: 0.0001415396603474255
Position 542: 0.00010795356995673907
Position 648: 0.00010724397712986589
Position 1170: 9.552962353545776e-05
Position 1429: 8.256604839343037e-05
Position 1185: 7.90370906315618e-05
Position 1352: 7.618657222231399e-05
Position 1085: 7.364705068421494e-05
Position 793: 5.027436282534542e-05
Position 266: 4.718000107874888e-05
Position 1403: 4.457669053580252e-05
Position 1311: 3.889875652397894e-05
Position 926: 3.627496586613947e-05
Position 227: 3.6115678655715666e-05
Position 1369: 3.091934374796957e-05
Position 149: 2.7014907017979664e-05
Position 1451: 2.3661362013942928e-05
Position 915: 1.468089858873323e-05
Position 880: 1.4442275205891252e-05
Position 1426: 1.3343918029022229e-05
Position 1308: 1.2352036505126104e-05
Position 716: 1.2195227192274252e-05
Position 651: 1.2181981514449697e-05
Position 705: 1.0850339051405691e-05
Position 594: 1.0615968612163026e-05
Position 1314: 1.029376651682931e-05
Position 728: 5.9469489799792206e-06
Position 621: 4.690168903921245e-06
Position 142: 4.3029564380202296e-06
Position 209: 3.957512249567287e-06
Position 1317: 2.756459057250375e-06
Position 556: 2.684882027627416e-06
Position 553: 1.793704659990655e-06
Position 1459: 1.4613838871373987e-06
Position 369: 1.3097593641213787e-06
Position 826: 8.92849837812317e-07
Position 581: 7.943978578803497e-07
Position 1401: 7.914202908125419e-07
Position 550: 7.106842490063617e-07
Position 170: 7.036630295209894e-07
Position 1323: 6.738368437259328e-07
Position 1256: 6.385183124479604e-07
Position 343: 4.0196618785218077e-07
Position 376: 3.655043890929998e-07
Position 167: 3.4937164629275476e-07
Position 738: 2.761309487028261e-07
Position 391: 2.3177206193552306e-07
Position 179: 2.027863777598909e-07
Position 380: 1.990909247507398e-07
Position 160: 1.86475738548382e-07
Position 630: 1.5729376880414204e-07
Position 795: 1.3541030620406847e-07
Position 128: 1.0000009639815955e-07
Position 257: 8.99055845956891e-08
Position 451: 8.9175073720152e-08
Position 834: 7.85796966689367e-08
Position 1395: 4.501427277885952e-08
Position 416: 4.473612554967541e-08
Position 1143: 3.758537642055848e-08
Position 663: 3.3778904254241264e-08
Position 203: 3.1889672132115723e-08
Position 810: 5.294389518064755e-09
Position 229: 3.1427138449438848e-09
Position 428: 2.5353294305146667e-09
Position 801: 1.8694468862938315e-11
Position 438: 6.147535528195428e-12
