Gene = Pfas
index = 1373
Annotated 5SS: [ 130 1623 3976]
Annotated 3SS: [ 523 1698 4038]
SMsplice 5SS: [ 130 1623 3976]
SMsplice 3SS: [ 523 1698 4038]
top_k =  1000
Partition function (log Z): -2.8853921951392167

Sorted 5' Splice Sites (High to Low Probability):
Position 1623: 0.9919462099846972
Position 3976: 0.8791229177940794
Position 130: 0.5798587921828994
Position 3066: 0.14104126777191536
Position 2720: 0.12784690061326126
Position 3988: 0.10862078221358391
Position 92: 0.10849309049755386
Position 2522: 0.09374303076642106
Position 3073: 0.07643810154962842
Position 353: 0.0549421304883179
Position 1966: 0.03953666403477456
Position 157: 0.03827785277387227
Position 1886: 0.03077041262832575
Position 378: 0.03023292028680639
Position 952: 0.029595298784899242
Position 3094: 0.014955554272763422
Position 384: 0.010926537012175537
Position 878: 0.010785572926758998
Position 783: 0.010430726577766461
Position 3144: 0.009969613192096617
Position 1083: 0.008784309984066829
Position 1430: 0.008697896741847797
Position 114: 0.008573351895307887
Position 1376: 0.00819751913932467
Position 2809: 0.006083624726490386
Position 2010: 0.004739744637064071
Position 2682: 0.003979000946326288
Position 4372: 0.0034553487298584398
Position 357: 0.0032283512092810456
Position 4473: 0.0026313790699821218
Position 489: 0.0022695660889426473
Position 136: 0.0020399127583589287
Position 142: 0.0017706856215708433
Position 4417: 0.0017410589119781963
Position 2427: 0.0016231353860772877
Position 375: 0.0015539366358024666
Position 280: 0.001414409213365914
Position 2656: 0.001371448234918838
Position 1227: 0.001074193068253064
Position 2124: 0.0010477821704155774
Position 4266: 0.0010476285130585172
Position 707: 0.0008637183994372024
Position 335: 0.0008432515780217085
Position 128: 0.0008140182871151358
Position 212: 0.0008071037365292781
Position 2552: 0.0007117068442833127
Position 3429: 0.0007012205950632833
Position 4497: 0.0006645311085825997
Position 360: 0.000659293672232456
Position 40: 0.0006530994279624691
Position 2724: 0.0006305948071560391
Position 1764: 0.0006149823965195954
Position 480: 0.0006037167135202538
Position 1997: 0.0005910518896120294
Position 2504: 0.0005214694009469139
Position 409: 0.0004839457584905064
Position 216: 0.00045870783142236085
Position 628: 0.0004525333695164342
Position 166: 0.0004300427633585881
Position 2858: 0.0004021849269216289
Position 2496: 0.000379246419393224
Position 661: 0.00037109134220992423
Position 2698: 0.0003614336484512665
Position 3942: 0.0003489277428069804
Position 493: 0.00033049363788082304
Position 2759: 0.0003098538390929825
Position 134: 0.00030493952360782567
Position 393: 0.000296737252234451
Position 206: 0.0002931246087695277
Position 116: 0.0002447619684837646
Position 2409: 0.00023740191261962273
Position 4163: 0.00022680161725326011
Position 2297: 0.00018727074876484235
Position 1260: 0.00018306815736552555
Position 787: 0.00017129896637752676
Position 2588: 0.00016650838274145428
Position 367: 0.00015839178432233925
Position 4622: 0.00014316056140660169
Position 2694: 0.00014285922876070483
Position 601: 0.00010196002115251555
Position 37: 9.444559876356753e-05
Position 430: 9.384256761802376e-05
Position 4386: 8.909416470163762e-05
Position 427: 8.590172114041875e-05
Position 4313: 8.324720301399313e-05
Position 4401: 8.137700229379732e-05
Position 716: 5.513268450765052e-05
Position 2302: 5.447126053629508e-05
Position 3898: 5.1047663459371766e-05
Position 868: 5.0261371918651474e-05
Position 810: 4.410472359227321e-05
Position 632: 4.203650338379471e-05
Position 1712: 4.04346047296571e-05
Position 1265: 3.6853668662569305e-05
Position 1351: 3.50120145723508e-05
Position 1890: 3.329755593999071e-05
Position 4180: 3.0225276751777094e-05
Position 283: 3.0057888555950955e-05
Position 1450: 2.8812199221670598e-05
Position 369: 2.6038582521982562e-05
Position 4460: 2.330429691775875e-05
Position 2605: 2.3148984120224984e-05
Position 1599: 2.2921879992205024e-05
Position 2652: 2.2837879694826317e-05
Position 1645: 2.1874372253672275e-05
Position 597: 1.7746489859028272e-05
Position 2471: 1.5573315164588883e-05
Position 4715: 1.5130804616010307e-05
Position 4488: 1.019820449808058e-05
Position 778: 1.0026484250319424e-05
Position 292: 9.998160204359562e-06
Position 3473: 9.935773833896906e-06
Position 2309: 8.64567143048975e-06
Position 4537: 7.735788824281634e-06
Position 623: 7.337689914100051e-06
Position 626: 6.937600336121575e-06
Position 3665: 5.920574177304228e-06
Position 769: 5.8888026640933775e-06
Position 911: 5.44460595454895e-06
Position 513: 5.398364355586298e-06
Position 4335: 5.354452227083992e-06
Position 3226: 4.926028557962264e-06
Position 2079: 4.4697352793104676e-06
Position 4191: 4.172893722784215e-06
Position 4183: 4.154214963069731e-06
Position 2480: 3.616299159278847e-06
Position 1831: 3.02274276545616e-06
Position 1808: 3.0210206756960892e-06
Position 2121: 2.5315889449629076e-06
Position 1912: 2.4670045527612195e-06
Position 4678: 2.376165270690991e-06
Position 2406: 2.3542477362689734e-06
Position 1601: 1.5451077276141072e-06
Position 2119: 1.2718099663229309e-06
Position 230: 1.1502526578910796e-06
