Gene = ics
index = 1732
Annotated 5SS: [ 583 1493 2743]
Annotated 3SS: [1331 2120 2805]
SMsplice 5SS: [ 307 1493 2743]
SMsplice 3SS: [1331 2120 2805]
top_k =  1000
Partition function (log Z): 5.05428843746485

Sorted 5' Splice Sites (High to Low Probability):
Position 2743: 0.9989388973900676
Position 1493: 0.9299077036064584
Position 307: 0.6061622558823702
Position 583: 0.49600430177087695
Position 2468: 0.33196550932237573
Position 2394: 0.1631527300965406
Position 961: 0.0937157407050807
Position 1561: 0.0376543104406899
Position 2406: 0.01783424615027091
Position 375: 0.016943958651526668
Position 1611: 0.011585351397830559
Position 2978: 0.009588987903494252
Position 1632: 0.00937735413560365
Position 587: 0.009235037113106182
Position 2943: 0.009067295177695079
Position 335: 0.00856144019778023
Position 22: 0.006549071175868499
Position 247: 0.005155185719395333
Position 2952: 0.0037573889553022
Position 237: 0.003085374954127047
Position 774: 0.0017436295694702826
Position 990: 0.0017382717212202868
Position 936: 0.0015363618148192617
Position 302: 0.001518240304442607
Position 272: 0.001449332624694693
Position 921: 0.0012269993676942929
Position 1119: 0.0010957029549934817
Position 2472: 0.001057829318257791
Position 2956: 0.0009876145058306369
Position 1497: 0.0009681991849141395
Position 1776: 0.0008503931385244063
Position 593: 0.0008288733026633197
Position 2008: 0.0007963276121523045
Position 596: 0.000727757799003249
Position 422: 0.0007198697984748108
Position 873: 0.0006721688300499316
Position 2074: 0.0006194393026281612
Position 2896: 0.0006170086502010804
Position 1650: 0.000605851915487558
Position 2452: 0.0005877794108535911
Position 552: 0.0005439545404681747
Position 35: 0.0005013269318944756
Position 1817: 0.00048106712628301937
Position 415: 0.0004660520698071964
Position 2537: 0.0004027561236846222
Position 2171: 0.0004017595822884918
Position 1549: 0.0003845620803080874
Position 410: 0.0003435351845387971
Position 1763: 0.00033379199045815
Position 2339: 0.0003033054426572469
Position 2994: 0.000299327195926278
Position 2384: 0.0002796798011227144
Position 520: 0.0002496252037197997
Position 2428: 0.0002243554426895909
Position 932: 0.00022258147812112346
Position 390: 0.0002177553969326157
Position 428: 0.0002126495807837923
Position 567: 0.00017820372985415244
Position 2941: 0.00013771349611928446
Position 2959: 0.0001301056353640659
Position 2972: 0.0001187393949246246
Position 191: 0.0001079039561462378
Position 1636: 9.660048479963195e-05
Position 2019: 8.82440126316752e-05
Position 1565: 8.361435307844244e-05
Position 956: 7.323008683937383e-05
Position 892: 6.974520435261124e-05
Position 2505: 6.848276938771795e-05
Position 1228: 6.82017665457706e-05
Position 1491: 6.418925216816172e-05
Position 608: 5.764276402752756e-05
Position 436: 5.281140311326169e-05
Position 1754: 4.718957329816697e-05
Position 1798: 4.643320444643639e-05
Position 2348: 4.468474825359305e-05
Position 817: 4.312275211184276e-05
Position 534: 4.1226404863442936e-05
Position 730: 2.6204749709459253e-05
Position 1405: 2.0300359596004848e-05
Position 2549: 1.958743816518171e-05
Position 29: 1.79140971451018e-05
Position 2178: 1.727893524430183e-05
Position 1796: 1.7259107166268866e-05
Position 2288: 1.608052328726657e-05
Position 420: 1.431198289186124e-05
Position 3012: 1.3671543252279623e-05
Position 845: 1.3490725471207193e-05
Position 2747: 1.3323166312652826e-05
Position 345: 1.154061019447552e-05
Position 292: 1.1496977989847756e-05
Position 2635: 1.0352781519657435e-05
Position 2947: 9.437618824488862e-06
Position 1746: 9.363220160675301e-06
Position 2249: 9.242636447842821e-06
Position 2421: 7.450526142072959e-06
Position 479: 7.4135600797909985e-06
Position 311: 7.376384502055159e-06
Position 1752: 7.280654313490047e-06
Position 1084: 7.050588087410033e-06
Position 1440: 6.700481543438247e-06
Position 426: 5.934158223419445e-06
Position 525: 5.4004383325991375e-06
Position 468: 5.222447037114251e-06
Position 450: 4.503161948468877e-06
Position 1375: 4.117118480953491e-06
Position 1644: 4.0583976412431495e-06
Position 2290: 4.0131938356476166e-06
Position 2260: 3.868604483347491e-06
Position 1479: 3.821491733377193e-06
Position 3025: 3.673925127345278e-06
Position 2005: 3.5850379448384245e-06
Position 2666: 2.785127434974742e-06
Position 1647: 2.0876327365718153e-06
Position 44: 1.8551076359067982e-06
Position 1141: 1.8138263242886632e-06
Position 2708: 1.5623700155788704e-06
Position 1358: 1.4853702817662045e-06
Position 856: 9.67061212732906e-07
Position 2591: 9.53067339448241e-07
Position 2257: 6.910604444288863e-07
Position 392: 5.044264772019853e-07
Position 2776: 4.946875097714149e-07
Position 1467: 4.6562876497464824e-07
Position 1716: 4.1346371293809165e-07
Position 1464: 3.8951986355176546e-07
Position 2086: 3.4336308518066693e-07
Position 2838: 1.0172247789401297e-07
Position 2703: 9.177554376150473e-08
Position 460: 4.877553812991518e-08
Position 61: 4.7177791294683355e-08
Position 3082: 4.468792479427492e-08
Position 72: 3.068791422849435e-08
Position 2639: 2.1169708107517025e-08
Position 2614: 1.5146433949671786e-10
Position 2359: 6.277224874851844e-11
Position 735: 3.8465225857195583e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2805: 0.9985856714476365
Position 2120: 0.9875662586415237
Position 1331: 0.9783877935767668
Position 2583: 0.5067392645979882
Position 409: 0.14339513402024642
Position 375: 0.08020772960112016
Position 3040: 0.021393076752150225
Position 895: 0.020946948550999298
Position 2537: 0.005404315501011407
