Gene = GramD1B
index = 1200
Annotated 5SS: [ 2467  5469  6128  7946  9546  9863 10066 10374 10957 12377]
Annotated 3SS: [ 5177  5652  7695  8431  9609  9934 10176 10653 11928 12443]
SMsplice 5SS: [  594  5469  6128  7946  9546  9863 10066 10374 12377 12565 13352]
SMsplice 3SS: [ 5177  5652  7698  8431  9609  9934 10176 11928 12443 13201 13526]
top_k =  1000
Partition function (log Z): 22.18567495318199

Sorted 5' Splice Sites (High to Low Probability):
Position 12377: 0.9998290545008434
Position 9546: 0.9940728004992339
Position 10066: 0.9884017075763344
Position 9863: 0.9878770552343885
Position 6128: 0.9832012533046007
Position 10374: 0.9679467573212375
Position 594: 0.9645860127686751
Position 7946: 0.9220461010634198
Position 5469: 0.9193034795919517
Position 12565: 0.834074271726389
Position 13352: 0.6502669723089419
Position 1187: 0.2963558648970243
Position 10957: 0.2935382093852708
Position 10930: 0.2915538934919714
Position 1379: 0.07516601094993491
Position 12242: 0.06445146013712207
Position 13795: 0.05639698913290253
Position 11661: 0.05626929990271866
Position 8086: 0.04708105258421571
Position 8039: 0.045607388307923304
Position 8536: 0.04445875583116929
Position 7942: 0.03666515868799587
Position 6519: 0.03463129193018998
Position 11012: 0.03418955963961791
Position 5522: 0.03262189243979804
Position 5473: 0.03215580059268632
Position 3155: 0.028489280988808104
Position 11402: 0.025949098078574703
Position 4836: 0.02185530369005055
Position 10705: 0.01960530541261038
Position 10828: 0.01947751146813661
Position 12725: 0.01892019267646378
Position 12181: 0.017881642978008084
Position 12245: 0.01674206546102459
Position 13091: 0.016220811214995485
Position 9331: 0.01585254852592594
Position 964: 0.015357305419211873
Position 14173: 0.014929704663341906
Position 12249: 0.014116686879295463
Position 12670: 0.012576090763337336
Position 13356: 0.012248256567151814
Position 1273: 0.012245738257474931
Position 7615: 0.012059387930872455
Position 8354: 0.011073770598833887
Position 12239: 0.010250682200681198
Position 948: 0.009914412336006864
Position 2778: 0.009634745814025111
Position 708: 0.008777826881840863
Position 8631: 0.008288778959846093
Position 211: 0.008052563541556442
Position 13124: 0.008049158595113999
Position 102: 0.007363492064737459
Position 1191: 0.0069077984125369175
Position 11037: 0.0058482345870470385
Position 10968: 0.005460307576507938
Position 12532: 0.005436589041795541
Position 755: 0.005051604643088467
Position 14053: 0.004638694310929247
Position 3306: 0.004484865404860429
Position 3681: 0.004197966575216076
Position 11746: 0.004060752103443481
Position 11313: 0.003446127210695833
Position 8478: 0.003188655155822814
Position 6269: 0.0031361410289960454
Position 3209: 0.00311438099114394
Position 2467: 0.0027825280141341455
Position 7093: 0.002772878232036779
Position 5814: 0.0026812106333220353
Position 5841: 0.002667255565373172
Position 724: 0.002163668035969175
Position 13454: 0.0020489268544361615
Position 4220: 0.0020118361172448895
Position 10117: 0.001984250841575861
Position 4257: 0.001984203427572479
Position 1277: 0.0018533351464412565
Position 1089: 0.001828133168335108
Position 459: 0.0018036374052098408
