Gene = Cpr64Ab
index = 1095
Annotated 5SS: [83]
Annotated 3SS: [191]
SMsplice 5SS: [83]
SMsplice 3SS: [191]
top_k =  1000
Partition function (log Z): -1.9215471443199321

Sorted 5' Splice Sites (High to Low Probability):
Position 83: 0.987909237700137
Position 112: 0.010633536334108561
Position 282: 0.0014883151819146214
Position 507: 0.0011325644176696501
Position 360: 0.0010646676312011639
Position 258: 0.0006059798694158853
Position 145: 0.0005784885350025346
Position 143: 0.0005443411306336833
Position 299: 0.00037549905788338293
Position 87: 0.00025404863555869177
Position 489: 0.00021984247514838647
Position 102: 0.00014215548684296252
Position 573: 0.00013378430212396256
Position 412: 0.00012627746905299276
Position 516: 8.495481628962102e-05
Position 396: 7.859793658768239e-05
Position 468: 4.9822597460280825e-05
Position 264: 4.9529173454672215e-05
Position 454: 3.183338702941533e-05
Position 483: 2.8093887286971988e-05
Position 399: 2.4315163398508174e-05
Position 465: 1.277158384693526e-05
Position 375: 9.058691272161178e-06
Position 230: 7.810725169673594e-06
Position 378: 7.232092110368783e-06
Position 305: 5.405950371080098e-06
Position 318: 5.001294856917116e-06
Position 3: 4.4538468039196915e-06
Position 65: 2.5353622703856245e-06
Position 426: 1.8793992823987472e-06
Position 252: 7.821025787291301e-07
Position 599: 4.802251125793995e-07
Position 17: 1.9941670617697206e-07
Position 611: 1.1959761067118742e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 191: 0.9974634188417891
Position 611: 0.0032195910314790814
Position 343: 0.0012401930630573062
Position 323: 0.0011063549067843576
Position 131: 0.0007390518876145014
Position 555: 0.0006537103193310507
Position 246: 0.00027725366081776085
Position 299: 0.00020858824358683864
Position 473: 0.0001713481454677951
Position 654: 0.00014841642600966175
Position 258: 0.00010236968596168784
Position 581: 9.991201537048023e-05
Position 623: 9.886961177121563e-05
Position 143: 4.4698549872554565e-05
Position 359: 1.2765432232894307e-05
Position 347: 8.44870014172365e-06
Position 627: 7.119105652384632e-06
Position 264: 3.5383353299186214e-06
Position 56: 3.4270614160993553e-06
Position 230: 2.6735451373039684e-06
Position 516: 8.554458952975123e-07
Position 281: 4.281800335364778e-07
Position 65: 1.6842082452762484e-07
Position 383: 1.6646496722498973e-07
Position 356: 1.435707681212074e-07
Position 349: 7.073126336558125e-08
Position 353: 2.684273738160874e-08
Position 483: 6.986311633282568e-09
Position 82: 2.47958573108999e-10
Position 107: 1.4530199253375609e-11
Position 87: 1.3673586570855776e-12
Position 372: 4.161016004559939e-13
Position 477: 2.7178491485107625e-13
Position 92: 2.4272428904896575e-14
