Gene = Ssb-c31a
index = 1525
Annotated 5SS: [156]
Annotated 3SS: [211]
SMsplice 5SS: [156]
SMsplice 3SS: [211]
top_k =  1000
Partition function (log Z): -3.4137113116033215

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.9988044021084906
Position 515: 0.0037580423670354633
Position 323: 0.0018194957793711147
Position 518: 0.001083122911129385
Position 186: 0.0010160183411950493
Position 528: 0.0005538593215631126
Position 493: 0.00021859407881325856
Position 160: 8.02632073300413e-05
Position 195: 5.8047379992200054e-05
Position 370: 3.962928719708854e-05
Position 356: 2.9795611656094824e-05
Position 213: 1.8587212004156638e-05
Position 464: 1.3629907459742132e-05
Position 27: 1.1093855880355351e-05
Position 288: 6.6613606596766895e-06
Position 452: 4.182671491390372e-06
Position 345: 2.572210543215409e-06
Position 337: 2.280950559497507e-06
Position 145: 1.5820601307800685e-06
Position 8: 1.4200850462825362e-06
Position 68: 2.2273589348879518e-07
Position 77: 5.861703018024799e-08
Position 125: 5.425797019072224e-08
Position 63: 3.1336975058822157e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 211: 0.977270771367539
Position 263: 0.020790708980718546
Position 576: 0.007334821854434141
Position 220: 0.0010346502800518739
Position 272: 0.0005349957713653698
Position 409: 0.00013177183808882038
Position 382: 8.784188251565778e-05
Position 406: 8.366246608002095e-05
Position 228: 5.951849750954809e-05
Position 439: 5.892130674417551e-05
Position 540: 3.6734828399116466e-05
Position 311: 3.3571518736617776e-05
Position 452: 2.818967566796185e-05
Position 322: 1.7387271036617196e-05
Position 235: 5.9490805634886e-06
Position 232: 3.7636676130456756e-06
Position 113: 2.7640399915487825e-06
Position 515: 2.3105326102731496e-06
Position 241: 1.0529554873077342e-06
Position 521: 8.530356355975085e-07
Position 116: 7.666253690145967e-07
Position 493: 7.644223566225236e-07
Position 464: 7.073024863188581e-07
Position 461: 3.6078820735169205e-07
Position 368: 2.7143392364847416e-07
Position 185: 2.563939697825212e-07
Position 132: 1.779207070290924e-07
Position 119: 5.1363677466659874e-08
Position 136: 2.668761924846265e-08
Position 370: 1.2958114196895223e-08
Position 481: 3.772330421260074e-09
Position 337: 2.9418024131124636e-09
Position 150: 1.6474714677468752e-09
Position 195: 1.0479225684289465e-09
Position 142: 8.251104664085316e-10
Position 168: 6.735204085765888e-10
Position 160: 3.9930328120554965e-14
