Gene = homer
index = 1731
Annotated 5SS: [ 167 1218 1710 1842 2172 2363]
Annotated 3SS: [ 928 1272 1762 1904 2227 2416]
SMsplice 5SS: [ 563 1218 1710 1842 2172 2363]
SMsplice 3SS: [ 928 1272 1762 1904 2227 2416]
top_k =  1000
Partition function (log Z): 16.1444471351438

Sorted 5' Splice Sites (High to Low Probability):
Position 1842: 0.9993995108769893
Position 1218: 0.999297667890919
Position 1710: 0.9935123580412328
Position 2363: 0.9714333093605333
Position 2172: 0.9673502225476102
Position 563: 0.5359668467148859
Position 167: 0.2559207737911342
Position 2833: 0.10093952081144258
Position 3048: 0.06889006298211685
Position 406: 0.056401852610056764
Position 2176: 0.029915986328154284
Position 2490: 0.02289653023232887
Position 388: 0.020274009330439803
Position 3079: 0.016582643161294677
Position 3106: 0.015834170814434004
Position 808: 0.011938346114170106
Position 2916: 0.004133774604965065
Position 3084: 0.0039700095124839555
Position 414: 0.0038410129647308763
Position 410: 0.0038280796425378544
Position 216: 0.0033769638050254723
Position 301: 0.003336205148959952
Position 2712: 0.0032998681852437466
Position 3110: 0.003102429483444375
Position 3623: 0.002732485944612537
Position 3116: 0.002472519955312882
Position 2496: 0.002235112513263524
Position 3792: 0.0021600373719162505
Position 285: 0.002011238776649484
Position 529: 0.001578955625254561
Position 1023: 0.0012599183918850171
Position 376: 0.0011970170143829825
Position 372: 0.0011858976561367374
Position 5: 0.0011278815681730551
Position 3627: 0.0007362694657153727
Position 43: 0.0006334908093334608
Position 2344: 0.0005701054877740436
Position 1671: 0.0005672251860693989
Position 2156: 0.0004643850234193859
Position 3604: 0.00038034674889774096
Position 1089: 0.0003547014689423101
Position 3472: 0.0003439406993892837
Position 585: 0.00032642600456635684
Position 95: 0.00030280327990844704
Position 262: 0.0002885658331279288
Position 2149: 0.00027995643534005447
Position 784: 0.0002456239222416469
Position 3072: 0.00022404156707112274
Position 3359: 0.00022292867061365652
Position 3288: 0.00020061734722058239
Position 2350: 0.00019042245529923225
Position 2877: 0.00018915072038220998
Position 1055: 0.00018511305637213001
Position 1225: 0.00017830984354991352
Position 114: 0.00017307423031281776
Position 3646: 0.0001646507838023134
Position 380: 0.00015253251504439188
Position 2738: 0.00014930879753647503
Position 829: 0.00014464684700297902
Position 2129: 0.00013854794343571932
Position 3271: 0.0001306381024895719
Position 2417: 0.00012734937683992563
Position 2994: 0.00011705442616637366
Position 1178: 0.00011605348595119332
Position 3273: 0.0001102152089482784
Position 1573: 0.0001084699378449533
Position 390: 9.366022363885495e-05
Position 3158: 8.449868350109145e-05
Position 2056: 8.319277404490635e-05
Position 3330: 7.985391885689814e-05
Position 265: 7.810240788582514e-05
Position 2950: 7.369152783155434e-05
Position 2253: 7.220454798371585e-05
Position 321: 6.977982854409252e-05
Position 2326: 6.477989416400671e-05
Position 268: 5.710057185467787e-05
Position 1393: 5.617105004256649e-05
Position 2246: 5.497476229369489e-05
Position 139: 5.008915614948068e-05
Position 3583: 4.8721233106943304e-05
Position 1438: 4.664317407318371e-05
Position 289: 4.661096454747201e-05
Position 2906: 4.2752433372878667e-05
Position 2773: 3.715101551967147e-05
Position 2061: 3.52950449964261e-05
Position 1017: 3.337321376730276e-05
Position 593: 3.201597749010192e-05
Position 394: 2.8980453159098296e-05
Position 551: 2.7800321650306184e-05
Position 2307: 2.6265440821795286e-05
Position 62: 2.22753927994896e-05
Position 1685: 2.1304835444431762e-05
Position 207: 1.9316672100804267e-05
