Gene = Acn
index = 7
Annotated 5SS: [1693 2008 2300 2471]
Annotated 3SS: [1796 2064 2360 2558]
SMsplice 5SS: [1693 2008 2300 2471]
SMsplice 3SS: [1796 2064 2360 2558]
top_k =  1000
Partition function (log Z): -3.208692754715931

Sorted 5' Splice Sites (High to Low Probability):
Position 2471: 0.9371489897476448
Position 1693: 0.8637687152544086
Position 2300: 0.8373012538415326
Position 2008: 0.7342261361539643
Position 788: 0.322921169577745
Position 2734: 0.05483801953256838
Position 1986: 0.04202368444672376
Position 3025: 0.027818015318271837
Position 1117: 0.024703020117551554
Position 2913: 0.02050633920138668
Position 82: 0.018140856276732155
Position 1463: 0.016574305086974005
Position 2770: 0.01566350199694117
Position 794: 0.014198266822735828
Position 1932: 0.01384489410623856
Position 2909: 0.011886806737113101
Position 3010: 0.011338351899893635
Position 54: 0.008203217925202125
Position 2677: 0.006062081555228919
Position 3231: 0.0059048358740650285
Position 1508: 0.0054182965952376105
Position 515: 0.005310451443684905
Position 101: 0.004498463012839168
Position 1121: 0.0036668631035788354
Position 3028: 0.003406511728058949
Position 1735: 0.002713447892527776
Position 1995: 0.0020460951225743183
Position 132: 0.0018840486506693792
Position 1135: 0.0016602332219654483
Position 1702: 0.0015190848771649036
Position 737: 0.0012078428524777156
Position 1660: 0.001190986232624871
Position 1697: 0.000942323949202693
Position 3031: 0.000904448623421188
Position 686: 0.0008785273117516421
Position 20: 0.0008558750706573991
Position 2713: 0.0008362491274908868
Position 299: 0.0007957426778471642
Position 1568: 0.0007930496799363194
Position 2841: 0.0007665749229148798
Position 323: 0.0006686407802005443
Position 371: 0.0006028926199505611
Position 2309: 0.0005906729215441061
Position 1153: 0.0005567382272014031
Position 590: 0.0005484650436740434
Position 1164: 0.000513471903913123
Position 3287: 0.0004930180982250703
Position 845: 0.00045999038998645797
Position 1451: 0.00042130179606965476
Position 2891: 0.0003727639748184074
Position 1638: 0.00032843869402590523
Position 2686: 0.0002751867076417304
Position 2964: 0.000218721897493476
Position 117: 0.0001452413797775981
Position 2656: 0.0001270983574204348
Position 704: 0.00010666316433467943
Position 1867: 0.00010519496027297374
Position 1666: 0.00010450955800407574
Position 136: 9.335786959468586e-05
Position 1965: 8.044316803911664e-05
Position 446: 6.990423060689839e-05
Position 2581: 6.188562356380406e-05
Position 1092: 5.593263084595616e-05
Position 840: 5.4201413248052306e-05
Position 2288: 4.9915436028588336e-05
Position 155: 4.774103847187975e-05
Position 619: 4.3663141403276856e-05
Position 1705: 3.465623365128459e-05
Position 1980: 3.2420518253101686e-05
Position 1512: 2.901572666394056e-05
Position 1859: 2.7435257861444895e-05
Position 1521: 2.7201354266158427e-05
Position 2611: 2.4648435826680645e-05
Position 301: 2.4344963416718533e-05
Position 147: 2.340929714052839e-05
Position 257: 2.2071005419553884e-05
Position 1484: 2.105956247500905e-05
Position 2491: 1.8749078285768184e-05
Position 178: 1.814266993172516e-05
Position 689: 1.8113975829058916e-05
Position 2475: 1.7055623904737002e-05
Position 672: 1.2272822479754132e-05
Position 2172: 8.839239958944851e-06
Position 1845: 8.2918096009174e-06
Position 1175: 7.668628600312864e-06
Position 219: 7.000361142290347e-06
Position 2362: 5.078924979891304e-06
Position 869: 5.005024565811048e-06
Position 557: 4.211523438687105e-06
Position 2884: 4.054418931485397e-06
Position 1220: 3.849745744123423e-06
Position 335: 3.242699788478477e-06
Position 493: 1.564551228073975e-06
Position 282: 1.2690586840326073e-06
Position 263: 1.0725676076991262e-06
Position 3379: 6.728812241835633e-07
Position 630: 3.747539142881481e-07
Position 1223: 1.7586400513147374e-07
Position 238: 1.621718019394174e-07
Position 2210: 6.30454166223887e-08
Position 2523: 5.691651485996543e-08
Position 338: 3.962756265775799e-08
Position 572: 3.909493523492102e-08
Position 414: 3.5510075548906036e-08
Position 423: 1.2017449759934343e-08
Position 269: 8.924207581014328e-09
Position 2351: 6.297079716031694e-09
Position 241: 1.3987219481187652e-09
Position 244: 1.1106145569732173e-09
Position 188: 1.0641159845285609e-09
Position 456: 1.1134539729962268e-11
Position 2077: 4.28761351549829e-12
Position 2141: 2.8046006835822105e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2064: 0.9559713934430356
Position 2360: 0.7369954265221961
Position 2558: 0.6884398310243428
Position 1796: 0.6749510917003303
Position 3105: 0.27941020311017867
Position 3115: 0.1317586150622555
Position 851: 0.10211376093149188
Position 1583: 0.10115522888599103
Position 1870: 0.07700983258966251
Position 3151: 0.0393390831290617
Position 166: 0.02709383593017549
Position 1204: 0.02042162860468301
Position 912: 0.018678578123921468
Position 1228: 0.018672703789375272
Position 859: 0.018028876936497105
Position 2428: 0.017706070192058738
Position 2397: 0.015260162684616179
Position 1071: 0.011952955335294268
Position 1880: 0.009621330599946543
Position 863: 0.009299151493414702
Position 2374: 0.00907187879477908
Position 1268: 0.008925625693281787
Position 840: 0.007316634192727377
Position 1214: 0.006986761476822513
Position 3324: 0.006839738981411864
Position 1034: 0.006226466830915917
Position 2902: 0.005114449133546197
Position 1074: 0.004485095791486414
Position 2517: 0.002896559881502522
Position 2103: 0.0023019998058457524
Position 810: 0.002208459444592144
