Gene = Qtzl
index = 1398
Annotated 5SS: [204]
Annotated 3SS: [261]
SMsplice 5SS: [204]
SMsplice 3SS: [261]
top_k =  1000
Partition function (log Z): -6.218006809025572

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9988646385675751
Position 411: 0.006930598926143248
Position 279: 0.00216200840157714
Position 519: 0.0013344488931240294
Position 751: 0.0012158500825951751
Position 532: 0.0005635244702975319
Position 415: 0.00044655982179001046
Position 653: 0.00037498609579122484
Position 313: 0.0003274726966023776
Position 637: 0.00023554575852050827
Position 363: 0.00019306043721124269
Position 707: 0.0001893260455637432
Position 146: 0.00017226501481594275
Position 728: 0.00010589185417803155
Position 21: 8.199650402983253e-05
Position 9: 7.903589366145533e-05
Position 790: 7.228363601092837e-05
Position 716: 6.899418416407819e-05
Position 651: 6.427894509763273e-05
Position 521: 4.663396390467997e-05
Position 254: 3.633130345465691e-05
Position 361: 3.351637064821648e-05
Position 30: 3.0445185536758897e-05
Position 143: 1.943399481495589e-05
Position 603: 1.633463921889295e-05
Position 619: 1.147087698849793e-05
Position 584: 1.1456199493321812e-05
Position 481: 6.091003383748541e-06
Position 815: 5.19377361173807e-06
Position 601: 4.969950605864214e-06
Position 765: 4.510284481720736e-06
Position 107: 4.116428814412926e-06
Position 248: 3.858465719716476e-06
Position 229: 3.6433994008035353e-06
Position 805: 1.9239060531973195e-06
Position 595: 1.2677653080777728e-06
Position 733: 4.054616477202647e-07
Position 258: 3.3972035385446554e-07
Position 755: 2.934142498056174e-07
Position 726: 2.79110164430641e-07
Position 621: 1.7701697594653358e-07
Position 83: 1.5859908053691658e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 261: 0.9627348933173118
Position 595: 0.009601201872290925
Position 564: 0.009397115562215258
Position 726: 0.006230260384268378
Position 305: 0.0052526420921944076
Position 278: 0.003995412475463972
Position 879: 0.002716731711795045
Position 338: 0.002516688921500055
Position 839: 0.002504156491076369
Position 716: 0.001449350248016682
Position 580: 0.0014108024127338942
Position 768: 0.0012599169882898775
Position 524: 0.0010728812457589413
Position 296: 0.0010113533857058694
Position 519: 0.0008888058235302729
Position 545: 0.0005476372606273045
Position 751: 0.0004999215830302085
Position 614: 0.00013785161681365582
Position 316: 0.00012754146480167098
Position 72: 0.00010138525897752776
Position 311: 6.174008137410688e-05
Position 444: 4.915463586823418e-05
Position 61: 3.7436533500547984e-05
Position 528: 2.4903128522665304e-05
Position 83: 2.4305577835503515e-05
Position 660: 2.3235516989773898e-05
Position 52: 1.318158715677131e-05
Position 203: 1.008371388252307e-05
Position 645: 8.227029255474997e-06
Position 106: 6.174904186306113e-06
Position 100: 6.0314717366166516e-06
Position 171: 1.4894476404375045e-06
Position 272: 1.268383068707517e-06
Position 668: 7.937044034285634e-07
Position 208: 3.386640298767945e-07
Position 137: 2.878661399293835e-07
Position 150: 2.4626558104601814e-07
Position 229: 1.472689459402043e-07
Position 157: 9.726178474006079e-09
Position 176: 7.094724197070029e-09
Position 188: 3.60970752610342e-09
Position 221: 7.354991983141847e-10
Position 274: 2.994271185228179e-14
