Gene = tam
index = 1907
Annotated 5SS: [2038 2916]
Annotated 3SS: [2092 2974]
SMsplice 5SS: [2038 2916]
SMsplice 3SS: [2092 2974]
top_k =  1000
Partition function (log Z): -3.653222676664624

Sorted 5' Splice Sites (High to Low Probability):
Position 2916: 0.9780474159646168
Position 2038: 0.9562895978985281
Position 183: 0.372490836178691
Position 2660: 0.2159135180857748
Position 711: 0.07475177720721184
Position 846: 0.06961234239270098
Position 1134: 0.04272511632649277
Position 2042: 0.030549098627187823
Position 2521: 0.026129500979100096
Position 917: 0.019555687218429502
Position 34: 0.018102642351136424
Position 3255: 0.017294931213673193
Position 252: 0.009846283280847178
Position 2615: 0.0071152012489052365
Position 3033: 0.005903389599898479
Position 707: 0.0050739152762072914
Position 339: 0.004818590400072966
Position 1318: 0.0044700044986874425
Position 104: 0.004213683980471631
Position 642: 0.004106614753566668
Position 2176: 0.0028303393378114406
Position 701: 0.00217980145784218
Position 3216: 0.002090336175804053
Position 1056: 0.0020473665277067595
Position 117: 0.00201018101463868
Position 644: 0.0012655085248862497
Position 2324: 0.001253888914718474
Position 1220: 0.0012025309520135587
Position 944: 0.0009766063931673544
Position 2639: 0.0008566055713245085
Position 382: 0.0008152023926292842
Position 20: 0.0008055007420229589
Position 324: 0.0007436145444511005
Position 3285: 0.0007116095509977357
Position 2731: 0.0007027378183417313
Position 3724: 0.0006252515842968653
Position 1075: 0.0005427055512107964
Position 1959: 0.00038855864309148767
Position 948: 0.0003870649234838777
Position 2762: 0.0003756698045630396
Position 3604: 0.00034917987096024444
Position 2789: 0.0003453123181443002
Position 3600: 0.00033789566947431686
Position 147: 0.0002824055220101663
Position 1138: 0.0002644780167844386
Position 3226: 0.00026438773743898947
Position 2920: 0.00023295297054362748
Position 3213: 0.00021710426701750544
Position 353: 0.0002132552184106054
Position 532: 0.00020249987366869677
Position 474: 0.00019844940409434163
Position 684: 0.00019438737338426426
Position 2332: 0.00015350388127898282
Position 2624: 0.00015003219733961316
Position 2030: 0.00014824871163464603
Position 843: 0.00013369629179231073
Position 3397: 0.000132582246044885
Position 890: 0.0001299023193675887
Position 1559: 0.00010440551762661788
Position 600: 9.942631568911132e-05
Position 2211: 9.934620288441128e-05
Position 2335: 9.64288022111827e-05
Position 1361: 9.582384525626302e-05
Position 850: 9.213572130804793e-05
Position 246: 9.042084464515268e-05
Position 2419: 8.631953996631469e-05
Position 1453: 8.135057585977642e-05
Position 1954: 7.838070326775713e-05
Position 1631: 7.330840054587698e-05
Position 648: 6.250095593110825e-05
Position 2537: 6.201188576472406e-05
Position 1628: 5.993061016185313e-05
Position 210: 5.446837419050297e-05
Position 3628: 4.626796070026958e-05
Position 2704: 4.55639918899179e-05
Position 1927: 3.48050731561366e-05
Position 2237: 2.92852603460123e-05
Position 2382: 2.0936436962216126e-05
Position 3608: 2.0005233576008377e-05
Position 369: 1.984464909861884e-05
Position 3187: 1.8304789229533174e-05
Position 3459: 1.7022190589370838e-05
Position 2664: 1.4998713168062473e-05
Position 2017: 1.4008213006588986e-05
Position 2597: 1.3369942010519787e-05
Position 2116: 1.1255921829686513e-05
Position 1179: 9.699601988146907e-06
Position 2224: 9.322965162684127e-06
Position 2444: 7.035158188203423e-06
Position 2066: 5.8135466357502435e-06
Position 3139: 5.565844479650649e-06
Position 2793: 5.30071717359192e-06
Position 1997: 5.115498147638523e-06
Position 393: 4.9747904316041555e-06
Position 2060: 4.670818182976838e-06
Position 2046: 4.291257629544514e-06
Position 3231: 4.2700880692970034e-06
Position 3327: 4.024259255383322e-06
Position 2889: 3.1555222215246274e-06
Position 744: 3.0426025210354484e-06
Position 2871: 2.527657669348192e-06
Position 407: 2.098317228818625e-06
Position 491: 2.0242576236673874e-06
Position 165: 1.6587357138924216e-06
Position 22: 1.5411716104726477e-06
Position 3550: 1.2550956262793075e-06
Position 3710: 1.1796230222661744e-06
Position 3538: 8.408003495762329e-07
Position 3564: 7.343185475348469e-07
Position 2266: 5.214870339623305e-07
Position 507: 3.2393974401675426e-07
Position 1050: 2.6873784039658523e-07
Position 2051: 2.0872245677188e-07
Position 24: 2.0674736527310864e-07
Position 1845: 2.0387665426917146e-07
Position 1415: 1.8509471632679657e-07
Position 142: 1.812738451673697e-07
Position 45: 1.660423163020156e-07
Position 636: 1.0098474276818637e-07
Position 2234: 3.921104726487541e-08
Position 1151: 3.572271720001815e-08
Position 2548: 3.492367993248826e-08
Position 402: 3.4311563572201004e-08
Position 2769: 3.318736149803621e-08
Position 1154: 2.962786226002382e-08
Position 1113: 2.640404521985932e-08
Position 86: 2.193981832614355e-08
Position 27: 2.022102428873366e-08
Position 1618: 1.9497244196673004e-08
Position 1262: 1.2107003367272139e-08
Position 287: 1.1462666027545186e-08
Position 2869: 1.1356595799800643e-08
Position 3145: 6.33827957714374e-09
Position 2844: 6.131268799180176e-09
Position 1211: 4.3941500236485025e-09
Position 669: 2.744360210486476e-09
Position 957: 1.2006373591521907e-09
Position 2062: 1.0428811929834648e-09
Position 1045: 7.995341685918234e-10
Position 2552: 7.771070318954217e-10
Position 2289: 6.744568692304328e-10
Position 2810: 5.797852608907675e-10
Position 1391: 5.788760183615544e-10
Position 3077: 2.753277127623691e-10
Position 60: 1.3587303216449863e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2092: 0.9943251369800172
Position 2974: 0.9750020312397578
Position 1831: 0.5141029671689494
Position 2810: 0.15758574122433888
Position 2731: 0.033856568124153684
Position 1378: 0.027536608352611368
Position 2571: 0.026260660921266398
