Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  1000
Partition function (log Z): -0.14480097937281317

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9855525752170881
Position 170: 0.97433377147113
Position 625: 0.012467530684509736
Position 190: 0.004144646020106516
Position 843: 0.002198886402701591
Position 184: 0.0019041864643591264
Position 459: 0.0009039636108363444
Position 618: 0.0007763210600929343
Position 16: 0.0005266636148734234
Position 831: 0.00034772351233101044
Position 593: 0.00017317293324276245
Position 476: 0.00012920404384093146
Position 402: 0.00010259899851464985
Position 494: 7.31362427471074e-05
Position 117: 5.3551260122879856e-05
Position 33: 4.147891222467229e-05
Position 419: 1.3350147030938767e-05
Position 269: 1.1869041584414078e-05
Position 5: 1.089630201202672e-05
Position 417: 1.025913156897484e-05
Position 814: 7.797514101453025e-06
Position 450: 7.580979110707833e-06
Position 799: 4.253033011911235e-06
Position 156: 4.184703900083166e-06
Position 766: 3.2819059758290094e-06
Position 393: 2.6225628216703247e-06
Position 544: 2.523044335806461e-06
Position 315: 2.1180629910940785e-06
Position 369: 1.251182054347097e-06
Position 89: 1.0998362466078535e-06
Position 777: 1.083887275288035e-06
Position 520: 5.932020565187654e-07
Position 66: 5.890699082056263e-07
Position 223: 3.3812814910581504e-07
Position 84: 3.100660445193074e-07
Position 852: 3.068024986321262e-07
Position 289: 2.1359956046799298e-07
Position 739: 1.7867281728377562e-07
Position 523: 8.921565592995577e-08
Position 262: 5.232058808782818e-08
Position 107: 2.5424725637004116e-08
Position 694: 1.0956504171563636e-08
Position 267: 9.86724156530341e-09
Position 252: 9.210156400439762e-09
Position 249: 8.461122528403441e-09
Position 283: 7.149719495394171e-09
Position 679: 5.808627767609287e-09
Position 275: 2.71691781302647e-09
Position 238: 2.331496308326862e-09
Position 702: 2.1787008947630751e-10
Position 273: 1.5606493028312492e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.9381227879330682
Position 241: 0.8820465324329629
Position 245: 0.09588132463622023
Position 728: 0.041402618190206394
Position 738: 0.013166725530760053
Position 518: 0.007487180672753034
Position 891: 0.0022157567330842566
Position 642: 0.0009636766218675073
Position 711: 0.0008057891355235494
Position 84: 0.0005735357709967679
Position 886: 0.0004600353581215376
Position 580: 0.00029935471617461803
Position 597: 0.00010376978242116454
Position 299: 9.371147792460728e-05
Position 897: 3.860020274180197e-05
Position 377: 3.381299741546033e-05
Position 747: 3.246543577355197e-05
Position 324: 3.2298001938172084e-05
Position 450: 1.8578222313919712e-05
Position 344: 1.826554296578233e-05
Position 347: 6.922703239495493e-06
Position 505: 3.167771638742861e-06
Position 428: 2.716505607164503e-06
Position 417: 1.6335222213405347e-06
Position 98: 1.5709671304095358e-06
Position 133: 8.530409982913496e-07
Position 402: 5.731540640391476e-07
Position 777: 4.90173097870547e-07
Position 339: 4.579222636641836e-07
Position 852: 3.292143539447693e-07
Position 855: 2.2294942564273617e-07
Position 822: 1.9514001853200583e-07
Position 196: 1.50036595664285e-07
Position 410: 7.158267244017822e-08
Position 47: 3.8264394837738446e-08
Position 121: 2.9679324742646104e-08
Position 174: 1.760225061839685e-08
Position 156: 1.7235484124598623e-08
Position 482: 1.217176341267562e-08
Position 467: 8.946812178024424e-09
Position 152: 7.92166522368805e-09
Position 365: 7.158396622103453e-09
Position 458: 6.003431564500418e-09
Position 847: 5.999329906365571e-09
Position 863: 4.507978929754907e-09
Position 804: 2.2850036597235778e-09
Position 170: 2.1443849048045528e-09
Position 356: 1.0866577604934548e-09
Position 393: 7.502708468127179e-11
