Gene = CtIP
index = 1111
Annotated 5SS: [ 220  863 1626]
Annotated 3SS: [ 276 1003 1689]
SMsplice 5SS: [ 220  863 1626]
SMsplice 3SS: [ 276  947 1689]
top_k =  1000
Partition function (log Z): 0.8297438972517317

Sorted 5' Splice Sites (High to Low Probability):
Position 220: 0.9938361488385087
Position 1626: 0.9889175825094587
Position 863: 0.8446038270494934
Position 1331: 0.05802515490039989
Position 10: 0.05416142638487428
Position 1341: 0.034956478472089936
Position 648: 0.01421002837420201
Position 1386: 0.008153319539364136
Position 1162: 0.006972953977790892
Position 1191: 0.003495575585735557
Position 1607: 0.0024777129899883777
Position 1857: 0.0013333237305907205
Position 1251: 0.000934601132411487
Position 997: 0.0007339447901331742
Position 1630: 0.00040883606739191224
Position 1189: 0.0003729570205141909
Position 891: 0.0003687298114519453
Position 658: 0.00021350558420017924
Position 599: 0.0001957955449512134
Position 1840: 0.00017449530061517803
Position 639: 0.00017018149588410143
Position 1616: 0.0001482432501756698
Position 1918: 0.00013955460186706602
Position 624: 0.0001062546195941952
Position 592: 9.970620402678198e-05
Position 1842: 9.430412492802562e-05
Position 1194: 7.877673462276756e-05
Position 1310: 5.344018743133782e-05
Position 1910: 5.248601463778038e-05
Position 522: 4.4850997160378106e-05
Position 690: 4.20379232487674e-05
Position 1318: 3.5439026931700845e-05
Position 1230: 3.0750077488106984e-05
Position 2033: 2.3214248329671698e-05
Position 1020: 2.1115881894223694e-05
Position 893: 1.9455950047387107e-05
Position 1594: 1.7902279357934767e-05
Position 792: 1.6920490358626673e-05
Position 1807: 1.3977357427475282e-05
Position 171: 1.137359606547433e-05
Position 105: 1.135377410713279e-05
Position 1584: 1.1029231613022263e-05
Position 1948: 8.168999547232044e-06
Position 176: 6.611359761714591e-06
Position 1522: 3.4241400763872297e-06
Position 1611: 2.9897142440186275e-06
Position 1749: 1.7513244999228336e-06
Position 387: 1.5672035740571561e-06
Position 1106: 1.0950464519940715e-06
Position 301: 1.0226660393629713e-06
Position 1772: 8.667403210724124e-07
Position 1065: 8.571828407056416e-07
Position 561: 8.440631875631254e-07
Position 1493: 7.850737416939682e-07
Position 781: 6.430442093501866e-07
Position 954: 4.883602292220078e-07
Position 276: 4.1827642424194205e-07
Position 1091: 3.020996400003805e-07
Position 2016: 2.540147101858895e-07
Position 1084: 1.4004437605096417e-07
Position 805: 1.192745397772666e-07
Position 413: 1.1354212135778862e-07
Position 123: 1.0668047975837172e-07
Position 137: 5.643368301522973e-08
Position 154: 1.9086785778733152e-08
Position 120: 1.3572904284714215e-08
Position 1413: 1.4064009139315656e-09
Position 261: 3.0267454839249216e-11
Position 148: 1.3779024515405073e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 276: 0.9866936052280627
Position 1689: 0.8286360514678869
Position 947: 0.5344294147487135
Position 1720: 0.15951548179019484
Position 996: 0.11701996350723998
Position 1439: 0.05941337634491932
Position 1003: 0.0490279520661127
Position 1054: 0.04592887322587108
Position 1386: 0.04344395357046898
Position 87: 0.03342310028824033
Position 1413: 0.03277688071738181
Position 1091: 0.019787283329379346
Position 120: 0.016946500753405095
Position 1032: 0.016037662995802723
Position 927: 0.01191385338087123
Position 1248: 0.007747142734278815
Position 1008: 0.0066709245618911655
Position 769: 0.006474722286989619
Position 1515: 0.005913781953556948
Position 1217: 0.005091764675428545
Position 1512: 0.004463985696639862
Position 1749: 0.0034928284804656086
Position 105: 0.0017580418435520601
Position 1060: 0.0016550246996103227
Position 341: 0.0015087819965637793
Position 1952: 0.0014719954623636554
Position 762: 0.00139207059039069
Position 131: 0.0011696757321526254
Position 1449: 0.0011378378095410512
Position 1161: 0.0008249268809089588
Position 1819: 0.0008143422755683403
Position 1358: 0.0006207629767450338
Position 1443: 0.0005418009297752212
Position 1982: 0.0005406642041521783
Position 740: 0.0005332050855634629
Position 1194: 0.000530585386590775
Position 1120: 0.0005249609541258247
Position 1918: 0.0005192043000901064
Position 294: 0.0004920426333202777
Position 1541: 0.00041665849368924767
Position 1728: 0.00033810904422524495
Position 1493: 0.0002946547586579854
Position 2086: 0.00028414759813840225
Position 1084: 0.0002706658714915037
Position 483: 0.00024005284550728816
Position 1772: 0.000219251889467412
Position 719: 0.00019788283164408633
Position 1361: 0.00019568161082843586
Position 1327: 0.0001748211936616925
Position 288: 0.0001647079499980282
Position 1295: 0.00016234967048675647
Position 1923: 0.00014882628477081984
Position 490: 0.0001451414829983967
Position 518: 0.00013044494284706167
Position 1565: 0.00011635015732744156
Position 701: 0.00011148790585311715
Position 1189: 0.00010297951280606651
Position 1331: 9.122812519754259e-05
Position 1891: 9.041734780998243e-05
Position 1391: 7.804736220483007e-05
Position 1455: 7.530228918965854e-05
Position 568: 7.26754128509767e-05
Position 315: 5.7801170955255124e-05
Position 161: 5.429847837746938e-05
Position 296: 4.922140573610945e-05
Position 498: 4.6666588593643406e-05
Position 1822: 4.6050857732021884e-05
Position 320: 3.59293757539979e-05
Position 658: 3.485005315435378e-05
Position 326: 3.477404572922072e-05
Position 1525: 3.372233222810187e-05
Position 368: 2.994502477533201e-05
Position 1517: 2.9422771304396593e-05
Position 350: 2.9352513195097742e-05
Position 1910: 2.915179467699614e-05
Position 1355: 2.8295818363734176e-05
Position 449: 2.3521013496117625e-05
Position 554: 2.2921542269661174e-05
Position 891: 2.1985724893939685e-05
Position 1762: 2.060442466926858e-05
Position 1169: 1.670985312831624e-05
Position 1568: 1.6046490447430117e-05
Position 1128: 1.565560935488674e-05
Position 1065: 1.5073760956353539e-05
Position 377: 1.2196256581589207e-05
Position 1735: 1.1832343416443731e-05
Position 1318: 9.247808506452158e-06
Position 899: 9.233633161222514e-06
Position 1133: 7.126630799795997e-06
Position 301: 7.026682713283708e-06
Position 2024: 6.8514929652766166e-06
Position 186: 6.310862868521195e-06
Position 860: 4.7339617541635204e-06
Position 781: 4.41374749710871e-06
Position 721: 4.380868667843221e-06
Position 2095: 3.7605454623522147e-06
Position 798: 3.7359948213254915e-06
Position 2092: 3.4768917294602058e-06
Position 830: 3.2894953516258085e-06
Position 671: 3.1607589924929035e-06
Position 307: 2.725710423452896e-06
Position 371: 2.5136548449652346e-06
Position 838: 2.3353643452490013e-06
Position 592: 2.0737422810312882e-06
Position 392: 1.7721095188790253e-06
Position 1849: 1.1905346571977035e-06
Position 166: 1.0457962314349103e-06
Position 792: 9.660009143162104e-07
Position 1725: 9.021449600887461e-07
Position 599: 8.935673314078631e-07
Position 401: 7.716218661126419e-07
Position 2033: 6.183121121032645e-07
Position 425: 6.116041894740724e-07
Position 629: 5.65076081744799e-07
Position 2059: 5.239954885693104e-07
Position 207: 5.124654258438883e-07
Position 686: 4.6922658802265753e-07
Position 788: 4.3621797799334703e-07
Position 431: 3.6315650343993123e-07
Position 512: 1.4356562481154787e-07
Position 398: 9.072622658303178e-08
Position 457: 7.268879063188183e-08
Position 680: 2.6569035014665832e-08
Position 176: 2.6152603511422802e-08
Position 620: 2.608131946102628e-08
Position 406: 2.2633186906091844e-08
Position 775: 1.5411285329933606e-08
Position 531: 6.339761071904478e-09
Position 800: 5.878567214923004e-09
Position 522: 5.083466434541117e-09
Position 169: 2.812116745777799e-09
Position 209: 5.085085671482922e-11
Position 224: 4.867100957437205e-14
Position 220: 2.1744826172685508e-14
Position 410: 4.663694839191464e-15
