Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
top_k =  1000
Partition function (log Z): -2.0467941789097637

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9859998399028471
Position 513: 0.34139191837518196
Position 517: 0.31981547695375884
Position 700: 0.10536427666842563
Position 264: 0.00898275945775647
Position 728: 0.007127628251965919
Position 459: 0.004664807235208467
Position 693: 0.0039781435402828766
Position 114: 0.002268010218378481
Position 437: 0.0020771881617068512
Position 287: 0.0014313850851101694
Position 474: 0.001343693030272506
Position 246: 0.0007503012355740299
Position 302: 0.0006683951926663383
Position 644: 0.0006188536921208454
Position 521: 0.0003875954615328875
Position 620: 0.00032203790327200527
Position 489: 0.00016307954400714768
Position 15: 0.00012519275185540513
Position 594: 5.3442764356841426e-05
Position 163: 4.198568690034677e-05
Position 55: 2.9045312460857322e-05
Position 398: 1.0005727843789364e-05
Position 64: 8.178511378876699e-06
Position 570: 7.28361186039004e-06
Position 88: 5.183593783656324e-06
Position 199: 4.75769372126791e-06
Position 803: 3.8125847772085783e-06
Position 750: 3.0638986364211458e-06
Position 629: 2.7437252788327e-06
Position 327: 2.3118180640184894e-06
Position 82: 1.4006522294243233e-06
Position 748: 7.64688924164195e-07
Position 354: 2.223811282134716e-07
Position 143: 1.9231069214426562e-07
Position 73: 1.524863267825383e-07
Position 536: 1.4194504087762032e-07
Position 765: 3.6102897438280264e-08
Position 800: 2.2380075878786965e-08
Position 814: 1.3743380274804947e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.9903898943094819
Position 565: 0.5641603672474892
Position 789: 0.20626259761382362
Position 585: 0.018653118162021805
Position 594: 0.0026975456770057023
Position 577: 0.0022184811969900133
Position 163: 0.0007535175716971088
Position 513: 0.00041306484408316197
Position 398: 0.0003323130315475092
Position 644: 0.00025393165066025147
Position 372: 0.00022888156378761436
Position 448: 0.0002095582643146954
Position 309: 0.000207658754626042
Position 800: 0.00012970406773113487
Position 194: 9.892637679982539e-05
Position 524: 8.366577423496395e-05
Position 302: 7.691970551871477e-05
Position 205: 7.597339724973988e-05
Position 482: 6.820116251425906e-05
Position 428: 5.5984510084995914e-05
Position 861: 5.560373518512154e-05
Position 603: 4.8356684605294366e-05
Position 219: 3.9496038357772405e-05
Position 629: 3.104364596281445e-05
Position 113: 2.359154144343293e-05
Position 73: 1.8967439304169105e-05
Position 97: 1.5364492258674192e-05
Position 174: 1.3150317141136595e-05
Position 154: 1.2495152937694201e-05
Position 536: 1.1794396477179939e-05
Position 64: 6.901716117890225e-06
Position 226: 2.7170949231631734e-06
Position 489: 2.048629852876982e-06
Position 249: 1.181588845992397e-06
Position 135: 9.995263398750397e-07
Position 827: 5.816544888279587e-07
Position 143: 5.074603835557503e-07
Position 526: 7.652718399767042e-08
Position 124: 6.418379900311649e-08
Position 287: 2.8137502994482286e-08
Position 221: 2.378168661126136e-08
Position 700: 1.717752850888101e-08
Position 255: 8.84378856871773e-09
Position 521: 6.9869691595370434e-09
Position 260: 2.7789158003716405e-10
