Gene = fal
index = 1699
Annotated 5SS: [ 535 2649 2885 3656]
Annotated 3SS: [2481 2712 2954 3713]
SMsplice 5SS: [ 535 2649 2885 3656 3825]
SMsplice 3SS: [2481 2712 2954 3713 3886]
top_k =  1000
Partition function (log Z): 7.492884825474532

Sorted 5' Splice Sites (High to Low Probability):
Position 2885: 0.9984751712152603
Position 2649: 0.9967701146926
Position 535: 0.8509368159868966
Position 3656: 0.660892579554764
Position 1996: 0.6327175404279721
Position 3825: 0.5877763876166184
Position 2280: 0.38960010957492625
Position 2396: 0.2980404877787036
Position 3473: 0.1596171025978148
Position 3345: 0.099669837413207
Position 2267: 0.09104501962342751
Position 1733: 0.08862986693675955
Position 214: 0.05507158724101286
Position 2231: 0.05053276424184176
Position 3309: 0.02546451036365556
Position 1255: 0.02031353743102273
Position 3632: 0.01847484819442693
Position 1482: 0.018036500538021565
Position 3085: 0.01388373426849804
Position 917: 0.00926817139162732
Position 546: 0.007788952049384643
Position 2360: 0.007488333174373562
Position 3187: 0.006806216656843284
Position 2243: 0.0062063423996690575
Position 2299: 0.003791397691282212
Position 3582: 0.003745034579461073
Position 1200: 0.0033372919687806495
Position 3240: 0.003051276245755537
Position 2665: 0.003001094474354358
Position 251: 0.0026378784788754226
Position 796: 0.0019747566124777155
Position 394: 0.001895357520105807
Position 557: 0.0018791076329343931
Position 4188: 0.0016725752800535432
Position 209: 0.0016124453866812598
Position 3399: 0.0014875263952233713
Position 1384: 0.0013884143566419021
Position 976: 0.0013332604860165516
Position 882: 0.0013297323026954032
Position 2314: 0.001113566831429787
Position 3962: 0.0009995281375673442
Position 3806: 0.0009616722000043235
Position 1468: 0.000903712202570882
Position 695: 0.0007836004993247879
Position 2273: 0.0007755037259420901
Position 3393: 0.0006999781069956304
Position 3049: 0.0006988701050004729
Position 909: 0.0006883728085809972
Position 2294: 0.0006650013837956506
Position 3739: 0.0006549113530661822
Position 785: 0.0006442643827222466
Position 1671: 0.0005961768740373257
Position 642: 0.0005540692835499256
Position 2428: 0.0005398631976988817
Position 3911: 0.0005321342874990095
Position 670: 0.0005277972824325239
Position 3800: 0.0005165616883210372
Position 2237: 0.0004766668522755406
Position 1796: 0.0004404908880610584
Position 334: 0.0004207908726468128
Position 3271: 0.00039352530715524843
Position 766: 0.0003889331789462773
Position 564: 0.0003760081000189123
Position 1960: 0.0003347823306272195
Position 3591: 0.0003316104347195915
Position 28: 0.00032377753220138005
Position 381: 0.00032076286875149396
Position 826: 0.00031945957513144894
Position 3516: 0.0003016109227147385
Position 53: 0.00026640796572895907
Position 3037: 0.00024509390725617583
Position 1907: 0.00024284191872182633
Position 30: 0.0002417899053156618
Position 539: 0.00024029525241169283
Position 3384: 0.00022204301718211795
Position 2500: 0.00018703609847399064
Position 3409: 0.0001813762964654377
Position 3906: 0.00017504182204542592
Position 2860: 0.00016992270724856118
Position 895: 0.000140191017480439
Position 2864: 0.00013996755878763634
Position 3162: 0.0001376747550282719
Position 1270: 0.00013534765511778184
Position 712: 0.00013423070011538948
Position 4088: 0.0001283599951586661
Position 3430: 0.00011811626739063648
Position 2896: 0.00011373556108171715
Position 2386: 0.0001126739750260638
Position 1397: 0.00010963843919994078
Position 184: 0.00010926663636015545
Position 73: 0.00010652500265638741
Position 2106: 0.0001001539321897088
