Gene = Cand1
index = 1052
Annotated 5SS: [ 245  694 1042 1286 2705 3997 4206]
Annotated 3SS: [ 309  751 1122 1345 2768 4058 4269]
SMsplice 5SS: [ 245  694 1042 1286 1496 2705 3997 4206]
SMsplice 3SS: [ 309  751 1122 1345 2182 2768 4058 4269]
top_k =  1000
Partition function (log Z): 29.126643303180796

Sorted 5' Splice Sites (High to Low Probability):
Position 1042: 0.9997567341882848
Position 4206: 0.9979150818328523
Position 1286: 0.9951815456941533
Position 2705: 0.9940439603499165
Position 3997: 0.9938721222064737
Position 694: 0.9931608554953644
Position 245: 0.9768538977877409
Position 1496: 0.5641423105894358
Position 2096: 0.13575704639455238
Position 92: 0.06228439126875151
Position 1447: 0.05652924343901201
Position 1712: 0.05315878016216077
Position 3639: 0.029513400025501565
Position 2090: 0.029097476421249612
Position 2327: 0.020433159926411763
Position 3088: 0.015815252483874703
Position 249: 0.010144073697676463
Position 2439: 0.009438697773734394
Position 1458: 0.009147367468484179
Position 4383: 0.0068726985373710435
Position 4366: 0.006032391675585371
Position 3540: 0.005721066199019147
Position 3261: 0.0052018310347613774
Position 2128: 0.004607261271537715
Position 2709: 0.004104406227114944
Position 3987: 0.003766035872833321
Position 3049: 0.0032659587222388987
Position 1719: 0.003083395498943028
Position 1608: 0.0029796522947250336
Position 502: 0.0022823171842115933
Position 3747: 0.0020262991035086384
Position 1851: 0.001768968813336577
Position 3003: 0.001725021757406362
Position 2213: 0.0015547392586870686
Position 2928: 0.001546669018983755
Position 4210: 0.0014936240240467252
Position 3525: 0.0014933045684327783
Position 4001: 0.0014829632602515778
Position 104: 0.0013378755213450627
Position 1465: 0.0012482735558511165
Position 1619: 0.0012454351718780429
Position 2923: 0.0011287880180572156
Position 4462: 0.0010577469485474093
Position 2021: 0.000916833799244375
Position 3675: 0.000899547276243895
Position 4413: 0.0008923901146038098
Position 2288: 0.0008479321415214197
Position 517: 0.0006997743497332425
Position 2086: 0.0006303275659405595
Position 2887: 0.0006298279832371955
Position 1757: 0.0006158616959430952
Position 1624: 0.0005809480400443193
Position 2543: 0.0005502056268328342
Position 3278: 0.0005341751358387156
Position 3771: 0.0004980116142474371
Position 3324: 0.00042802091973940295
Position 1293: 0.00040888201398956483
Position 2024: 0.00040560747191708635
Position 4396: 0.00038827488749579325
Position 412: 0.0003508742253450267
Position 1732: 0.0003378566021724678
Position 15: 0.0003298157699551912
Position 3696: 0.0003267945642171841
Position 2969: 0.0003244132634647929
Position 415: 0.00032432781244280527
