Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  1000
Partition function (log Z): -0.3563281580408389

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.994709148542483
Position 680: 0.9534118210884267
Position 211: 0.6974621897285547
Position 197: 0.03702834187168087
Position 1221: 0.017265527108566076
Position 1431: 0.003758772313855036
Position 1428: 0.003429522139607134
Position 616: 0.002303229453608335
Position 215: 0.0017103577830169282
Position 1289: 0.0008040521953775495
Position 857: 0.0007679370688512515
Position 684: 0.000514150483446422
Position 1586: 0.00035374389763716805
Position 788: 0.00035290366141418775
Position 82: 0.0003306144062120754
Position 1358: 0.00026639659198362506
Position 1305: 0.0002217736796214362
Position 571: 0.00015121480555729876
Position 136: 0.0001400957262712585
Position 331: 0.000118854232417029
Position 1435: 9.339528402467315e-05
Position 286: 8.538288981742808e-05
Position 24: 7.305316305813361e-05
Position 1225: 5.8802838117577026e-05
Position 844: 4.545614949314114e-05
Position 141: 3.897189768248463e-05
Position 663: 3.475910715436115e-05
Position 455: 3.193148430177033e-05
Position 1235: 2.833570468223835e-05
Position 303: 2.5168148585725877e-05
Position 339: 2.290787490799353e-05
Position 353: 2.264007197680008e-05
Position 133: 2.0448335868454706e-05
Position 968: 1.7589437288251007e-05
Position 854: 1.6307035938853417e-05
Position 1101: 1.5662409078969728e-05
Position 892: 1.2710897921822078e-05
Position 1579: 1.24668694294329e-05
Position 1008: 1.2048058549541292e-05
Position 1320: 1.1251239099178207e-05
Position 1313: 1.0105723802640405e-05
Position 1204: 7.802963502472633e-06
Position 1095: 7.5424461407353754e-06
Position 297: 7.298170713833349e-06
Position 365: 6.269158735047245e-06
Position 793: 6.218659206524721e-06
Position 1444: 5.3415134056181975e-06
Position 1133: 4.165612454343157e-06
Position 126: 3.3715272669685837e-06
Position 517: 3.293549334296448e-06
Position 1546: 2.9720836203164856e-06
Position 646: 2.7902492022315055e-06
Position 385: 2.7482468989245935e-06
Position 27: 2.574346284335833e-06
Position 920: 2.043651493157213e-06
Position 206: 1.5727250792478361e-06
Position 1113: 1.5383138792704616e-06
Position 1107: 1.4742152157546888e-06
Position 764: 1.29194479190844e-06
Position 1119: 1.0321943963425239e-06
Position 1556: 6.405245652003684e-07
Position 909: 5.477600043871879e-07
Position 110: 4.774017853901677e-07
Position 1542: 4.6111804994647944e-07
Position 562: 2.130861151084711e-07
Position 584: 3.4184167443072725e-08
Position 743: 2.090520303526585e-08
Position 740: 1.605993106254661e-08
Position 755: 1.0951303746936232e-08
Position 758: 6.560648461796361e-09
Position 1125: 5.816133566418725e-09
Position 1089: 5.229498762068571e-09
Position 930: 3.5471386053881603e-10
Position 534: 1.7776627588739864e-10
Position 1370: 9.037949331387794e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9978997488172212
Position 740: 0.9387407390160452
Position 267: 0.45400026948099587
Position 338: 0.21771219026277752
Position 303: 0.04674050029581693
Position 1382: 0.020023216014500276
Position 1507: 0.015346215492596474
Position 359: 0.0053666004114340015
Position 1089: 0.00279002622393739
Position 286: 0.0027275302870259075
Position 283: 0.0023956282216308347
Position 988: 0.002149804893573737
Position 822: 0.001881359062805549
Position 309: 0.0015442549377221605
Position 248: 0.0010862311511847089
Position 562: 0.0008282196070083684
Position 959: 0.0006574240756732722
Position 1022: 0.0006555522982496611
Position 385: 0.0006138156952006376
Position 139: 0.00035320113722679653
Position 937: 0.0002785170592926229
Position 1637: 0.0002554762581848079
Position 868: 0.00023437783073673705
Position 793: 0.00017565447382205253
Position 635: 0.00016718300556441446
Position 1431: 0.0001650731565003081
Position 365: 0.0001520116582674083
Position 1289: 0.00014905193085802194
Position 516: 0.0001331029956119692
Position 1630: 0.00011380715117865955
Position 368: 0.0001027089678330167
Position 840: 8.587544386866494e-05
Position 684: 7.397558521373105e-05
Position 1201: 7.138647519433172e-05
Position 1305: 4.634963292439842e-05
Position 107: 2.8168805071798505e-05
Position 1389: 2.7213956445231448e-05
Position 507: 2.5034430938419404e-05
Position 787: 1.4912734673968399e-05
Position 1095: 1.4747204394551897e-05
Position 1615: 9.985664696591146e-06
Position 1107: 5.5806855231354235e-06
Position 1029: 2.8737439589289225e-06
Position 1395: 2.597104661452488e-06
Position 1634: 2.5824488007606585e-06
Position 847: 2.1172658598038414e-06
Position 77: 1.8569980271376682e-06
Position 1403: 1.4980848457872596e-06
Position 1602: 1.4977816528191112e-06
Position 69: 1.4431063616933887e-06
Position 483: 1.2602145145012008e-06
Position 1235: 9.647681754999613e-07
Position 1225: 5.667806869154783e-07
Position 193: 5.1083911358136e-07
Position 227: 4.4240841822263227e-07
Position 1113: 4.3680480536478147e-07
Position 82: 1.9547595031064645e-07
Position 162: 9.450161109793773e-08
Position 201: 7.496454115898953e-08
Position 110: 7.320302755463509e-08
Position 1119: 9.375076264810563e-09
Position 1125: 4.7165314038449916e-09
Position 178: 3.127406470218633e-11
Position 170: 2.515315600347465e-12
Position 180: 8.245156572980856e-14
