Gene = Ripalpha
index = 1428
Annotated 5SS: [106 559 684]
Annotated 3SS: [307 617 737]
SMsplice 5SS: [106 559 684]
SMsplice 3SS: [307 617 737]
top_k =  1000
Partition function (log Z): -0.9165907767794426

Sorted 5' Splice Sites (High to Low Probability):
Position 559: 0.9901586801339758
Position 684: 0.9557745184103772
Position 106: 0.514292390641483
Position 194: 0.16757162120154137
Position 242: 0.03807273264574304
Position 68: 0.02033627133990587
Position 842: 0.018176058394622042
Position 906: 0.013931013068685657
Position 239: 0.013236202849877487
Position 706: 0.007780403009051733
Position 381: 0.005572939853630315
Position 952: 0.004851916084190938
Position 189: 0.002388101186829734
Position 1143: 0.0010215194310584461
Position 165: 0.000984977429503288
Position 1186: 0.0009073866060185124
Position 229: 0.0007600178519179746
Position 1159: 0.0005490173085680336
Position 918: 0.0005144865490911995
Position 187: 0.000506405041474561
Position 1328: 0.00037005010879511026
Position 110: 0.00035260647300412696
Position 1413: 0.00028993253436472257
Position 114: 0.00024617729105604633
Position 123: 0.0002012572587044431
Position 11: 0.00018181190410132802
Position 132: 0.00014767012612463697
Position 1109: 0.00013885035143859002
Position 1309: 0.0001141214665331799
Position 772: 8.983289079714799e-05
Position 1470: 8.765047896525876e-05
Position 150: 8.30694740454741e-05
Position 839: 7.16586431884337e-05
Position 573: 6.060638951771975e-05
Position 71: 5.532801379515674e-05
Position 130: 3.7170068661991116e-05
Position 295: 3.369344852634175e-05
Position 174: 1.5640014757950486e-05
Position 1380: 1.534932142562073e-05
Position 73: 1.4516640112590798e-05
Position 1204: 1.3935451354670454e-05
Position 585: 1.2623698239194207e-05
Position 1196: 1.1946199809579066e-05
Position 922: 1.091638093736418e-05
Position 968: 6.960327535999205e-06
Position 1137: 6.4732406934803365e-06
Position 1146: 6.369985643232175e-06
Position 571: 4.943405785713993e-06
Position 1052: 4.58027208538749e-06
Position 1243: 7.563995424722289e-07
Position 1228: 6.738632449447613e-07
Position 499: 3.009449691757471e-07
Position 457: 7.044516058524879e-08
Position 614: 1.805305330678587e-08
Position 472: 5.339891519480343e-09
Position 831: 4.14931851206209e-09
Position 789: 6.811215376845897e-10
Position 970: 5.428787357659445e-10
Position 737: 2.263896362776626e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 617: 0.9830961224724738
Position 737: 0.9448920580447394
Position 307: 0.6757955036058958
Position 328: 0.047062284169979006
Position 452: 0.029052499464340093
Position 748: 0.015872259334092673
Position 1478: 0.00975128362357902
Position 772: 0.0073828206884118145
Position 381: 0.006870895357034425
Position 1142: 0.0046779577417698694
Position 1526: 0.004594623941238257
Position 1007: 0.004258067804587758
Position 951: 0.0037185121663532547
Position 1449: 0.0033711873937841744
Position 968: 0.0032281927169996636
Position 1239: 0.0021883141294264754
Position 130: 0.0021863860165731415
Position 150: 0.0016595975024046791
Position 918: 0.0014731084365725582
Position 926: 0.0013683878626766638
Position 393: 0.0011091365964515834
Position 1243: 0.00106130316983975
Position 1039: 0.0005992629369561399
Position 1328: 0.0005889686422404511
Position 1369: 0.0005421079828568782
Position 1013: 0.0004253352142788317
Position 639: 0.0004091916836725649
Position 652: 0.0003911365236566323
Position 483: 0.00036260574638925634
Position 140: 0.0002590108035384683
Position 1458: 0.00023945870392043392
Position 1061: 0.0002210063462351189
Position 1265: 0.00021684267506224633
Position 1052: 0.00021675915154616927
Position 1390: 0.00014911178133036532
Position 1277: 0.00010952821167152074
Position 629: 0.00010474574784030992
Position 1544: 9.77408826977667e-05
Position 687: 9.47681875924263e-05
Position 1252: 6.0988504733534014e-05
Position 1117: 5.43774941566471e-05
Position 902: 4.1479353788432544e-05
Position 882: 3.320400431333447e-05
Position 1289: 3.136717963441842e-05
Position 499: 2.4576196477325694e-05
Position 1280: 2.2617185021929087e-05
Position 896: 2.1240600352091194e-05
Position 105: 1.4378924039216524e-05
Position 706: 1.3865021541585649e-05
Position 1297: 7.852542195083212e-06
Position 780: 6.626001122787542e-06
Position 1532: 5.59975276235189e-06
Position 1228: 4.929353944031223e-06
Position 194: 4.918831704826208e-06
Position 1406: 4.912088791733387e-06
Position 1182: 4.005312396814893e-06
Position 1214: 3.986575051104378e-06
Position 496: 3.3630738739501177e-06
Position 171: 2.3009165603741215e-06
Position 905: 1.5973438818446028e-06
Position 60: 1.4056779929950263e-06
Position 785: 1.1603101812214416e-06
Position 239: 9.841149865321766e-07
Position 1557: 9.558105371763015e-07
Position 509: 8.596373438944425e-07
Position 585: 5.21233570220735e-07
Position 513: 5.108531734256851e-07
Position 672: 4.749928005130864e-07
Position 536: 4.3687545806382506e-07
Position 234: 3.086103354346082e-07
Position 477: 1.839022510067909e-07
Position 110: 1.0041803512037185e-07
Position 710: 2.1954139837633178e-08
Position 68: 1.4677314497588612e-08
Position 782: 1.0533410667811144e-08
Position 860: 3.811739523311957e-09
Position 815: 2.6953639184269045e-09
Position 564: 2.669597718400629e-09
Position 800: 1.821798237282056e-09
Position 556: 4.3450195871480265e-10
Position 571: 3.725260644879583e-10
Position 794: 9.521153546894247e-11
Position 776: 9.160697077454903e-11
Position 839: 2.843559325526108e-11
