Gene = DCX-EMAP
index = 1122
Annotated 5SS: [ 1176 28115 35323 35992 36202 36491 36648 37111 37613 38099]
Annotated 3SS: [27919 35205 35602 36051 36318 36551 36711 37194 37701 38219]
SMsplice 5SS: [ 1176 35323 36202 36491 36648 37111 37613 38099]
SMsplice 3SS: [35205 35602 36318 36551 36711 37194 37701 38219]
top_k =  1000
Partition function (log Z): 30.49698185544748

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 0.999981452820133
Position 36202: 0.9994088482566584
Position 37111: 0.9992729755364963
Position 36648: 0.9978319936336038
Position 38099: 0.9976778432188218
Position 36491: 0.997072152930911
Position 35323: 0.956831395199727
Position 37613: 0.915906201414263
Position 28115: 0.5170327555415508
Position 35992: 0.4923511388773163
Position 27425: 0.09088645929405419
Position 37573: 0.06018735205764508
Position 27421: 0.04161522398618331
Position 38840: 0.028329914930314084
Position 37634: 0.015384360683050036
Position 37857: 0.013221378439015592
Position 38585: 0.011288735211820132
Position 38506: 0.010897002174071517
Position 35996: 0.010278560257673954
Position 35346: 0.00974405544295841
Position 38409: 0.007377815913389833
Position 35815: 0.006713952950085993
Position 38477: 0.005061329783152978
Position 35894: 0.004926130536500761
Position 38350: 0.004392825551813456
Position 37640: 0.0036308739152287155
Position 37324: 0.0029182912595254757
Position 37626: 0.0026744765326048112
Position 38154: 0.0021635984923822735
Position 39002: 0.002139465070713768
Position 35765: 0.0018437397720587137
Position 38496: 0.001830911429658533
Position 8184: 0.0012422047283569691
Position 37785: 0.0010951114588485086
Position 38578: 0.0008068528610875029
Position 15721: 0.0007823265399513764
Position 37327: 0.000697260684200109
Position 867: 0.0006820852045202305
Position 38767: 0.0005190557398355917
Position 36464: 0.00047770037004008805
Position 37464: 0.00045894148008764974
Position 38731: 0.0004353396142723786
Position 38420: 0.0003655027067614242
Position 38352: 0.00035908213683318784
Position 36199: 0.00035002475832638643
Position 38323: 0.000262847020460658
Position 36447: 0.00026002625062073777
Position 38485: 0.00025120246674023447
Position 15236: 0.00023665313534993094
Position 36652: 0.00022675419944468575
Position 38805: 0.0001977280767905862
Position 37457: 0.00019719936047032523
Position 37848: 0.0001930883933237977
Position 36898: 0.00017238418694475293
Position 37350: 0.0001383521594536865
Position 36459: 0.00013071969924408747
Position 38455: 0.00012405844153743874
Position 38947: 0.00012388962936071954
Position 38298: 0.00010912341900490242
Position 38573: 9.899009268073513e-05
Position 674: 8.166047614657363e-05
Position 36206: 8.018359670289635e-05
Position 38263: 7.704108753246468e-05
Position 36245: 6.23388426810369e-05
Position 38103: 5.588388217121227e-05
Position 815: 5.0575772304474146e-05
