Gene = D
index = 1118
Annotated 5SS: [52]
Annotated 3SS: [127]
SMsplice 5SS: [52]
SMsplice 3SS: [127]
top_k =  1000
Partition function (log Z): -10.566934635710604

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.8252460899050182
Position 934: 0.3076006787312776
Position 2444: 0.07091026771555191
Position 984: 0.026468061427644216
Position 1153: 0.0249592107434848
Position 2589: 0.015663592367915636
Position 2375: 0.010703197892443526
Position 156: 0.009859820760951377
Position 896: 0.008764898363189248
Position 2522: 0.00854585540284772
Position 81: 0.007975182550651569
Position 215: 0.004702374201362194
Position 432: 0.0027417248855536713
Position 2457: 0.0025987665564915353
Position 2450: 0.0019049975322069732
Position 489: 0.0016523817681252373
Position 990: 0.0009514048889513373
Position 350: 0.0006284686351332016
Position 532: 0.0006093274405792819
Position 624: 0.0003878246337729129
Position 1225: 0.00036161199815051885
Position 900: 0.0003538672250519871
Position 978: 0.0003484950577785374
Position 1469: 0.00034419737819184896
Position 638: 0.00020979199910751517
Position 2093: 0.00018219777206764762
Position 1254: 0.0001712246596583762
Position 2487: 0.0001643949879320582
Position 8: 0.00013480113672653313
Position 228: 0.00011716939552699106
Position 381: 0.00010648937711105758
Position 998: 5.216850994704495e-05
Position 189: 4.7296058741081006e-05
Position 613: 3.3319081034805965e-05
Position 1057: 3.115271862368541e-05
Position 402: 2.3020603890802463e-05
Position 416: 1.394346815002352e-05
Position 2462: 6.036316060596023e-06
Position 352: 4.3472786067687565e-06
Position 1264: 3.7363948717514746e-06
Position 360: 3.375551801152365e-06
Position 1493: 2.5417943285164133e-06
Position 1361: 2.2109358695496345e-06
Position 579: 2.1855437885518743e-06
Position 681: 1.4204905221909053e-06
Position 139: 1.0001326198857923e-06
Position 56: 7.780418241640811e-07
Position 615: 4.7568237241553987e-07
Position 715: 3.0145381080305674e-07
Position 537: 2.2342044830202234e-07
Position 1194: 1.745826061421888e-07
Position 29: 1.6125978476462785e-07
Position 553: 9.282178634366358e-08
Position 259: 8.271525933303346e-08
Position 535: 5.010481692731978e-08
Position 894: 1.1888353754171888e-08
Position 592: 7.609753353198441e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 127: 0.5981140791549419
Position 1329: 0.1370933056911989
Position 2558: 0.12417856604224581
Position 228: 0.08679901344595913
Position 2515: 0.06198343902491608
Position 132: 0.05936140354873673
Position 1221: 0.05196839343879643
Position 2157: 0.0432549269922697
Position 2579: 0.037964370206758705
Position 1571: 0.01781550404534033
Position 2717: 0.017349225831159085
Position 2652: 0.01637424832825826
Position 707: 0.01079817898201674
Position 1276: 0.010577228519549167
Position 983: 0.007264297012791058
Position 1592: 0.00690850414125193
Position 567: 0.0068287151676048735
Position 1749: 0.004877556058392219
Position 2161: 0.004352202884555633
Position 98: 0.00370175889994807
Position 414: 0.0032477385872294678
Position 1052: 0.002571281439741712
Position 442: 0.0015933669724878434
Position 1554: 0.0015803784137675846
Position 1424: 0.0013129043175216324
Position 402: 0.0012790912499306194
Position 2847: 0.0011980973858734753
Position 1205: 0.0011180350229537499
Position 832: 0.0010813858770954967
Position 1959: 0.001071239200525206
Position 2618: 0.0008705586111569982
Position 2240: 0.0007197183278827913
Position 2487: 0.0006862676165155528
Position 2767: 0.0006613974956745506
Position 1536: 0.0006002155633204448
Position 1508: 0.0005794889663830792
Position 1101: 0.0005139505477183981
Position 2091: 0.0004913220476847104
Position 738: 0.0004734649989429005
Position 1432: 0.0004375039640077192
Position 1087: 0.00042902056876521007
Position 2724: 0.0004253215134704528
Position 2785: 0.00038697463251200664
Position 481: 0.00036720329954043757
Position 215: 0.0003476486376380005
Position 439: 0.0002844780917881778
Position 1248: 0.00027898319155523035
Position 1893: 0.0002491006258964352
Position 1365: 0.0002448082948627752
Position 161: 0.00022927117102849065
Position 2921: 0.00022273956539705733
Position 1060: 0.0002180593711765917
Position 743: 0.0001908285778341538
Position 2853: 0.0001861377032233742
Position 134: 0.00016966296243344463
Position 1467: 0.00014896406681808177
Position 245: 0.00012711199478840352
Position 1098: 0.00011796627548481333
Position 1114: 0.00010838636024210224
Position 1245: 8.938196190209068e-05
Position 425: 8.415811111378174e-05
Position 2980: 8.351764500219805e-05
Position 1336: 8.194674096279837e-05
Position 3004: 8.088748295528555e-05
Position 2673: 8.001920388322921e-05
Position 1361: 7.676934189525108e-05
Position 2792: 7.023162480162195e-05
Position 1194: 6.32063943044919e-05
Position 1371: 5.8238077387039235e-05
Position 252: 5.521682174155564e-05
Position 1401: 5.43684175658519e-05
Position 1264: 4.986315332130695e-05
Position 1971: 3.9986153095457616e-05
Position 1803: 3.554383257451583e-05
Position 1779: 2.7586940910136727e-05
Position 381: 2.6425940502580704e-05
Position 93: 2.017913166135792e-05
Position 281: 1.913543030507659e-05
Position 996: 1.854787921558546e-05
Position 2196: 1.7603686433914376e-05
Position 1254: 1.627130715029439e-05
Position 933: 1.439424898245303e-05
Position 1225: 1.3254623864513154e-05
