Gene = Rh50
index = 1421
Annotated 5SS: [ 495 2473 3252 3589 7280 8147 8322 8494]
Annotated 3SS: [2303 3085 3326 7088 7951 8227 8390 8732]
SMsplice 5SS: [ 495 2473 3252 3589 7280 8147 8322]
SMsplice 3SS: [2303 3085 3326 7088 7951 8227 8390]
top_k =  1000
Partition function (log Z): 16.400000151768374

Sorted 5' Splice Sites (High to Low Probability):
Position 3252: 0.9918678864851616
Position 8322: 0.9808794834958668
Position 3589: 0.9779933541473451
Position 2473: 0.9541677542839119
Position 495: 0.8893463645029723
Position 7280: 0.8212613636446248
Position 8147: 0.6337394590402997
Position 3859: 0.36894541866813935
Position 8178: 0.3458817820280859
Position 4383: 0.0920295644321579
Position 583: 0.07093830439518814
Position 2111: 0.07040692912105118
Position 1622: 0.06792992107439938
Position 8494: 0.058171288555634214
Position 7594: 0.04555549513966683
Position 1344: 0.027248362927642624
Position 4352: 0.021576572159069156
Position 207: 0.02088343122483624
Position 1851: 0.020850838243789985
Position 8501: 0.02079762208077055
Position 8772: 0.014420374194724578
Position 1022: 0.012739354641460981
Position 2091: 0.012694511971227966
Position 2716: 0.010792700594744608
Position 8307: 0.009432753731704147
Position 8310: 0.008816457403420748
Position 2101: 0.008616394607819359
Position 8111: 0.00852666404960357
Position 8510: 0.007097234200961412
Position 1581: 0.006302306684612343
Position 2995: 0.005644375869617043
Position 6553: 0.005572235132552461
Position 1673: 0.005541866964884759
Position 4151: 0.005380252938304045
Position 1936: 0.005334120724734078
Position 3256: 0.004769864134858205
Position 6784: 0.004365733876210077
Position 2728: 0.003936506770608281
Position 2748: 0.0035839086349655816
Position 8542: 0.003203305817837989
Position 3491: 0.0028652449482310495
Position 2199: 0.002799668030926104
Position 2759: 0.0026639585514378525
Position 8525: 0.002619106726794323
Position 83: 0.0025539476369909457
Position 8151: 0.0024036420067823755
Position 1301: 0.0021608787170463925
Position 3993: 0.002050002682142419
Position 2142: 0.002032644655999961
Position 37: 0.0019528082104085694
Position 3863: 0.0017075167120447954
Position 1049: 0.0014662210843421274
Position 1587: 0.0014610565747640932
Position 43: 0.0014343099777274903
Position 8499: 0.0014173681734118999
Position 410: 0.0012811530634189317
Position 9281: 0.0011381571767057092
Position 4145: 0.0011057723443192952
Position 6944: 0.0010879522998604348
Position 662: 0.0010791346258033432
Position 7759: 0.0009020969660460575
Position 1168: 0.0008223315695430587
Position 8344: 0.0008095094791998707
Position 2321: 0.0007870665574637966
Position 3250: 0.0007584926672531252
Position 2934: 0.0007563885429536142
Position 7748: 0.0007557755819586115
Position 499: 0.0007285764849695453
Position 1613: 0.0006306716064857458
Position 3261: 0.0005582631870960956
Position 2085: 0.0005157813221661335
Position 3204: 0.0004650399144723993
Position 3769: 0.0003762954120326895
Position 1203: 0.00035792309433533914
Position 75: 0.000324034453272904
Position 8658: 0.0002766636687721513
Position 984: 0.0002484258258295675
Position 8504: 0.00023905685206478317
Position 8549: 0.00019922881299527082
Position 1068: 0.0001928949120851351
Position 85: 0.0001710499474581816
Position 1485: 0.00016069960352606868
Position 7602: 0.00014654233221381065
Position 3227: 0.00012341802184319243
Position 8609: 0.00012093929038113704
Position 3245: 0.00011980044914292728
Position 225: 0.0001174489405814093
Position 783: 0.00010193447283501675
Position 1074: 8.87492758617432e-05
Position 598: 8.708999963457849e-05
Position 846: 8.48677563071358e-05
Position 8869: 7.985106330279542e-05
Position 8465: 7.332462096583153e-05
Position 4132: 7.294381696056377e-05
Position 997: 6.949896883913601e-05
Position 230: 6.895713830420591e-05
Position 1447: 6.420172819126055e-05
Position 2368: 6.295238624505351e-05
Position 1435: 5.460298653512828e-05
Position 3259: 5.2304843650968895e-05
Position 3741: 5.196258730040194e-05
Position 1339: 4.907967925381381e-05
Position 8898: 4.558917887296938e-05
Position 2414: 4.4252406404570894e-05
Position 2698: 3.841537943530895e-05
Position 8182: 3.4088313995186876e-05
Position 4221: 3.2999859861355485e-05
Position 6: 3.2905759398946616e-05
Position 97: 3.184407613868532e-05
Position 4094: 3.136374194799649e-05
Position 3997: 2.818757080727348e-05
Position 760: 2.5168190499136224e-05
Position 4212: 2.4966905926188034e-05
Position 3497: 2.460163794563487e-05
Position 3910: 2.3386766833838645e-05
Position 3191: 2.3017800123012584e-05
Position 3897: 2.1801348103969027e-05
Position 8184: 2.1498688760406005e-05
Position 406: 1.946672031941145e-05
Position 8066: 1.94634919843334e-05
Position 3905: 1.8118101390714196e-05
Position 479: 1.5165257521827826e-05
Position 995: 1.4757838521376892e-05
Position 1546: 1.4591772929422392e-05
Position 842: 1.3195982156022816e-05
Position 1535: 1.2101358799053737e-05
Position 3243: 1.1944491883089847e-05
Position 1714: 1.1261910937046192e-05
Position 3869: 9.976801078328364e-06
Position 646: 9.822276466936394e-06
Position 4116: 9.21714829775347e-06
Position 4321: 9.104168814365117e-06
Position 1462: 8.562239812626917e-06
Position 9704: 7.2583909627120395e-06
Position 392: 6.768404540888002e-06
Position 4579: 6.381890138927417e-06
Position 4041: 5.678417074558007e-06
Position 3781: 5.678161904364911e-06
Position 1967: 5.181183333726612e-06
Position 3598: 4.6069343482283325e-06
Position 3754: 4.537008696013885e-06
Position 374: 4.350446963724588e-06
Position 175: 3.6148221495963013e-06
Position 3455: 3.4349605773771336e-06
Position 6008: 3.27158979875411e-06
Position 169: 3.1007188236926104e-06
Position 3623: 3.0651734223802465e-06
Position 3195: 2.350233274157186e-06
Position 3495: 1.5988579959580712e-06
Position 608: 1.5918074544893992e-06
Position 4176: 1.5371772972372023e-06
Position 185: 1.4780233227980897e-06
Position 17: 1.1340406909640972e-06
Position 3593: 1.1142005127654184e-06
Position 1341: 7.472279850909379e-07
Position 691: 7.312961944843456e-07
Position 359: 6.489871133756709e-07
Position 1147: 6.3188371377973e-07
Position 4801: 5.441698112584005e-07
Position 513: 5.004322469533062e-07
Position 286: 4.710249135907833e-07
Position 821: 4.027429802203609e-07
