Gene = l(2)34Fd
index = 1743
Annotated 5SS: [ 154  614 1389]
Annotated 3SS: [ 211  666 1448]
SMsplice 5SS: [ 154  614 1389]
SMsplice 3SS: [ 211  666 1448]
top_k =  1000
Partition function (log Z): 4.214298700728209

Sorted 5' Splice Sites (High to Low Probability):
Position 1389: 0.9984171421860182
Position 614: 0.9948326480936542
Position 154: 0.9422008233200829
Position 1550: 0.021703240603824014
Position 779: 0.015073872554507078
Position 772: 0.007560521865864496
Position 141: 0.00368529843763937
Position 982: 0.0034852055982733865
Position 2215: 0.0017860987208050609
Position 796: 0.0014967258638631394
Position 599: 0.0014338692545992169
Position 605: 0.0012088487599845807
Position 1594: 0.001078280919121576
Position 975: 0.0007862425748129642
Position 389: 0.0006467106218481346
Position 748: 0.0004912985875762299
Position 2005: 0.0003669651402704396
Position 340: 0.00034488538170504904
Position 1376: 0.0002827451626977455
Position 1971: 0.0002817147775387641
Position 145: 0.00026094537682978163
Position 2018: 0.00018553588007329068
Position 449: 0.00017649922416728686
Position 2254: 0.00015341585904696104
Position 1560: 0.00015079407923956827
Position 379: 0.00014387555903213164
Position 695: 0.00012761780654278984
Position 922: 0.0001204369390524776
Position 158: 8.845889039055152e-05
Position 1726: 8.592197704932909e-05
Position 46: 7.809816183700807e-05
Position 568: 7.188785232736617e-05
Position 391: 5.4668001709481934e-05
Position 1293: 5.0736744947806516e-05
Position 434: 4.750459550077442e-05
Position 592: 4.725966438011342e-05
Position 815: 3.901467296867346e-05
Position 1691: 3.865165227807993e-05
Position 626: 3.518766411524251e-05
Position 943: 3.4245870918292306e-05
Position 883: 3.400691420815032e-05
Position 1393: 3.23921482883034e-05
Position 1704: 2.4479656153302493e-05
Position 1734: 2.1162109322703784e-05
Position 1819: 2.057832719113896e-05
Position 1414: 1.917124704406908e-05
Position 374: 1.8851249406620742e-05
Position 2132: 1.7046257463414336e-05
Position 1308: 1.628228068191429e-05
Position 1605: 1.5936474064444934e-05
Position 90: 1.560255202130105e-05
Position 1077: 1.2339822597509464e-05
Position 1470: 8.737309467411439e-06
Position 94: 7.773019237955321e-06
Position 1171: 7.437243922899532e-06
Position 743: 6.931264812071478e-06
Position 1164: 5.8863078462398126e-06
Position 865: 5.670785054160709e-06
Position 1111: 5.632139295483831e-06
Position 1236: 5.167924924766015e-06
Position 1116: 4.785627729820447e-06
Position 1125: 4.49701895948439e-06
Position 112: 4.129601376727436e-06
Position 32: 3.891519971584096e-06
Position 830: 3.3419903167798175e-06
Position 873: 3.25058329075252e-06
Position 2245: 2.984847227707217e-06
Position 400: 2.8694909321957666e-06
Position 1666: 2.204880775005038e-06
Position 2221: 1.977719354624629e-06
Position 103: 1.760769614425285e-06
