Gene = Eaf6
index = 1146
Annotated 5SS: [214 495 749]
Annotated 3SS: [280 616 834]
SMsplice 5SS: [214 495 749]
SMsplice 3SS: [280 616 834]
top_k =  1000
Partition function (log Z): 6.064091177640017

Sorted 5' Splice Sites (High to Low Probability):
Position 749: 0.9983982848225937
Position 495: 0.9933692328917889
Position 214: 0.9668235515942188
Position 499: 0.001196509023831873
Position 1033: 0.0011463242425221044
Position 565: 0.0007274711145303549
Position 1070: 0.0004948634283063891
Position 533: 0.0003238150449335111
Position 563: 0.00010421522572795604
Position 463: 9.346506507747847e-05
Position 433: 5.7744726024883484e-05
Position 597: 3.619979409014054e-05
Position 967: 2.0695141109886916e-05
Position 1031: 6.944786107249375e-06
Position 83: 6.855292095873549e-06
Position 518: 6.05732389330642e-06
Position 898: 5.56345366136701e-06
Position 520: 4.9991366731972575e-06
Position 349: 2.897263435369519e-06
Position 177: 2.7932077463431446e-06
Position 531: 2.746433463215569e-06
Position 346: 1.8531587914424614e-06
Position 988: 1.5276776590795025e-06
Position 801: 1.0256458262726527e-06
Position 867: 9.923368771596285e-07
Position 91: 5.95579102303854e-07
Position 454: 5.554168507978364e-07
Position 10: 4.620287658696874e-07
Position 864: 4.323623142738574e-07
Position 123: 3.2605573087292263e-07
Position 40: 2.1867384225747342e-07
Position 18: 2.0369098331943734e-07
Position 879: 1.4912337342696962e-07
Position 881: 1.730950387226711e-08
Position 583: 1.1309891131629623e-08
Position 601: 9.387806402089032e-09
Position 265: 3.961930511523592e-09
Position 809: 8.674183193269003e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 834: 0.9991757435891102
Position 280: 0.9603333078435462
Position 616: 0.8596817021104908
Position 583: 0.10326310848323202
Position 561: 0.015510467802267518
Position 545: 0.010700452954347982
Position 655: 0.0037388631442775116
Position 307: 0.003096567904134082
Position 558: 0.0018386263611601776
Position 1125: 0.0012362456898715945
Position 687: 0.0010765531255509451
Position 397: 0.0006047125383281165
Position 672: 0.0005799536253833563
Position 662: 0.0004254659230494323
Position 1102: 0.0003872788864384467
Position 335: 0.0003826214984547476
Position 346: 0.00019518641845276666
Position 796: 0.00015143808344833336
Position 898: 0.00012642336204283171
Position 1111: 8.14440469644712e-05
Position 967: 6.957804740806584e-05
Position 862: 5.161201033455063e-05
Position 301: 4.0184728251182916e-05
Position 867: 2.4732931320769686e-05
Position 629: 2.4205081867654562e-05
Position 412: 1.444543807908325e-05
Position 801: 8.482135343519411e-06
Position 151: 5.589125359108229e-06
Position 621: 3.6802258212915203e-06
Position 857: 2.7053039103103683e-06
Position 421: 1.3168563613964595e-06
Position 597: 1.1983530736139813e-06
Position 944: 9.55840434119098e-07
Position 468: 8.077911732432455e-07
Position 463: 6.7477583071324e-07
Position 247: 4.516907174227098e-07
Position 95: 3.794425570280824e-07
Position 911: 3.504974543298364e-07
Position 1070: 3.083003284402543e-07
Position 726: 2.960425034703948e-07
Position 433: 2.695269737411846e-07
Position 439: 1.7803512930309648e-07
Position 975: 1.6643730719657438e-07
Position 376: 1.1168861252689807e-07
Position 739: 1.0142384192990689e-07
Position 783: 9.982638954411637e-08
Position 1052: 9.246133755256352e-08
Position 114: 9.189404851867446e-08
Position 322: 8.055960169125964e-08
Position 442: 3.9905089540934296e-08
Position 337: 3.783689229736638e-08
Position 747: 3.496554278067887e-08
Position 123: 3.218191940643295e-08
Position 980: 2.6271121511309585e-08
Position 83: 2.435879341348343e-08
Position 1001: 2.3501413409567504e-08
Position 946: 2.1987000601787703e-08
Position 137: 1.182781594160968e-08
Position 448: 1.075919718389071e-08
Position 368: 9.85611403770149e-09
Position 1004: 9.226987617736666e-09
Position 120: 6.379841540098695e-09
Position 985: 5.0087635162508104e-09
Position 499: 4.479736316683115e-09
Position 177: 1.121005585432527e-09
Position 52: 1.067818290182502e-09
Position 71: 1.033597877263325e-09
Position 728: 6.500571833601559e-10
Position 903: 1.6500312425067085e-10
Position 753: 1.5255662331086893e-10
Position 195: 1.1504367683389148e-10
Position 198: 5.904411410495568e-11
Position 201: 4.552848134115161e-11
Position 762: 1.1102469759305785e-14
Position 218: 2.718249049836799e-16
