Gene = ida
index = 1733
Annotated 5SS: [196]
Annotated 3SS: [257]
SMsplice 5SS: [196]
SMsplice 3SS: [257]
top_k =  1000
Partition function (log Z): -5.962572186169897

Sorted 5' Splice Sites (High to Low Probability):
Position 196: 0.7389103267696729
Position 186: 0.22588041800475442
Position 880: 0.17267416428221546
Position 915: 0.14854961788836574
Position 1326: 0.11620560306056021
Position 691: 0.03641704481478758
Position 546: 0.028761128161933297
Position 200: 0.024113706318101058
Position 799: 0.013357283064386596
Position 624: 0.010978926283631193
Position 1098: 0.009822498693877295
Position 1211: 0.009025499418092277
Position 376: 0.005833968027636668
Position 190: 0.0045196289157951805
Position 567: 0.002885274093640908
Position 558: 0.0028227648947189376
Position 1258: 0.002055769815443195
Position 768: 0.0017317472969622248
Position 1526: 0.0014866385082807202
Position 327: 0.0014095999315105218
Position 358: 0.00131959568921981
Position 576: 0.0008608108790888569
Position 1278: 0.0007851899919644233
Position 784: 0.0005265418173334324
Position 573: 0.0004886801690781119
Position 863: 0.0004853398235616253
Position 2398: 0.00048174192230292375
Position 667: 0.0004770199690880567
Position 1666: 0.0004351740695620992
Position 614: 0.00042883121308923963
Position 1076: 0.00042658252003570705
Position 1460: 0.0004265540148022969
Position 1341: 0.00042290514717851493
Position 1285: 0.00037890548583567114
Position 836: 0.0003149868773596021
Position 681: 0.0003076521188371863
Position 777: 0.0002968858746182241
Position 536: 0.00024594011471821767
Position 987: 0.00023711245296952245
Position 166: 0.00020920401118943032
Position 473: 0.00020030104074876076
Position 2282: 0.00019412280663099092
Position 1546: 0.00017853613482620673
Position 451: 0.0001765633232789132
Position 2217: 0.00017176348293650355
Position 854: 0.0001275580267111664
Position 648: 0.00010865643481820276
Position 1614: 9.533086036380416e-05
Position 440: 8.12762462778682e-05
Position 1117: 7.68165401673018e-05
Position 1260: 7.345813672385343e-05
Position 1455: 5.682942375349323e-05
Position 2271: 5.36258759916345e-05
Position 168: 5.3268662154286275e-05
Position 2050: 5.279391571206186e-05
Position 1086: 4.4292410243300385e-05
Position 1241: 3.702993839662371e-05
Position 552: 3.3087729110329786e-05
Position 1692: 2.702996973892576e-05
Position 1450: 2.419757120209952e-05
Position 592: 2.3521047693617438e-05
Position 446: 2.3326079391083514e-05
Position 1248: 1.4001636117206104e-05
Position 380: 1.0520539555774558e-05
Position 314: 9.199660301928485e-06
Position 1044: 8.781430120193602e-06
Position 2339: 1.748390945412645e-06
Position 271: 7.488749030371611e-07
Position 221: 4.1626058230275715e-07
Position 21: 2.4979461500529954e-07
Position 23: 3.417138359028646e-08
Position 84: 2.4814487791474636e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8322196805794682
Position 1024: 0.5220120647587837
Position 1382: 0.17808579601277075
Position 1882: 0.009226770994324805
Position 735: 0.007046138180924078
Position 854: 0.004461121237130613
Position 1515: 0.0015863227021988766
Position 1586: 0.001498445008397831
Position 335: 0.0013984667946013096
Position 302: 0.0013323739098218166
Position 1387: 0.001313878581897688
Position 1335: 0.0009577499457729123
Position 991: 0.0009026708336574628
Position 1036: 0.0008545981745264618
Position 830: 0.0007747643821459007
Position 2456: 0.0006821504385179077
Position 565: 0.0004049323516573545
Position 1657: 0.0003497749620555977
Position 1637: 0.0003265089205485669
Position 494: 0.00032223506211448595
Position 1298: 0.00027573776404397405
Position 908: 0.000260394173552229
Position 2332: 0.00025034736564242307
Position 344: 0.00023865978811422086
Position 1700: 0.00022595093630053904
Position 2270: 0.00021120772767996708
Position 488: 0.0001905711569910981
Position 2300: 0.00014379323560372189
Position 460: 0.00012636030609025625
Position 1831: 0.00011872488593732725
Position 673: 0.00010504298603781141
Position 1225: 0.00010009686532544693
Position 1169: 9.14961862166808e-05
Position 740: 8.880924978141659e-05
Position 761: 8.604023958787682e-05
Position 435: 8.586420817356632e-05
Position 764: 8.449380973694597e-05
Position 911: 7.606377012644561e-05
Position 795: 7.312831785426021e-05
Position 532: 7.307639897237477e-05
Position 2228: 4.9484621052735114e-05
Position 1256: 2.925569898583476e-05
Position 1519: 2.4289318718879597e-05
Position 648: 2.379466303751946e-05
Position 350: 1.886785642608325e-05
Position 1614: 1.699074000485363e-05
Position 1939: 1.5371651750639388e-05
Position 684: 1.4962893493597975e-05
Position 2060: 1.4289483891658518e-05
Position 620: 1.4062982134464236e-05
Position 1503: 1.1558972611469236e-05
Position 703: 1.1081318441331907e-05
Position 347: 1.0813964822135295e-05
Position 2063: 1.0434979188118438e-05
Position 1039: 8.269874421976553e-06
Position 376: 5.082209286326887e-06
Position 836: 4.823293359051989e-06
Position 1431: 4.268847144363039e-06
Position 536: 2.6263194397230007e-06
Position 707: 2.53501963909044e-06
Position 869: 4.6309308004842006e-07
Position 90: 2.5221293299098535e-07
Position 780: 2.4443412037367816e-07
Position 645: 2.1868376466702017e-07
Position 446: 1.0726060552326834e-08
Position 541: 7.437375455791109e-09
Position 124: 2.4156055942647237e-09
Position 582: 1.720198691230161e-09
Position 93: 1.19785863970582e-09
Position 602: 1.0704453595341846e-09
Position 356: 8.607540317453833e-10
Position 592: 7.823890222569859e-10
Position 654: 7.750320045840512e-10
Position 641: 1.1678238565108248e-10
Position 467: 1.0733885392461023e-10
Position 141: 4.611531170986837e-11
Position 186: 3.745438525098184e-11
Position 159: 7.272828938398752e-12
Position 368: 2.614745296970888e-13
Position 126: 2.1142837341121006e-13
Position 199: 8.540411919605356e-14
Position 358: 8.381972829652435e-15
Position 506: 3.1595686976651725e-21
