Gene = Irbp18
index = 1237
Annotated 5SS: [187]
Annotated 3SS: [313]
SMsplice 5SS: [187]
SMsplice 3SS: [313]
top_k =  1000
Partition function (log Z): -7.499933724280548

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9583944158366773
Position 360: 0.0882755924173499
Position 407: 0.029555357192285005
Position 465: 0.009583914798169352
Position 208: 0.0007797513223116039
Position 264: 0.00038913788145747023
Position 604: 0.00019485007327666741
Position 156: 0.00012251884540850246
Position 134: 9.604929326954927e-05
Position 423: 3.3426553959470256e-05
Position 199: 2.2380226458823938e-05
Position 191: 1.5995978620082582e-05
Position 237: 1.4455742115227155e-05
Position 59: 7.196682599474136e-06
Position 251: 5.694964886578438e-06
Position 618: 4.5251601563540185e-06
Position 22: 3.8451867773009845e-06
Position 616: 1.3503921501201352e-06
Position 243: 1.090034482907544e-06
Position 607: 9.981940165956066e-07
Position 4: 8.305740529435701e-07
Position 102: 6.200053822948683e-07
Position 317: 3.739104378246846e-07
Position 646: 1.9029672976311112e-07
Position 629: 1.8749337224802734e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 313: 0.8154244081674219
Position 463: 0.12132963076470205
Position 447: 0.07170544494111103
Position 629: 0.04513793416074444
Position 412: 0.014487024124391729
Position 499: 0.003883029218291328
Position 261: 0.003072730681627018
Position 406: 0.0027695477679097365
Position 591: 0.001883437022583988
Position 322: 0.0015628080546019755
Position 277: 0.0013455328479680037
Position 518: 0.0011241857485591747
Position 673: 0.0008665429666358123
Position 384: 0.0006642676702847544
Position 337: 0.000637515983557947
Position 689: 0.0005265801125740447
Position 418: 0.00030276329942989597
Position 264: 0.000302327955787274
Position 532: 0.0001452324340238033
Position 678: 0.00010267443987756688
Position 364: 0.00010180047212713003
Position 343: 6.311107707179114e-05
Position 502: 1.9813593368176457e-05
Position 699: 1.4383600381988883e-05
Position 388: 1.2715412849704411e-05
Position 215: 9.810472950757465e-06
Position 478: 4.152018516019796e-06
Position 469: 1.634116509596127e-06
Position 449: 8.557506649890535e-07
Position 59: 7.330429512098637e-07
Position 197: 5.209615228833408e-07
Position 134: 4.4710954952443917e-07
Position 224: 2.2667275552024646e-07
Position 90: 2.1580714251564068e-07
Position 110: 1.5956766889952366e-07
Position 199: 1.3318567827870768e-07
Position 548: 9.601411350653477e-08
Position 92: 8.895861761681472e-08
Position 119: 6.896901570598898e-08
Position 145: 6.375471334391304e-08
Position 72: 6.033197839944696e-08
Position 191: 2.0865278797170607e-08
Position 186: 1.5038033480293548e-08
Position 217: 1.6059278289722458e-09
Position 551: 9.381304604645026e-10
Position 154: 8.467292468877805e-10
Position 174: 3.291873786155976e-10
Position 170: 9.022400036962216e-11
Position 163: 5.6455328806156017e-11
Position 355: 2.414950878364818e-11
Position 219: 1.0036006342554428e-11
Position 423: 2.1458715970492776e-14
