Gene = pr
index = 1848
Annotated 5SS: [  75  501  688 1268]
Annotated 3SS: [ 138  607 1121 1329]
SMsplice 5SS: [  75  501  688 1268]
SMsplice 3SS: [ 138  607 1121 1329]
top_k =  1000
Partition function (log Z): 3.3021690531441172

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9877342070650798
Position 1268: 0.9551353631857039
Position 688: 0.9320128090513421
Position 501: 0.9085301828230856
Position 799: 0.03852875242749144
Position 1650: 0.029641372663970534
Position 326: 0.011009096427390013
Position 340: 0.009958252349840366
Position 1682: 0.006327261995265178
Position 42: 0.0050694667368783005
Position 1069: 0.004572169979981941
Position 415: 0.001900570744037122
Position 213: 0.001500354779191864
Position 1665: 0.0014081095495664074
Position 1411: 0.0013377610111687296
Position 294: 0.0012263427945200763
Position 1205: 0.0010019461266876468
Position 1071: 0.0008559267266028091
Position 936: 0.0005647020328018792
Position 1247: 0.0005096903191119259
Position 1001: 0.0003542018427023082
Position 963: 0.0003153920629120434
Position 815: 0.000313036344266836
Position 954: 0.0003104691900604168
Position 875: 0.0002748433044616303
Position 818: 0.0002605594505608275
Position 1686: 0.0002050859295874107
Position 227: 0.0001877724402712302
Position 1404: 0.0001277544551672172
Position 1458: 8.154524708181808e-05
Position 464: 6.302375200165365e-05
Position 650: 5.9222991271841544e-05
Position 740: 5.702325666792209e-05
Position 1629: 3.7885973435908e-05
Position 32: 3.4741577810732595e-05
Position 236: 3.3645708121715576e-05
Position 238: 2.438173259668842e-05
Position 262: 1.625858717396492e-05
Position 1166: 1.5623550165014456e-05
Position 1556: 1.4977434005013508e-05
Position 1300: 1.4510055187181766e-05
Position 1527: 1.3184158684690997e-05
Position 639: 1.125715361244711e-05
Position 956: 7.72867382409498e-06
Position 79: 4.287104578382298e-06
Position 250: 3.817285663595608e-06
Position 901: 3.0915330784837133e-06
Position 96: 2.9633970542233037e-06
Position 491: 2.330487838791415e-06
Position 1512: 1.0069176070772154e-06
Position 279: 9.033211474423317e-07
Position 3: 6.383202315446394e-07
Position 435: 5.703721183989931e-07
Position 720: 4.82501897323712e-07
Position 1133: 4.5117301741398563e-07
Position 1376: 3.931103377424807e-07
Position 568: 3.6499631964747155e-07
Position 19: 3.582306714814627e-07
Position 1121: 2.0248826103933743e-07
Position 448: 3.007598809229301e-08
Position 129: 4.05164221224664e-09
Position 1137: 3.4192056765765782e-09
Position 100: 2.4938797240362134e-09
Position 1091: 1.0438365531591982e-10
Position 607: 7.477849548069633e-11
Position 1109: 1.2293796751778616e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 138: 0.9820822953623888
Position 1121: 0.971251331962457
Position 1329: 0.9572102175331169
Position 607: 0.7868236082992148
Position 568: 0.11098133593052303
Position 1732: 0.038794400329731644
Position 395: 0.018092356380951313
Position 777: 0.01587313944837532
Position 1078: 0.002471978256142131
Position 1334: 0.002380300454053321
Position 875: 0.0022352539186890363
Position 1342: 0.001782295090743016
Position 479: 0.0017441649619359273
Position 1383: 0.0016469867242429868
Position 831: 0.0014847878714272034
Position 147: 0.0013418818408833454
Position 356: 0.0010802887466990168
Position 740: 0.0007431723321331542
Position 997: 0.0004857115618971992
Position 294: 0.0004553863888317927
Position 1008: 0.00043182392765184435
Position 160: 0.0004004882892620705
Position 401: 0.00038180131655651025
Position 1552: 0.0003528207631210996
Position 189: 0.00013062595606957138
Position 115: 0.0001242842036099798
Position 889: 0.00011877719759505549
Position 500: 7.717501430341188e-05
Position 815: 7.175613213077344e-05
Position 363: 6.374740230235397e-05
Position 1597: 5.2726229378383424e-05
Position 1445: 5.1085290358658344e-05
Position 1268: 4.503709754796962e-05
Position 1682: 4.3382886783064974e-05
Position 720: 3.4107570456744116e-05
Position 325: 3.275102706374297e-05
Position 1088: 3.192193751358617e-05
Position 850: 2.926770934140572e-05
Position 1028: 2.9054018168601494e-05
Position 407: 2.631380574111966e-05
Position 1389: 2.4993126784114856e-05
Position 441: 2.493307622828314e-05
Position 213: 1.9012209267692632e-05
Position 250: 1.82426048222215e-05
Position 415: 1.7644722839645787e-05
Position 1632: 1.2935958866748227e-05
Position 1621: 1.2886225222116051e-05
Position 199: 6.259643633675718e-06
Position 309: 6.204584283982892e-06
Position 1020: 5.116198797031221e-06
Position 1216: 4.639635707191959e-06
Position 619: 4.0357478581734545e-06
Position 629: 3.5855323178547283e-06
Position 1392: 3.5331514975898873e-06
Position 508: 3.140815709874523e-06
Position 1126: 3.0719456285233754e-06
Position 1434: 2.983538411530169e-06
Position 218: 2.8215540376391925e-06
Position 978: 2.618012447949562e-06
Position 322: 2.4701126976049747e-06
Position 1183: 1.986300518823922e-06
Position 220: 1.3331554230045661e-06
Position 65: 8.786315776691178e-07
Position 1243: 7.773951019688006e-07
Position 1279: 6.736677478343315e-07
Position 371: 4.893131862565087e-07
Position 1231: 4.6205942144545697e-07
Position 639: 4.4421049360072267e-07
Position 650: 4.054766219878177e-07
Position 1689: 3.688370333788454e-07
Position 687: 3.64320804480012e-07
Position 1602: 3.3060097064197647e-07
Position 1608: 3.158280286009093e-07
Position 1654: 2.665695327773186e-07
Position 227: 2.208401607869785e-07
Position 74: 3.854124055221451e-08
Position 96: 1.7609467542425552e-08
Position 234: 1.2150089978744382e-08
Position 168: 9.631571430514025e-09
Position 79: 3.0752569407757613e-10
Position 1283: 1.0930759998250758e-10
