Gene = Daxx
index = 1129
Annotated 5SS: [ 322 5183 5424]
Annotated 3SS: [1053 5242 5561]
SMsplice 5SS: [ 322 1471 5183 5424]
SMsplice 3SS: [1053 5081 5242 5561]
top_k =  1000
Partition function (log Z): -8.497519402791378

Sorted 5' Splice Sites (High to Low Probability):
Position 5183: 0.7602704213139678
Position 1471: 0.6337553931398224
Position 5424: 0.611364831312932
Position 322: 0.5586930552724341
Position 630: 0.2902031933884466
Position 4554: 0.10733353862665974
Position 5905: 0.06589104631042354
Position 1999: 0.056360375723579846
Position 1621: 0.04885326406845421
Position 4539: 0.04704767028938461
Position 1109: 0.04682486055083535
Position 1414: 0.04429323152780769
Position 353: 0.02942955207629355
Position 5408: 0.020918105756021044
Position 373: 0.01987452595930468
Position 678: 0.017533120635910948
Position 991: 0.01056626598738092
Position 361: 0.009616279809778505
Position 207: 0.008755745912435182
Position 961: 0.008437683209724461
Position 1171: 0.008011612453844786
Position 3256: 0.00735161223682413
Position 378: 0.0071390852191883895
Position 406: 0.006607261751520514
Position 357: 0.00602793885709044
Position 6287: 0.004874889087007255
Position 617: 0.004089277703616997
Position 359: 0.004062885785662298
Position 412: 0.003846709919689932
Position 60: 0.003652454898451252
Position 5163: 0.0030374324580740492
Position 806: 0.0030362874368209183
Position 349: 0.002658520070698525
Position 6251: 0.0026454011233757856
Position 223: 0.0021931737070327883
Position 228: 0.0019378315214198109
Position 3580: 0.0018048492415958517
Position 926: 0.001286989801211455
Position 1477: 0.0011880213078504667
Position 971: 0.0010577680537359351
Position 625: 0.000928464053137861
Position 5263: 0.0009180172161022085
Position 1219: 0.000889295157032938
Position 979: 0.0007066829023434647
Position 6574: 0.0006993074158467841
Position 683: 0.000630763152146841
Position 382: 0.000615717156894081
Position 949: 0.0005974088512704644
Position 989: 0.0005290001434784565
Position 1410: 0.0005283172755983088
Position 71: 0.0005229443049882518
Position 162: 0.0004554140027047696
Position 178: 0.00036768180875165773
Position 363: 0.00032859579211153787
Position 858: 0.00026824564373734107
Position 2140: 0.0002677730745162374
Position 152: 0.0002586302476420186
Position 1753: 0.0002460593819686359
Position 365: 0.000234337775525549
Position 3575: 0.000228837008996045
Position 658: 0.00021368855571507684
Position 1250: 0.0002085539180006097
Position 517: 0.00020539198849710543
Position 5351: 0.00019108211368653013
Position 1213: 0.00018971585870695813
Position 653: 0.00017745782148670573
Position 3508: 0.00017166934648854396
Position 5770: 0.00016396361105193528
Position 4765: 0.00016240678667045992
Position 6292: 0.00015945525435467737
Position 5635: 0.00015818785070728265
Position 1444: 0.00013918108287596948
Position 1282: 0.00010045405019055366
Position 20: 9.932228935052554e-05
Position 96: 9.013744242600613e-05
Position 1574: 8.445172083571552e-05
Position 185: 8.44067303044978e-05
Position 309: 7.729241010058551e-05
Position 410: 6.427545665494245e-05
Position 2111: 6.427096114422235e-05
Position 241: 6.013111598665755e-05
Position 2425: 5.993586293639391e-05
Position 4808: 5.385301491300389e-05
Position 1233: 5.2483642266312514e-05
Position 634: 4.464094503527674e-05
Position 887: 3.816669864902108e-05
Position 692: 3.789922923342482e-05
Position 651: 3.708435362958333e-05
Position 154: 3.53737808905207e-05
Position 283: 3.4665469001656936e-05
Position 810: 3.4129104632236264e-05
Position 596: 3.352237533781943e-05
Position 50: 2.5072762447004166e-05
Position 1118: 2.3458453482948314e-05
Position 134: 2.2180301813795884e-05
Position 279: 2.15186474859745e-05
Position 41: 2.1109146978595165e-05
Position 1180: 1.3856734784208527e-05
Position 1174: 1.0532219010047853e-05
Position 868: 9.838608167551104e-06
Position 1648: 8.435055458712571e-06
Position 428: 8.113158660484927e-06
Position 557: 8.078529244495843e-06
Position 485: 7.320824947969824e-06
Position 1625: 6.5295099493732894e-06
Position 1512: 6.2106398929183e-06
Position 418: 5.815243841050857e-06
Position 695: 5.701442374976061e-06
Position 2209: 4.360289812483907e-06
Position 273: 3.541512502270047e-06
Position 603: 3.051584772477205e-06
Position 292: 2.4130937455068585e-06
Position 139: 1.921888294611268e-06
