Gene = her
index = 1725
Annotated 5SS: [1065 1397]
Annotated 3SS: [1132 1457]
SMsplice 5SS: [1065 1397]
SMsplice 3SS: [1132 1457]
top_k =  1000
Partition function (log Z): -4.130547914873612

Sorted 5' Splice Sites (High to Low Probability):
Position 1065: 0.9773814407840368
Position 1397: 0.9596635757291566
Position 1864: 0.06952561534210155
Position 47: 0.06561243022467012
Position 1816: 0.0410073276714034
Position 552: 0.037486083880314144
Position 15: 0.03607946686065513
Position 1859: 0.03077970383572858
Position 337: 0.02333496097486892
Position 278: 0.016512345875947555
Position 1081: 0.013349349566707934
Position 1538: 0.012346023986034951
Position 930: 0.009461605559789251
Position 1802: 0.00543388998013254
Position 1857: 0.004097530207443696
Position 1757: 0.0032673712396003316
Position 1386: 0.0027681977419153707
Position 1553: 0.002522924502878659
Position 1822: 0.002202647293225901
Position 495: 0.0020778549165782543
Position 1780: 0.0012981327005376522
Position 120: 0.001203328650083466
Position 1682: 0.0011808564671123912
Position 1715: 0.0007161734881391933
Position 75: 0.0006833799547207065
Position 26: 0.00046433890027282337
Position 395: 0.0004513263318627147
Position 2244: 0.0004118957840414858
Position 807: 0.0004053689519749299
Position 1617: 0.0003098565883845902
Position 937: 0.0002777071315940326
Position 1840: 0.0002623949910053029
Position 1059: 0.00019285996605962276
Position 482: 0.00018904016107442362
Position 1935: 0.00016304394043272077
Position 1775: 0.00013823452993910518
Position 98: 0.00012765722060435443
Position 434: 0.00010359804157406938
Position 222: 0.00010279152510741954
Position 369: 9.944044534442372e-05
Position 2254: 9.63020055465838e-05
Position 488: 8.656393650451522e-05
Position 1604: 7.646016990166947e-05
Position 1084: 7.158799029017899e-05
Position 375: 5.352046151156734e-05
Position 2011: 5.1734161576337755e-05
Position 262: 5.085754932806493e-05
Position 326: 5.0468590603199856e-05
Position 205: 4.792766582597045e-05
Position 857: 4.601930928403272e-05
Position 523: 4.125459915276991e-05
Position 157: 3.987589899153181e-05
Position 2058: 3.224854267183587e-05
Position 2230: 2.999321508221178e-05
Position 2295: 2.7997957031050528e-05
Position 1888: 2.5470718547941293e-05
Position 177: 2.5027888991484867e-05
Position 958: 2.1033664211460376e-05
Position 2147: 2.016494102168504e-05
Position 416: 1.7820354159759698e-05
Position 1380: 1.6539320222118853e-05
Position 1087: 1.4081140036469011e-05
Position 174: 1.4058220765073851e-05
Position 316: 1.2922515132862405e-05
Position 347: 1.1653141914730713e-05
Position 1902: 1.0662990468943537e-05
Position 2266: 9.643691934453353e-06
Position 103: 9.230293150511754e-06
Position 584: 9.063706653093608e-06
Position 1843: 7.882363683099273e-06
Position 270: 7.825269838450406e-06
Position 1943: 6.643160142841887e-06
Position 874: 6.490402400552532e-06
Position 1340: 6.488467278953605e-06
Position 1162: 5.658298177221845e-06
Position 785: 5.595156639241549e-06
Position 414: 5.0613126877017915e-06
Position 185: 4.458040416656135e-06
Position 1997: 4.44617796053281e-06
Position 2009: 4.168654518846096e-06
Position 2248: 3.7161905871832254e-06
Position 122: 2.275686681366093e-06
Position 79: 2.14360083897191e-06
Position 1153: 1.9202028250029848e-06
Position 242: 1.2126580644706166e-06
Position 590: 1.0912119924146954e-06
Position 1168: 9.807392051823535e-07
Position 1461: 8.28337723838824e-07
Position 124: 2.891519993879743e-07
Position 1306: 2.8853287651449677e-07
Position 1125: 2.7077449133568304e-07
Position 1142: 2.3915216307132804e-07
Position 879: 1.779706919951638e-07
Position 1474: 1.0772942561570819e-07
Position 1267: 1.0340078162132605e-07
Position 1442: 2.0087125106460497e-08
Position 1313: 2.307766063457928e-09
Position 1276: 3.790998191381547e-10
Position 969: 5.0996068617299615e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1132: 0.9905492504962811
Position 1457: 0.9128750286579046
Position 1923: 0.1872420904381358
Position 610: 0.08612707075896389
Position 94: 0.052303503436712494
Position 268: 0.013155843590058953
Position 347: 0.009933286697005318
Position 986: 0.009489659002445631
Position 75: 0.007464945240689939
Position 205: 0.006131290842348403
Position 2318: 0.004968184087175486
Position 1610: 0.003960047401592011
Position 1667: 0.0038996548797974226
Position 1601: 0.0038572504534972476
Position 1742: 0.0027705143735083453
Position 1243: 0.0021383658082216573
Position 1518: 0.0019850223832623684
Position 1533: 0.00195328418581886
Position 147: 0.0018036739739781533
Position 1857: 0.0016303503484145238
Position 1474: 0.001432980135173574
Position 2005: 0.001424815205480742
Position 1589: 0.0014244019124227793
Position 1940: 0.0014194297807834447
Position 1482: 0.0010787442321377977
Position 98: 0.0010325397270000412
Position 2289: 0.000980983767841011
Position 1598: 0.0008964722927661705
Position 1877: 0.0008875602217317652
Position 924: 0.0008294313346884725
Position 1028: 0.0007122330122565691
Position 1703: 0.0006466049556642102
Position 1175: 0.0006087401744497752
Position 1935: 0.00058003348309614
