Gene = cype
index = 1662
Annotated 5SS: [ 60 450]
Annotated 3SS: [275 516]
SMsplice 5SS: [ 60 450]
SMsplice 3SS: [275 516]
top_k =  1000
Partition function (log Z): -3.137518996200577

Sorted 5' Splice Sites (High to Low Probability):
Position 450: 0.9858367466379286
Position 60: 0.798077617153939
Position 124: 0.06869816580958496
Position 76: 0.010908035751763972
Position 227: 0.004820934747608023
Position 385: 0.0015808732248166774
Position 603: 0.001272631909942719
Position 96: 0.000653255574112981
Position 64: 0.0005730261322107109
Position 186: 0.0005444485082028552
Position 677: 0.0004250211109256784
Position 25: 0.00036124120595639565
Position 647: 0.00035506830849798003
Position 105: 0.0002797533229084133
Position 409: 0.0002600517002857608
Position 606: 0.00018943925286231338
Position 636: 0.00018430543628994352
Position 196: 0.00013068132953313857
Position 382: 7.26644927349326e-05
Position 612: 3.897991734309465e-05
Position 625: 1.3016543758957082e-05
Position 18: 1.2725532801953193e-05
Position 143: 1.0643269154324689e-05
Position 361: 1.054096773469753e-05
Position 622: 9.552090062103743e-06
Position 586: 8.204458168555795e-06
Position 520: 7.996738903514407e-06
Position 564: 6.653878694074335e-06
Position 561: 3.6759211116048034e-06
Position 256: 6.692422636057132e-07
Position 571: 4.940828653872653e-07
Position 671: 2.0000807112536317e-07
Position 681: 1.1745975623799745e-07
Position 535: 1.0375852957574306e-07
Position 316: 1.1292729146897343e-08
Position 323: 2.9076230611985768e-09
Position 495: 3.995329146501539e-10
Position 480: 2.049659227961977e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 516: 0.9900719549202656
Position 275: 0.8777790528908952
Position 143: 0.0017623236119473705
Position 295: 0.0015974731008452096
Position 664: 0.0012976080438067354
Position 207: 0.0007484290005675383
Position 704: 0.0006847732936281732
Position 348: 0.0003514997961510014
Position 729: 0.00027097110056197585
Position 723: 0.0002071883444291739
Position 124: 0.00019676284981848992
Position 671: 8.826553769078396e-05
Position 186: 8.61741786152836e-05
Position 238: 8.05729650823691e-05
Position 102: 7.202269482133822e-05
Position 459: 2.0418113385735954e-05
Position 628: 1.2379415137697862e-05
Position 520: 1.1309048329958821e-05
Position 580: 1.7842327193605953e-06
Position 690: 1.4642342921906656e-06
Position 571: 8.253026134244225e-07
Position 423: 6.88304441058383e-07
Position 606: 6.057428357147715e-07
Position 426: 5.916913021599473e-07
Position 176: 5.405713360140659e-07
Position 535: 5.179334023719053e-07
Position 553: 4.412339530714248e-07
Position 603: 4.199842266106248e-07
Position 75: 3.358499680697357e-07
Position 634: 1.4695325263181476e-07
Position 612: 4.618089287425267e-09
Position 706: 4.476639325172862e-09
Position 218: 2.3763376718719474e-10
Position 64: 1.149055283113987e-11
Position 544: 8.057647988124632e-18
