Gene = sunn
index = 1902
Annotated 5SS: [ 111  615  798 1074 1346 1978 2399 2861 3311]
Annotated 3SS: [ 166  688  949 1130 1427 2034 2453 2939 3364]
SMsplice 5SS: [ 615  798 1074 1346 1978 2399 2861 3311]
SMsplice 3SS: [ 688  949 1130 1427 2034 2453 2939 3364]
top_k =  1000
Partition function (log Z): 17.45804341328979

Sorted 5' Splice Sites (High to Low Probability):
Position 2399: 0.995082734959337
Position 1346: 0.9945084160423998
Position 1074: 0.9829617504040182
Position 1978: 0.975251999108171
Position 615: 0.90602373403438
Position 2861: 0.8581610795991568
Position 798: 0.8080741412525407
Position 3311: 0.6689862828465226
Position 111: 0.22757259391420476
Position 2540: 0.1373082815849433
Position 1750: 0.13313233362965418
Position 2552: 0.06520866938192907
Position 3030: 0.02510014394955645
Position 1606: 0.02442420930517953
Position 2584: 0.023462452335823957
Position 115: 0.023045605410570606
Position 2137: 0.017928696192789948
Position 293: 0.014629358148710034
Position 802: 0.00955162802090736
Position 78: 0.009454771255886904
Position 469: 0.009242526045448115
Position 1650: 0.008799919992705083
Position 151: 0.007876203179813268
Position 2831: 0.006647391877004861
Position 1537: 0.006485693536223492
Position 1965: 0.0060648731288954535
Position 1068: 0.005893794505360498
Position 100: 0.005165888312909348
Position 627: 0.0043017731795822476
Position 1497: 0.0040039686646157835
Position 834: 0.003888656979380597
Position 1928: 0.003797737877322336
Position 1967: 0.0035797702126332312
Position 2308: 0.0032231557878197887
Position 3254: 0.0029151152837294126
Position 1000: 0.002578628603621271
Position 1325: 0.0025344017687580775
Position 2576: 0.0021899750993253026
Position 2727: 0.001941305532263877
Position 45: 0.001901326796057846
Position 55: 0.0015281701722114733
Position 613: 0.001391693847511049
Position 1754: 0.0013140587179983326
Position 3273: 0.0013129027382608282
Position 2708: 0.0010267595798611703
Position 431: 0.0008599449478667875
Position 3148: 0.0007753872983437526
Position 3076: 0.0007655493881670935
Position 96: 0.0006636307840412651
Position 3270: 0.0006205344734275977
Position 119: 0.0005387025742353878
Position 2141: 0.0004012841529231964
Position 3063: 0.00037455346054035305
Position 1086: 0.0003456535695555945
Position 377: 0.00033542900966692155
Position 781: 0.00032099933286926815
Position 3213: 0.0003182072345892627
Position 2119: 0.00029667112536934385
Position 2872: 0.00026005798608358746
Position 3500: 0.00024134897791314817
Position 2880: 0.0002385410066357739
Position 1071: 0.0002373649067574016
Position 530: 0.00021371010534953496
Position 2620: 0.00019198470982796306
Position 1957: 0.00017807027243622105
Position 1225: 0.0001755713327376043
Position 1050: 0.0001670303065271329
Position 2867: 0.00014827478516026522
Position 3315: 0.00014595253636920572
Position 2627: 0.0001348266616008925
Position 2403: 0.00013457914498785515
Position 250: 0.00013415545412341645
Position 3026: 0.00012418665162208388
Position 1501: 0.00011182463453221131
Position 239: 0.00010734376542289888
Position 29: 0.00010212409854778682
Position 1516: 8.125197343921552e-05
Position 3124: 7.307685855582015e-05
Position 145: 7.100872820777675e-05
Position 1991: 6.606228242755704e-05
Position 1784: 6.487441871969038e-05
Position 1692: 5.996383055468335e-05
Position 2908: 5.7813420156496234e-05
Position 156: 5.721269152513042e-05
Position 875: 5.63557173414348e-05
Position 3535: 5.1079143108841235e-05
Position 1849: 5.011025518709828e-05
