Gene = Fibp
index = 1166
Annotated 5SS: [ 218  351  737  908 1097 1248 1375 1622]
Annotated 3SS: [ 271  417  799  963 1146 1305 1435 1685]
SMsplice 5SS: [ 218  351  737  908 1097 1375 1622]
SMsplice 3SS: [ 271  417  799  963 1146 1435 1685]
top_k =  1000
Partition function (log Z): 19.521814139504375

Sorted 5' Splice Sites (High to Low Probability):
Position 1375: 0.9990218235196383
Position 1622: 0.9921574027739138
Position 908: 0.9765131343805742
Position 351: 0.976244551323535
Position 1097: 0.9690349548150462
Position 218: 0.8255103040163875
Position 737: 0.7344859194163967
Position 741: 0.23886959583397357
Position 1248: 0.02918600392662305
Position 713: 0.012460045734365108
Position 498: 0.010346428208121436
Position 1084: 0.009146108167235548
Position 1768: 0.008640943250426594
Position 1797: 0.004013025685022606
Position 1626: 0.0036830567681385294
Position 767: 0.0019286653991638781
Position 186: 0.0015986470947185196
Position 1752: 0.0015920908822545795
Position 198: 0.0011888229203591595
Position 1726: 0.00044862648827936446
Position 1566: 0.0003359581801090705
Position 252: 0.0003054642580058086
Position 772: 0.00025470100745011737
Position 1558: 0.00023074649885644375
Position 139: 0.00021220809523139484
Position 617: 0.00014929409221336654
Position 732: 0.00014145784973642418
Position 1041: 9.782795423229103e-05
Position 1516: 8.951214231599103e-05
Position 294: 8.048068850577425e-05
Position 87: 7.535901291797036e-05
Position 967: 5.432155643377704e-05
Position 25: 4.9885254223164636e-05
Position 1807: 4.14186450691529e-05
Position 141: 3.579028304931517e-05
Position 857: 3.485382544325315e-05
Position 699: 3.4257575908131345e-05
Position 355: 2.644738162492041e-05
Position 816: 2.3474377061948175e-05
Position 125: 2.1522736392707004e-05
Position 451: 2.0460776240428896e-05
Position 123: 1.182164130019077e-05
Position 1540: 8.951686729219214e-06
Position 1287: 7.089069116303744e-06
Position 717: 7.078482247121383e-06
Position 48: 6.238127763942192e-06
Position 1209: 6.199050695624799e-06
Position 1649: 5.7520610078624854e-06
Position 1021: 4.185120047906379e-06
Position 1811: 3.86717122244775e-06
Position 639: 3.1650863868238475e-06
Position 598: 2.9157780707654717e-06
Position 636: 2.6087854527637413e-06
Position 457: 2.35020753434152e-06
Position 925: 1.5783334326608612e-06
Position 387: 1.4960160688572746e-06
Position 1217: 1.4930026417944088e-06
Position 1161: 1.359911414731433e-06
Position 1048: 8.56083703090471e-07
Position 1634: 7.956903318746728e-07
Position 1188: 7.047853874068017e-07
Position 278: 6.476484413135894e-07
Position 431: 5.830730182070716e-07
Position 284: 5.096338283853889e-07
Position 1703: 3.8075542486543913e-07
Position 380: 2.967585976426091e-07
Position 429: 2.438720067558241e-07
Position 837: 1.7947915353078651e-07
Position 1599: 1.0005298323145318e-07
Position 1506: 8.620205830492854e-08
Position 1817: 7.139216754465903e-08
Position 999: 6.477623569069007e-08
Position 286: 4.039892141952408e-08
