Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  1000
Partition function (log Z): 16.295352387062525

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997118434665473
Position 690: 0.9979831962213949
Position 554: 0.9770921498707685
Position 158: 0.9129344741290177
Position 33: 0.4012239235463452
Position 532: 0.022425366781129778
Position 37: 0.0025202441745580985
Position 4: 0.0010570433994320828
Position 529: 0.00014540670745205513
Position 558: 0.00010193336482640131
Position 317: 5.752123736731015e-05
Position 643: 4.278772879459699e-05
Position 418: 2.958760520126585e-05
Position 813: 2.7666777457241993e-05
Position 649: 2.3939413757447855e-05
Position 151: 1.9207243391231676e-05
Position 105: 1.568451232793507e-05
Position 295: 1.530336484596514e-05
Position 850: 1.5182743247226219e-05
Position 714: 1.2341503994352304e-05
Position 887: 9.473163954633067e-06
Position 781: 8.54528329592933e-06
Position 145: 5.184877585153879e-06
Position 162: 3.984982838447961e-06
Position 430: 2.7145091585771886e-06
Position 92: 2.3373971330138455e-06
Position 404: 2.045382157943316e-06
Position 816: 1.7490998360494082e-06
Position 491: 1.6077745366687696e-06
Position 52: 1.2764666373111349e-06
Position 445: 8.729254334774914e-07
Position 478: 8.065947684403059e-07
Position 266: 3.859713963727945e-07
Position 818: 3.125913564607623e-07
Position 187: 5.531706088476699e-09
Position 204: 4.380215945135879e-09
Position 583: 2.650514143737538e-09
Position 226: 1.2163444822202812e-09
Position 256: 1.6151696371300297e-10
Position 905: 8.07588317634769e-12
Position 574: 1.7134140119527114e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.9997612493677878
Position 375: 0.9996554909085539
Position 745: 0.9980896607011861
Position 216: 0.9154264798050624
Position 92: 0.23759123244701555
Position 101: 0.1632068445915991
Position 71: 0.000535260842778335
Position 158: 0.000412261816293667
Position 135: 0.00031052004647963026
Position 226: 0.00015124252007151187
Position 391: 0.00013482035525002817
Position 262: 9.413150912394656e-05
Position 923: 3.896314991477226e-05
Position 934: 2.3579182265479594e-05
Position 850: 1.9946596271751523e-05
Position 781: 1.6903642600519543e-05
Position 253: 7.517011122273007e-06
Position 430: 6.212866138534811e-06
Position 944: 3.2461281274062406e-06
Position 714: 3.000923873843785e-06
Position 643: 2.810592804142948e-06
Position 688: 1.2101933295670518e-06
Position 418: 9.93885982011367e-07
Position 747: 6.041228074975006e-07
Position 168: 5.558794610889528e-07
Position 666: 3.0082577717302883e-07
Position 887: 1.494821575213985e-07
Position 949: 1.1914521060931525e-07
Position 275: 1.0792794734331237e-07
Position 281: 9.027620667818487e-08
Position 304: 8.95725034254448e-08
Position 786: 7.705077549740965e-08
Position 801: 7.420014733387779e-08
Position 529: 7.28426908089136e-08
Position 439: 7.058907094471333e-08
Position 718: 6.596860509902936e-08
Position 649: 3.5819231021411136e-08
Position 873: 3.321812393648702e-08
Position 334: 2.2098533397142718e-08
Position 656: 1.8805395760654928e-08
Position 810: 1.1638176410311458e-08
Position 813: 1.0258714191976711e-08
Position 478: 6.929511485594319e-09
Position 954: 4.647812742399604e-09
Position 312: 4.612040197673311e-09
Position 807: 4.60810844866893e-09
Position 826: 1.253693358980336e-09
Position 553: 1.1468700186304502e-09
Position 293: 9.43166679594083e-10
Position 816: 8.635867554634911e-10
Position 289: 4.855302649733947e-10
Position 670: 2.0445613758402125e-10
Position 563: 1.9168501039536893e-10
Position 162: 6.875862249454498e-11
Position 317: 9.84957493397595e-14
