Gene = Spn28Dc
index = 1515
Annotated 5SS: [779]
Annotated 3SS: [1649]
SMsplice 5SS: [779]
SMsplice 3SS: [1649]
top_k =  1000
Partition function (log Z): -9.848377770790442

Sorted 5' Splice Sites (High to Low Probability):
Position 779: 0.7886919173358472
Position 454: 0.09348900449304026
Position 720: 0.035353602551331596
Position 108: 0.023633596212644506
Position 947: 0.022621515157543248
Position 1580: 0.022572896947264786
Position 1346: 0.015531879840974441
Position 1177: 0.011729680659494623
Position 884: 0.010385506264531634
Position 1039: 0.010181749827829314
Position 1181: 0.009161251367203091
Position 1350: 0.008986892175908825
Position 1173: 0.008606390958527095
Position 1231: 0.006135014487395991
Position 960: 0.003516764100452155
Position 409: 0.002947974269086664
Position 252: 0.0016512512123821922
Position 923: 0.0015460343521329978
Position 1021: 0.0014815099535699413
Position 333: 0.0014639104391208266
Position 835: 0.0014329959482386207
Position 30: 0.0012022295833109548
Position 1114: 0.001024496407088642
Position 709: 0.0004704121308696347
Position 411: 0.0003654867475512848
Position 587: 0.0003204979545737725
Position 1502: 0.00025353054806171485
Position 967: 0.00025122850081026374
Position 2053: 0.00021232935841956487
Position 276: 0.00020527339194112624
Position 1946: 0.00018542060738258395
Position 1024: 0.0001843692126860659
Position 1338: 0.00018304470769132868
Position 846: 0.00017680182987004134
Position 1192: 0.00016414648982662723
Position 549: 0.00014011852813239763
Position 2173: 0.0001270738985330436
Position 39: 0.00012604945936702975
Position 1260: 8.871493371464768e-05
Position 117: 8.576345587296026e-05
Position 486: 6.0122693389861964e-05
Position 529: 5.585976545763318e-05
Position 124: 4.7938775355744996e-05
Position 375: 4.3503540714814794e-05
Position 2169: 3.3847192593070814e-05
Position 894: 3.2255655807294526e-05
Position 1185: 3.195032068923469e-05
Position 2025: 2.713342005780631e-05
Position 1943: 2.5295875751573765e-05
Position 308: 2.360487978697689e-05
Position 1308: 2.21580847659662e-05
Position 740: 1.9599811662511683e-05
Position 1010: 1.559284323569219e-05
Position 1244: 1.493705962264964e-05
Position 1100: 1.4851213372945325e-05
Position 2559: 8.787218354989027e-06
Position 523: 7.506737307669337e-06
Position 539: 2.376558909325808e-06
Position 142: 1.1899966161449877e-06
Position 112: 8.299645549095982e-07
Position 569: 4.326586592023517e-07
Position 542: 4.1552270821783695e-07
Position 48: 3.8584111370482795e-07
Position 1003: 3.837685417458936e-07
Position 119: 3.23259065403433e-07
Position 1008: 1.7538650756590236e-07
Position 41: 4.1671551215313264e-08
Position 43: 3.5440864266672073e-08
Position 1098: 2.3346510256098863e-08
Position 80: 1.3980942243954516e-08
Position 34: 5.335056314478848e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1649: 0.7076956823686529
Position 1456: 0.1415255566829386
Position 1513: 0.06387681312541763
Position 778: 0.028872525591611898
Position 1547: 0.025850497820190728
Position 1103: 0.022124558048841784
Position 521: 0.021135360679531496
Position 1686: 0.012331371296365544
Position 574: 0.009720574244321307
Position 1145: 0.007332725402975887
Position 1598: 0.006832453113862078
Position 1502: 0.005797930402622707
Position 1337: 0.004459905999411769
Position 1328: 0.0037968542345198264
Position 1836: 0.0022314827290281377
Position 1263: 0.0019891743610139633
Position 605: 0.0018873735076901316
Position 959: 0.001836663431470396
Position 1479: 0.0018162040426336534
Position 1059: 0.0017786202226652307
Position 529: 0.001354040768597885
