Gene = ghi
index = 1715
Annotated 5SS: [158 295]
Annotated 3SS: [248 421]
SMsplice 5SS: [158]
SMsplice 3SS: [248]
top_k =  1000
Partition function (log Z): -6.639200241040607

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.821461097212696
Position 295: 0.33804844756372904
Position 6: 0.1442719873227016
Position 21: 0.11462300340628878
Position 162: 0.017369241756171445
Position 275: 0.0038470742426953966
Position 10: 0.003299495395731059
Position 559: 0.003049604576100394
Position 267: 0.0018824646624032194
Position 598: 0.0010525317098529709
Position 339: 0.000956935917859762
Position 168: 0.0008437254714309132
Position 139: 0.0005827239272102982
Position 301: 0.0004793108720568073
Position 456: 0.00041374226864651626
Position 817: 0.000313076781864346
Position 602: 0.0002674446073270345
Position 311: 0.000262068001254847
Position 361: 0.0001976121389814421
Position 637: 0.00019456315305723738
Position 260: 0.0001829500905530805
Position 62: 0.00014910299805077996
Position 848: 0.00014897613981798766
Position 509: 0.000125533225000194
Position 436: 0.00012131823793383021
Position 132: 0.00012130839338461179
Position 395: 6.940009452001606e-05
Position 249: 6.647165465682562e-05
Position 643: 4.863847841587938e-05
Position 538: 3.908150397875468e-05
Position 831: 2.7149670177799036e-05
Position 411: 1.6159472095458662e-05
Position 142: 1.3694944806035259e-05
Position 299: 1.2270916210895276e-05
Position 834: 1.001827372333097e-05
Position 841: 7.426191435165972e-06
Position 119: 3.432274155807208e-06
Position 607: 2.2895399173235023e-06
Position 713: 1.9404629386795694e-06
Position 614: 1.1433637687616145e-06
Position 810: 1.0481042310707526e-06
Position 80: 8.204667646037298e-07
Position 448: 7.273341893880182e-07
Position 820: 5.968272158346955e-07
Position 78: 3.146681335906369e-07
Position 707: 1.0892306210867208e-07
Position 852: 9.704979524047164e-08
Position 66: 2.0903751788110278e-08
Position 424: 2.3857178246237044e-09
Position 600: 5.949352387492949e-10
Position 472: 3.1935825061436076e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 248: 0.718843951798758
Position 421: 0.4475359640629102
Position 78: 0.25945286524700145
Position 393: 0.00994564860902262
Position 632: 0.007886721560124585
Position 710: 0.0036381001153836107
Position 323: 0.0019280528590678303
Position 339: 0.0016062867304482238
Position 579: 0.0014367647590714735
Position 509: 0.0007267951163706501
Position 201: 0.0006073309699557277
Position 892: 0.000484567451750743
Position 902: 0.00011982052946748838
Position 544: 9.805843298267681e-05
Position 132: 9.027064507600718e-05
Position 716: 8.862797463217e-05
Position 590: 3.939873046356733e-05
Position 375: 2.082791277980551e-05
Position 558: 1.3607118356594413e-05
Position 820: 6.454990660527348e-06
Position 831: 5.4633299409570986e-06
Position 275: 3.7338214347457958e-06
Position 733: 2.8506853423204174e-06
Position 768: 2.333227747462694e-06
Position 799: 1.2320221950343442e-06
Position 257: 1.1948629929746018e-06
Position 828: 5.462782551792374e-07
Position 299: 4.713849749453349e-07
Position 852: 2.488086253296806e-07
Position 281: 2.905791129901512e-09
Position 538: 7.315903695866015e-10
Position 198: 5.301589136424207e-10
