Gene = flr
index = 1702
Annotated 5SS: [ 133  596 1306 1758 2878 3085]
Annotated 3SS: [ 473 1214 1493 1822 2933 3151]
SMsplice 5SS: [ 133  596 1306 1758 2878 3085]
SMsplice 3SS: [ 473 1214 1493 1822 2933 3151]
top_k =  1000
Partition function (log Z): 12.833004968957642

Sorted 5' Splice Sites (High to Low Probability):
Position 1758: 0.9997847497871973
Position 3085: 0.9906716196127278
Position 596: 0.9856869416005822
Position 1306: 0.9700867106273476
Position 133: 0.8113426975697302
Position 2878: 0.7166444992192338
Position 231: 0.1451058441532254
Position 941: 0.08094560933745422
Position 314: 0.03215019317213105
Position 3238: 0.021146291850586012
Position 890: 0.011508453036901374
Position 2444: 0.008767642684852079
Position 2848: 0.007119184866953769
Position 1999: 0.005855965544999793
Position 122: 0.005791564935678772
Position 2131: 0.0041235829851295515
Position 1005: 0.003607510958395038
Position 2871: 0.003579249482294937
Position 1053: 0.003013486481611001
Position 2524: 0.0027908437678626713
Position 1070: 0.002741977609878954
Position 1424: 0.002294033156702232
Position 262: 0.0020541059486378125
Position 424: 0.0017927962979796775
Position 1974: 0.0015678069000906142
Position 415: 0.0014949462360418061
Position 2649: 0.0013194942086545373
Position 190: 0.0011927246043823506
Position 665: 0.0010582692492511648
Position 707: 0.0008409954883134852
Position 3106: 0.0008115679846613426
Position 3089: 0.0007796279221068962
Position 197: 0.0007586518375348588
Position 1394: 0.0006087869110388205
Position 1303: 0.0004513703405688409
Position 2139: 0.0004056475708390065
Position 2817: 0.00038633766061751604
Position 911: 0.0003497389508007529
Position 2863: 0.0003464559071879084
Position 1966: 0.00034440296326096313
Position 703: 0.00033678525610649586
Position 3180: 0.00029593602872011207
Position 3047: 0.00029451859039858057
Position 1310: 0.00026309480947399945
Position 3103: 0.00025829338555999023
Position 1149: 0.00024574298370219145
Position 2521: 0.00023081547967740797
Position 913: 0.00022535903804672366
Position 884: 0.00022120849343778214
Position 2339: 0.000202280818673191
Position 65: 0.00017831660115853683
Position 2546: 0.00017563555564764085
Position 2851: 0.00016418821324606562
Position 1116: 0.00015862480039020616
Position 2272: 0.00013624511762241133
Position 2173: 0.00010622495882171353
Position 2487: 0.00010238015349833227
Position 1912: 0.00010234580299331825
Position 358: 9.415064778319588e-05
Position 1370: 9.111008531053694e-05
Position 1751: 8.704149916332096e-05
Position 964: 8.65711800376631e-05
Position 3554: 8.261074832339709e-05
Position 3347: 7.939490294344554e-05
Position 2356: 7.870690173320684e-05
Position 2824: 7.028026743837078e-05
Position 2761: 6.86188867566555e-05
