Gene = c-cup
index = 1640
Annotated 5SS: [142]
Annotated 3SS: [198]
SMsplice 5SS: [142]
SMsplice 3SS: [198]
top_k =  1000
Partition function (log Z): -6.173996643409508

Sorted 5' Splice Sites (High to Low Probability):
Position 142: 0.9945702974788423
Position 624: 0.01320389547936834
Position 257: 0.00973385193988982
Position 541: 0.004399123006599972
Position 146: 0.003085337960749354
Position 760: 0.003025646361991532
Position 669: 0.0018093490535544955
Position 832: 0.0005517743096921159
Position 527: 0.00035061373592691923
Position 709: 0.0003046788326180862
Position 768: 0.00026884664395609943
Position 273: 0.00025829823735967164
Position 780: 0.00022483999798918948
Position 666: 0.0001743142851211936
Position 631: 0.00013148438537561452
Position 296: 0.0001129244212502052
Position 385: 0.0001047174409658513
Position 368: 7.160030456450218e-05
Position 579: 4.40330587382806e-05
Position 151: 4.119188225430185e-05
Position 105: 3.416033998172831e-05
Position 241: 2.976478876796228e-05
Position 231: 2.75567237485881e-05
Position 609: 2.4548362498784865e-05
Position 78: 1.907685119796314e-05
Position 102: 1.6202382167964587e-05
Position 159: 1.2853507930049427e-05
Position 356: 1.2349364801786775e-05
Position 90: 1.0345761233856583e-05
Position 131: 7.89269155842149e-06
Position 261: 5.047378575099066e-06
Position 562: 4.907464155401511e-06
Position 545: 4.80538074864537e-06
Position 598: 2.7882823481690474e-06
Position 162: 2.58189586748548e-06
Position 868: 1.5466653386675255e-06
Position 681: 1.510516964029625e-06
Position 511: 1.2693709686780973e-06
Position 791: 1.1719686141009621e-06
Position 460: 9.299502055158248e-07
Position 205: 8.53679174001089e-07
Position 174: 7.087452901352458e-07
Position 535: 4.242299616740116e-07
Position 466: 3.286842282172634e-07
Position 717: 2.75633914758802e-07
Position 712: 2.585635298620267e-07
Position 347: 2.0430139614494505e-07
Position 417: 1.926769815083116e-07
Position 299: 8.770340215845799e-11
Position 285: 8.166212435873964e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 198: 0.977069440683841
Position 825: 0.017691665603817863
Position 918: 0.010786403427317974
Position 323: 0.007207363502070925
Position 222: 0.00405782257269867
Position 376: 0.003660837299796929
Position 598: 0.0023354515411101572
Position 254: 0.0018619620671356768
Position 800: 0.001859019014468027
Position 296: 0.0017058276447828884
Position 356: 0.0012861997563807174
Position 200: 0.0009242611334723178
Position 741: 0.000560409961205495
Position 681: 0.0005163922661964144
Position 847: 0.00025880256868648596
Position 696: 0.00022484526592674668
Position 578: 0.00019713028822866395
Position 706: 9.918125996007136e-05
Position 231: 9.526256004596457e-05
Position 712: 6.257973843377365e-05
Position 868: 5.305917087532584e-05
Position 241: 4.0314932526783895e-05
Position 434: 2.7790606673977422e-05
Position 774: 2.1996079477615916e-05
Position 347: 1.8485343325628727e-05
Position 335: 1.4781827404826407e-05
Position 672: 8.080024096453252e-06
Position 535: 6.770957830528047e-06
Position 395: 4.8506754200216664e-06
Position 644: 4.548095998672167e-06
Position 165: 4.3705495415192515e-06
Position 405: 3.679127326069474e-06
Position 527: 3.246582077062966e-06
Position 857: 3.088188952367706e-06
Position 832: 2.9270123650496856e-06
Position 162: 2.8190582482115964e-06
Position 381: 1.7460228758750005e-06
Position 261: 1.6707131358103431e-06
Position 389: 1.3861750899273928e-06
Position 532: 1.375572655682667e-06
Position 717: 9.95102119032657e-07
Position 666: 9.833525156855522e-07
Position 460: 5.283471979737883e-07
Position 466: 4.478509708535187e-07
Position 159: 3.8181488803459425e-07
Position 325: 1.9097968237672184e-07
Position 146: 1.0100076705546232e-09
Position 383: 9.469809756859588e-10
Position 142: 8.192304171193071e-10
Position 385: 4.322898711103326e-11
Position 511: 1.002602030282202e-11
