Gene = DCTN6-p27
index = 1121
Annotated 5SS: [94]
Annotated 3SS: [160]
SMsplice 5SS: [94]
SMsplice 3SS: [160]
top_k =  1000
Partition function (log Z): -6.79887201545921

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9908118320903644
Position 53: 0.005027698254871981
Position 43: 0.0022368692840743667
Position 274: 0.0017463626022400992
Position 109: 0.0015390199663615177
Position 498: 0.0009269664061944302
Position 240: 0.00036160448874718857
Position 321: 0.00028710292456497007
Position 211: 0.00020770834606285708
Position 258: 0.00017548686723179788
Position 237: 5.611682934400681e-05
Position 227: 2.9920530176072974e-05
Position 462: 2.3344666069902713e-05
Position 490: 1.7905374881417127e-05
Position 411: 1.6970556462723568e-05
Position 495: 1.571255529246577e-05
Position 235: 1.2302842009223132e-05
Position 523: 1.1642737788179357e-05
Position 455: 1.1153965870721545e-05
Position 250: 7.507690289164213e-06
Position 493: 3.013929187408331e-06
Position 399: 2.9780267123686017e-06
Position 186: 1.0382123884190724e-06
Position 472: 8.727850019327208e-07
Position 441: 7.066661671239643e-07
Position 348: 6.215570530927658e-07
Position 480: 4.328660188578765e-07
Position 390: 4.189188555152598e-07
Position 357: 4.0001495035176606e-07
Position 474: 3.096971110465149e-07
Position 183: 2.8336925464115637e-07
Position 633: 2.6539073438435887e-07
Position 552: 3.9295989463410114e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9446359452507282
Position 138: 0.05034913327662749
Position 179: 0.003751152452521784
Position 399: 0.001566582976664894
Position 566: 0.001099747334214909
Position 324: 0.0009603380900743517
Position 93: 0.0002734063159805079
Position 103: 0.00019421463247412858
Position 306: 0.00017280460747473475
Position 487: 0.0001240973043270075
Position 561: 0.00011835028262849154
Position 273: 0.00011766109343673094
Position 338: 8.923343725942664e-05
Position 202: 1.7181766984017906e-05
Position 526: 1.5634459047772457e-05
Position 614: 1.3894990822004612e-05
Position 605: 1.0623889980463088e-05
Position 575: 7.230421678978707e-06
Position 596: 5.200208600392634e-06
Position 308: 5.17844185493683e-06
Position 109: 3.110014262266493e-06
Position 632: 1.0358306861174016e-06
Position 515: 8.342467135237906e-07
Position 411: 5.561179480315966e-07
Position 194: 4.061428010264786e-07
Position 683: 3.809187850146702e-07
Position 437: 2.1121175126722674e-07
Position 293: 1.5750167755834048e-07
Position 593: 9.952062978513744e-08
Position 455: 8.961029197927515e-08
Position 662: 4.210339031831767e-08
Position 425: 3.944762461828272e-08
Position 250: 1.2033289951346963e-08
Position 691: 1.199701476700296e-08
Position 680: 7.034286517238037e-09
Position 708: 4.731945812774719e-09
Position 197: 1.0792881913759872e-11
Position 449: 1.0459129208846688e-12
Position 199: 3.170582386947458e-15
Position 373: 3.5213691028309274e-21
