Gene = Bacc
index = 45
Annotated 5SS: [ 396 1216 3726]
Annotated 3SS: [ 926 3562 3799]
SMsplice 5SS: [1216 3726]
SMsplice 3SS: [3562 3799]
top_k =  1000
Partition function (log Z): -1.6589899352689823

Sorted 5' Splice Sites (High to Low Probability):
Position 3726: 0.9873052816365661
Position 1216: 0.8679305441025054
Position 2927: 0.2874852711210541
Position 4030: 0.19998653678424178
Position 1795: 0.15410024529627972
Position 3375: 0.13172330181087877
Position 2600: 0.09491164727872216
Position 447: 0.09033249290438355
Position 1127: 0.08145664700046265
Position 3393: 0.06216907817395932
Position 3356: 0.05820075220341079
Position 2891: 0.05794892633807231
Position 3501: 0.05744453693094071
Position 2127: 0.041066460587192315
Position 1833: 0.024721051834960015
Position 267: 0.024615710087985722
Position 2321: 0.01953056446224418
Position 4187: 0.016866899169817307
Position 3846: 0.016813266383324307
Position 3360: 0.01256630266606657
Position 396: 0.012206432724620202
Position 2699: 0.01131966069566852
Position 1240: 0.00935893025753037
Position 3699: 0.00846445127604295
Position 1575: 0.007932663392198133
Position 1943: 0.007913743885277097
Position 3857: 0.007146970909285898
Position 5208: 0.006957117136687608
Position 865: 0.006886281706463478
Position 393: 0.005869919602832381
Position 3122: 0.005519941584173349
Position 2336: 0.005422296135676811
Position 127: 0.005405630100669867
Position 364: 0.005286079746073989
Position 1548: 0.004974090056350057
Position 2226: 0.004881899663981815
Position 2326: 0.004698249033555076
Position 3087: 0.004609118781609479
Position 3416: 0.004281732082378628
Position 1543: 0.003897147421806408
Position 794: 0.0031567318744405593
Position 674: 0.00249125521915748
Position 3366: 0.0024228722780993968
Position 1579: 0.0024204727378637565
Position 1255: 0.0022972343116365555
Position 852: 0.0022563668610027583
Position 1509: 0.0020408259153088908
Position 2798: 0.0020294089062402104
Position 3327: 0.001835733017314212
Position 2895: 0.0017945408716212722
Position 816: 0.001762720641122092
Position 2094: 0.0016441837209590243
Position 1856: 0.0013145616132417993
Position 2426: 0.001085788913299079
Position 3084: 0.0010666849121557308
Position 2370: 0.0010121730973231143
Position 434: 0.0008293733968720567
Position 101: 0.0007868967843921275
Position 3354: 0.000761736394080465
Position 2509: 0.0005913557165106062
Position 4896: 0.0005851119701182619
Position 275: 0.0004424282817201714
Position 4313: 0.0004023749649979579
Position 735: 0.00040133568887085734
Position 3144: 0.0003749127784403519
Position 798: 0.0003636610592340504
Position 2503: 0.00035557145047078405
Position 2609: 0.0003238704915678376
Position 466: 0.00032194087839329636
Position 4889: 0.00030448749339784026
Position 3679: 0.000295257517757276
Position 4085: 0.0002936407996578121
Position 4675: 0.0002918695995441564
Position 1428: 0.0002714600933047454
Position 3720: 0.0002446406275448779
Position 3048: 0.00023407801678290507
Position 4965: 0.000232739644146689
Position 3103: 0.00019320725897236952
Position 2287: 0.0001808240908618285
Position 641: 0.00016359886023242144
Position 1220: 0.00015711805998491098
Position 2117: 0.00015166780060321862
Position 3127: 0.0001449104994032651
Position 2354: 0.00013924189935985565
Position 636: 0.00011353054606457582
Position 683: 0.00010194528233366722
Position 1232: 8.55683361629594e-05
Position 821: 7.367684160340539e-05
Position 1813: 7.315954045670183e-05
Position 680: 6.938873836756729e-05
Position 2131: 6.881130432686685e-05
Position 359: 6.453169010634372e-05
Position 4744: 6.384375710377215e-05
Position 1021: 5.931749245481183e-05
Position 1570: 5.9027468829740556e-05
Position 2318: 5.553490840313766e-05
Position 4679: 5.30990339952117e-05
Position 2121: 4.832081746986131e-05
Position 1934: 4.58352130057561e-05
Position 724: 4.3918750754257226e-05
Position 937: 4.10990475885473e-05
Position 1432: 3.959901688519385e-05
Position 2003: 3.737390738125004e-05
Position 802: 3.5338696322745204e-05
