Gene = TMS1
index = 1539
Annotated 5SS: [ 159 1082 1257 1500 1772 2235]
Annotated 3SS: [ 525 1146 1315 1561 2071 2298]
SMsplice 5SS: [ 159 1082 1257 1500 1772 2235]
SMsplice 3SS: [ 525 1146 1315 1561 1836 2298]
top_k =  1000
Partition function (log Z): 20.454401430563816

Sorted 5' Splice Sites (High to Low Probability):
Position 2235: 0.9972225621642735
Position 1082: 0.9971958254273068
Position 1257: 0.9970842887642848
Position 1500: 0.9920302413451207
Position 1772: 0.9811794707824939
Position 159: 0.8020195329524752
Position 187: 0.1918618228297583
Position 23: 0.06303583360599548
Position 1922: 0.0298827207752532
Position 2009: 0.024515935531902525
Position 631: 0.013582674221798133
Position 777: 0.013223926987607694
Position 612: 0.012853371194263264
Position 2001: 0.007384159540597648
Position 2021: 0.006374149944520502
Position 1735: 0.004316884263646681
Position 808: 0.0037687963570148517
Position 2229: 0.002226407850225377
Position 2344: 0.0017808621776508801
Position 2568: 0.0014126361721352252
Position 799: 0.0009089686150110685
Position 461: 0.0008518837722675264
Position 2607: 0.0008422814471784343
Position 2023: 0.0006610848174549076
Position 994: 0.0006301096696556668
Position 1891: 0.0006111347077640282
Position 2411: 0.0005777745385582528
Position 2373: 0.0005416556126315218
Position 640: 0.0005073271395598814
Position 2571: 0.00047506778423091856
Position 788: 0.0004621433935937457
Position 1692: 0.0003659302938695876
Position 990: 0.0003562392930497945
Position 2520: 0.0003050333582364433
Position 1463: 0.0002495185056498785
Position 2573: 0.00024207762315148917
Position 1769: 0.00021727323690482503
Position 1477: 0.00017626449402944293
Position 1935: 0.00015971895393100872
Position 720: 0.00014105867012698914
Position 1953: 0.00011170506679155337
Position 30: 0.0001067817758582454
Position 95: 8.571515368740546e-05
Position 766: 8.414317652455528e-05
Position 415: 8.339931421623122e-05
Position 2468: 7.91195377442154e-05
Position 2447: 7.642866066906151e-05
Position 1803: 7.462739881091271e-05
Position 1707: 7.006202208693183e-05
Position 391: 6.262190699973263e-05
Position 1729: 5.695262703806136e-05
Position 2375: 4.91689338381342e-05
Position 1836: 4.340882429806684e-05
Position 2239: 4.3326121406883094e-05
Position 1778: 3.6807559733034e-05
Position 1456: 3.0458626470232012e-05
Position 1191: 2.822980790244434e-05
Position 717: 2.6083832815098535e-05
Position 1266: 2.500840245663249e-05
Position 1261: 2.480853916439546e-05
Position 1263: 1.682346945126466e-05
Position 1382: 1.6688805886468584e-05
Position 1317: 1.0701977268993333e-05
Position 1091: 8.554807752880323e-06
Position 1465: 8.265460726247997e-06
Position 2364: 7.648035022479261e-06
Position 1698: 7.213882385574228e-06
Position 977: 6.688621804664143e-06
Position 1776: 6.444579149932206e-06
Position 2457: 6.2609955090297355e-06
Position 1484: 6.2280594857924485e-06
Position 1202: 5.283663455734593e-06
Position 1086: 5.123127281649075e-06
Position 2045: 5.103807424825835e-06
Position 843: 4.801742006034907e-06
Position 1339: 4.218721085910417e-06
Position 1288: 3.929078221097417e-06
Position 2182: 3.5322586751499474e-06
Position 1651: 3.231625473529503e-06
Position 1448: 2.93885595518633e-06
Position 1045: 2.9082232042169627e-06
Position 998: 2.6382671063269324e-06
Position 1530: 2.487663075229375e-06
Position 1684: 2.116505011513808e-06
Position 745: 1.8736918816532458e-06
Position 660: 1.7050800829250724e-06
Position 1796: 1.5928151093736782e-06
Position 145: 1.4848719512800274e-06
Position 232: 1.366220112414416e-06
Position 860: 1.3260003684555756e-06
Position 1368: 1.2390190758857944e-06
Position 63: 1.1352137298814575e-06
Position 10: 1.041012363732427e-06
Position 2348: 9.432795496644098e-07
Position 2068: 9.131154666878413e-07
Position 1687: 8.578106998457888e-07
Position 1584: 8.068681902958096e-07
Position 370: 6.85900675977513e-07
Position 1162: 6.824640391708623e-07
Position 1007: 6.700058925044494e-07
Position 1544: 6.662445821415464e-07
Position 1165: 5.493174580769432e-07
Position 1036: 5.071317863145587e-07
Position 84: 4.6509143847943946e-07
Position 561: 4.063012055307005e-07
Position 1528: 4.0360803860820526e-07
Position 2188: 2.7357526099319367e-07
Position 862: 2.7104128184049455e-07
Position 2357: 2.3222864929804244e-07
Position 1403: 2.0322522012899867e-07
Position 2166: 1.9548021516583713e-07
Position 884: 1.893625964152051e-07
Position 107: 1.8650169511124975e-07
Position 2172: 1.7810492945213271e-07
Position 2152: 1.6650749196630062e-07
Position 1312: 1.256838244172661e-07
Position 492: 1.2520821615849898e-07
Position 1783: 9.189134267441072e-08
