Gene = ND-B17
index = 1300
Annotated 5SS: [357 529]
Annotated 3SS: [ 426 1226]
SMsplice 5SS: [357 529]
SMsplice 3SS: [ 426 1226]
top_k =  1000
Partition function (log Z): 1.5625046101020168

Sorted 5' Splice Sites (High to Low Probability):
Position 357: 0.9864103367815187
Position 529: 0.9793543664892879
Position 891: 0.18222259017886067
Position 862: 0.0667688957033439
Position 1424: 0.00871903312222055
Position 533: 0.008168141888185225
Position 370: 0.006803356862087708
Position 878: 0.0031208004667938453
Position 772: 0.002997109828035308
Position 330: 0.002277205603227539
Position 516: 0.0020957609238674104
Position 624: 0.0016726936366259133
Position 1027: 0.0015941872626725215
Position 802: 0.0013038939755932214
Position 704: 0.0012933594344836413
Position 264: 0.0012669663404986293
Position 1401: 0.0010972567600433187
Position 374: 0.0008981252425249247
Position 1415: 0.0008596456133380687
Position 642: 0.0008095639326922172
Position 147: 0.0005944058860944685
Position 812: 0.0005097489541392943
Position 553: 0.0004950102561859234
Position 1536: 0.00045732058362555743
Position 570: 0.0004030818308944696
Position 582: 0.00039560147076859255
Position 1014: 0.000334103399158974
Position 960: 0.0002615184424007861
Position 1005: 0.00019661235616853171
Position 1045: 0.00013729858455910669
Position 595: 0.0001370852842780204
Position 735: 0.00011835643361034727
Position 610: 0.00010619912237002932
Position 937: 8.100375979753397e-05
Position 361: 7.446339964785777e-05
Position 1036: 7.135499269322009e-05
Position 1530: 6.982859594305502e-05
Position 1163: 6.579333873835881e-05
Position 1173: 5.993302717963808e-05
Position 1664: 4.94867712212055e-05
Position 175: 4.7612189527247335e-05
Position 381: 4.406133262850644e-05
Position 604: 4.1199925188149043e-05
Position 339: 3.818797632955579e-05
Position 540: 3.191556355516503e-05
Position 1635: 3.119978935832638e-05
Position 105: 2.701968137039328e-05
Position 1088: 2.4303561981513975e-05
Position 1030: 2.3081108118977684e-05
Position 982: 2.2959197541570102e-05
Position 1677: 2.27582545905288e-05
Position 1165: 2.166664860847815e-05
Position 1305: 2.1548049248258494e-05
Position 165: 2.000006651941099e-05
Position 928: 1.7271797502591612e-05
Position 900: 1.5201517819322149e-05
Position 29: 1.3927300772915213e-05
Position 800: 1.1968172372826068e-05
Position 1612: 1.1511802664604933e-05
Position 50: 5.3556596763316795e-06
Position 1056: 5.111774930280983e-06
Position 1094: 4.8634410647386735e-06
Position 1574: 4.743518012574842e-06
Position 974: 4.61631132979781e-06
Position 969: 4.3708865231346565e-06
Position 1274: 4.021328503827582e-06
Position 364: 3.3367058696191055e-06
Position 790: 3.0418959931260718e-06
Position 1502: 2.5826178973709675e-06
Position 1355: 2.171390563917212e-06
Position 224: 2.1582571906413434e-06
Position 1207: 1.9941518258461067e-06
Position 628: 1.9756884818163496e-06
Position 80: 1.9506125171385127e-06
Position 1576: 1.5602328241978186e-06
Position 135: 8.875790572745581e-07
Position 115: 6.7460106690672e-07
Position 12: 5.135445646929275e-07
Position 367: 4.430086886944096e-07
Position 351: 4.1044520867590265e-07
Position 112: 4.051559515295639e-07
Position 1384: 3.073529001796011e-07
Position 1495: 2.0955508974498592e-07
Position 56: 1.8474352439218398e-07
Position 7: 1.475363224786501e-07
Position 448: 7.549387998603628e-08
Position 95: 5.4898507261352776e-08
Position 66: 5.069694406311133e-08
Position 646: 3.252269090121831e-08
Position 441: 2.8533933589428752e-08
Position 644: 1.6464802355319967e-08
Position 23: 1.0898041619609485e-08
Position 1200: 5.303327917926138e-09
Position 389: 3.436220687378284e-09
Position 194: 7.58367008423312e-10
